gebied;totaal;totaal_vrouwen;totaal_mannen;vrouwen_20_24;vrouwen_25_29;vrouwen_30_34;vrouwen_35_39;vrouwen_40_44;vrouwen_45_49;vrouwen_50_54;vrouwen_55_59;vrouwen_60_64;vrouwen_65plus;mannen_20_24;mannen_25_29;mannen_30_34;mannen_35_39;mannen_40_44;mannen_45_49;mannen_50_54;mannen_55_59;mannen_60_64;mannen_65plus
België;572;410;162;2;358;27;8;9;2;2;2;0;0;2;127;16;8;2;3;2;1;0;1
Gewest Vlaanderen;323;232;91;0;207;15;6;3;1;0;0;0;0;1;81;6;2;1;0;0;0;0;0
Gewest Wallonië;148;102;46;2;92;5;2;0;0;1;0;0;0;1;34;5;3;1;0;1;1;0;0
Gewest Brussels hoofdstedelijk gewest;101;76;25;0;59;7;0;6;1;1;2;0;0;0;12;5;3;0;3;1;0;0;1
Prov Vlaams Brabant;77;52;25;0;44;6;1;1;0;0;0;0;0;0;21;1;2;1;0;0;0;0;0
Prov West-Vlaanderen;53;43;10;0;42;0;1;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0
Prov Oost-Vlaanderen;68;55;13;0;53;1;0;0;1;0;0;0;0;1;12;0;0;0;0;0;0;0;0
Prov Antwerpen;76;54;22;0;47;4;3;0;0;0;0;0;0;0;20;2;0;0;0;0;0;0;0
Prov Limburg;49;28;21;0;21;4;1;2;0;0;0;0;0;0;18;3;0;0;0;0;0;0;0
Prov Waals Brabant;15;13;2;0;12;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
Prov Henegouwen;47;30;17;0;28;1;1;0;0;0;0;0;0;0;16;0;0;0;0;0;1;0;0
Prov Luik;45;31;14;0;28;2;0;0;0;1;0;0;0;1;8;3;1;1;0;0;0;0;0
Prov Namen;24;16;8;0;15;1;0;0;0;0;0;0;0;0;7;0;1;0;0;0;0;0;0
Prov Luxemburg;17;12;5;2;9;1;0;0;0;0;0;0;0;0;2;1;1;0;0;1;0;0;0
Prov Brussels hoofdstedelijk gewest;101;76;25;0;59;7;0;6;1;1;2;0;0;0;12;5;3;0;3;1;0;0;1
