territoire;total;total_femmes;total_hommes;femmes_20_24;femmes_25_29;femmes_30_34;femmes_35_39;femmes_40_44;femmes_45_49;femmes_50_54;femmes_55_59;femmes_60_64;femmes_65plus;hommes_20_24;hommes_25_29;hommes_30_34;hommes_35_39;hommes_40_44;hommes_45_49;hommes_50_54;hommes_55_59;hommes_60_64;hommes_65plus
Belgique;375;315;60;88;81;50;35;24;14;16;4;3;0;8;7;7;8;8;7;7;3;4;1
Région Flandre;301;274;27;84;73;46;29;17;10;9;4;2;0;3;6;4;2;2;4;3;2;1;0
Région Wallonie;54;27;27;3;4;3;4;5;2;5;0;1;0;4;1;2;3;5;3;4;1;3;1
Région Région de Bruxelles-capitale;20;14;6;1;4;1;2;2;2;2;0;0;0;1;0;1;3;1;0;0;0;0;0
Prov Brabant flamand;50;43;7;9;13;9;4;3;4;1;0;0;0;0;1;1;1;0;2;1;0;1;0
Prov Flandre occidentale;77;70;7;29;18;12;6;1;2;2;0;0;0;2;1;1;1;0;1;0;1;0;0
Prov Flandre orientale;74;67;7;22;23;9;6;3;2;2;0;0;0;0;3;2;0;0;0;1;1;0;0
Prov Anvers;67;63;4;18;11;12;10;4;1;4;3;0;0;1;1;0;0;2;0;0;0;0;0
Prov Limbourg;33;31;2;6;8;4;3;6;1;0;1;2;0;0;0;0;0;0;1;1;0;0;0
Prov Brabant wallon;16;6;10;1;0;1;1;0;1;1;0;1;0;1;0;0;0;2;0;4;1;1;1
Prov Hainaut;19;12;7;1;3;1;2;3;0;2;0;0;0;2;0;0;1;1;1;0;0;2;0
Prov Liège;9;5;4;0;1;0;1;2;1;0;0;0;0;1;0;1;1;1;0;0;0;0;0
Prov Namur;9;4;5;1;0;1;0;0;0;2;0;0;0;0;1;0;1;1;2;0;0;0;0
Prov Luxembourg;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Prov Région de Bruxelles-capitale;20;14;6;1;4;1;2;2;2;2;0;0;0;1;0;1;3;1;0;0;0;0;0
