gebied;specialiteit;totaal;totaal_vrouwen;totaal_mannen;vrouwen_20_24;vrouwen_25_29;vrouwen_30_34;vrouwen_35_39;vrouwen_40_44;vrouwen_45_49;vrouwen_50_54;vrouwen_55_59;vrouwen_60_64;vrouwen_65plus;mannen_20_24;mannen_25_29;mannen_30_34;mannen_35_39;mannen_40_44;mannen_45_49;mannen_50_54;mannen_55_59;mannen_60_64;mannen_65plus
België;ALLE SPECIALITEITEN;3615;1234;2381;0;0;110;236;266;193;140;121;100;68;0;0;63;190;259;302;326;332;330;579
Gewest Vlaanderen;ALLE SPECIALITEITEN;2069;707;1362;0;0;81;143;186;116;70;51;42;18;0;0;42;128;171;178;181;173;194;295
Gewest Wallonië;ALLE SPECIALITEITEN;1130;352;778;0;0;17;66;60;57;46;43;39;24;0;0;14;43;69;102;115;126;98;211
Gewest Brussels hoofdstedelijk gewest;ALLE SPECIALITEITEN;416;175;241;0;0;12;27;20;20;24;27;19;26;0;0;7;19;19;22;30;33;38;73
Prov Vlaams Brabant;ALLE SPECIALITEITEN;513;198;315;0;0;21;41;50;25;20;22;13;6;0;0;11;26;35;39;42;40;43;79
Prov West-Vlaanderen;ALLE SPECIALITEITEN;399;107;292;0;0;15;22;27;23;6;4;8;2;0;0;8;21;37;39;35;28;36;88
Prov Oost-Vlaanderen;ALLE SPECIALITEITEN;451;160;291;0;0;21;30;40;29;19;4;12;5;0;0;8;24;44;47;40;35;40;53
Prov Antwerpen;ALLE SPECIALITEITEN;490;184;306;0;0;17;37;52;28;19;20;8;3;0;0;7;28;37;40;43;49;48;54
Prov Limburg;ALLE SPECIALITEITEN;216;58;158;0;0;7;13;17;11;6;1;1;2;0;0;8;29;18;13;21;21;27;21
Prov Waals Brabant;ALLE SPECIALITEITEN;245;75;170;0;0;3;10;9;14;12;14;7;6;0;0;2;9;16;20;25;24;25;49
Prov Henegouwen;ALLE SPECIALITEITEN;294;79;215;0;0;1;23;14;6;12;6;8;9;0;0;2;5;12;36;33;42;20;65
Prov Luik;ALLE SPECIALITEITEN;375;129;246;0;0;8;18;25;24;11;17;18;8;0;0;4;19;25;28;36;38;36;60
Prov Namen;ALLE SPECIALITEITEN;161;51;110;0;0;4;11;11;7;8;5;4;1;0;0;5;7;14;14;15;16;12;27
Prov Luxemburg;ALLE SPECIALITEITEN;55;18;37;0;0;1;4;1;6;3;1;2;0;0;0;1;3;2;4;6;6;5;10
Prov Brussels hoofdstedelijk gewest;ALLE SPECIALITEITEN;416;175;241;0;0;12;27;20;20;24;27;19;26;0;0;7;19;19;22;30;33;38;73
België;NUCLEAIRE IN VITRO GENEESKUNDE;219;83;136;0;0;0;2;9;14;25;16;11;6;0;0;0;0;5;15;20;26;31;39
België;FUNCTIONELE EN PROFESSIONELE REVALIDATIE VAN GEHANDICAPTEN;946;310;636;0;0;1;43;57;50;37;34;47;41;0;0;2;25;30;47;48;74;125;285
België;GERIATRIE;172;54;118;0;0;9;9;14;6;7;5;0;4;0;0;2;3;6;5;10;16;14;62
België;MOND-,KAAK- EN AANGEZICHTSCHIRURGIE;169;38;131;0;0;10;7;12;2;3;4;0;0;0;0;9;21;20;19;21;13;13;15
België;INTENSIEVE ZORGEN;719;203;516;0;0;23;51;60;38;16;7;4;4;0;0;22;58;84;91;106;73;48;34
België;PEDIATRISCHE NEUROLOGIE;83;56;27;0;0;6;8;15;4;5;6;7;5;0;0;0;2;5;1;2;5;5;7
België;NEFROLOGIE;299;108;191;0;0;27;26;22;10;7;9;4;3;0;0;14;21;23;27;24;18;24;40
België;URGENTIEGENEESKUNDE;425;106;319;0;0;7;23;27;20;9;11;8;1;0;0;7;29;57;60;47;57;26;36
België;ENDOCRINO-DIABETOLOGIE;282;139;143;0;0;13;36;28;26;12;12;10;2;0;0;1;17;15;13;16;19;18;44
België;NEONATOLOGIE;69;51;18;0;0;7;12;9;11;5;6;1;0;0;0;2;3;5;1;3;2;1;1
België;KLINISCHE HEMATOLOGIE;126;55;71;0;0;7;18;10;9;4;4;1;2;0;0;3;11;8;13;13;9;7;7
België;BEHEER VAN GEZONDHEIDSGEGEVENS;106;31;75;0;0;0;1;3;3;10;7;7;0;0;0;1;0;1;10;16;20;18;9
Gewest Vlaanderen;NUCLEAIRE IN VITRO GENEESKUNDE;117;38;79;0;0;0;2;7;9;11;4;4;1;0;0;0;0;5;12;11;17;15;19
Gewest Vlaanderen;FUNCTIONELE EN PROFESSIONELE REVALIDATIE VAN GEHANDICAPTEN;547;181;366;0;0;1;32;42;37;19;14;21;15;0;0;2;20;24;32;24;40;81;143
Gewest Vlaanderen;GERIATRIE;112;35;77;0;0;9;4;11;3;4;3;0;1;0;0;2;2;3;3;7;12;8;40
Gewest Vlaanderen;MOND-,KAAK- EN AANGEZICHTSCHIRURGIE;120;20;100;0;0;8;1;8;0;1;2;0;0;0;0;9;19;13;13;17;9;7;13
Gewest Vlaanderen;INTENSIEVE ZORGEN;462;154;308;0;0;20;38;51;27;11;4;3;0;0;0;14;43;53;53;58;38;30;19
