territoire;total;total_femmes;total_hommes;femmes_20_24;femmes_25_29;femmes_30_34;femmes_35_39;femmes_40_44;femmes_45_49;femmes_50_54;femmes_55_59;femmes_60_64;femmes_65plus;hommes_20_24;hommes_25_29;hommes_30_34;hommes_35_39;hommes_40_44;hommes_45_49;hommes_50_54;hommes_55_59;hommes_60_64;hommes_65plus
Belgique;717;533;184;0;483;28;12;7;1;0;1;1;0;2;151;19;6;1;2;1;2;0;0
Région Flandre;436;324;112;0;298;15;6;4;0;0;0;1;0;1;101;8;1;0;0;1;0;0;0
Région Wallonie;170;131;39;0;125;4;2;0;0;0;0;0;0;0;31;4;2;0;1;0;1;0;0
Région Région de Bruxelles-capitale;111;78;33;0;60;9;4;3;1;0;1;0;0;1;19;7;3;1;1;0;1;0;0
Prov Brabant flamand;98;81;17;0;76;3;1;1;0;0;0;0;0;0;14;2;1;0;0;0;0;0;0
Prov Flandre occidentale;63;47;16;0;45;2;0;0;0;0;0;0;0;1;15;0;0;0;0;0;0;0;0
Prov Flandre orientale;109;82;27;0;76;3;1;2;0;0;0;0;0;0;25;2;0;0;0;0;0;0;0
Prov Anvers;114;76;38;0;68;3;3;1;0;0;0;1;0;0;33;4;0;0;0;1;0;0;0
Prov Limbourg;52;38;14;0;33;4;1;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0
Prov Brabant wallon;24;18;6;0;17;1;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0
Prov Hainaut;56;41;15;0;39;1;1;0;0;0;0;0;0;0;13;2;0;0;0;0;0;0;0
Prov Liège;56;44;12;0;41;2;1;0;0;0;0;0;0;0;9;0;1;0;1;0;1;0;0
Prov Namur;20;15;5;0;15;0;0;0;0;0;0;0;0;0;3;1;1;0;0;0;0;0;0
Prov Luxembourg;14;13;1;0;13;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Prov Région de Bruxelles-capitale;111;78;33;0;60;9;4;3;1;0;1;0;0;1;19;7;3;1;1;0;1;0;0
