territoire;specialite;total;total_femmes;total_hommes;femmes_20_24;femmes_25_29;femmes_30_34;femmes_35_39;femmes_40_44;femmes_45_49;femmes_50_54;femmes_55_59;femmes_60_64;femmes_65plus;hommes_20_24;hommes_25_29;hommes_30_34;hommes_35_39;hommes_40_44;hommes_45_49;hommes_50_54;hommes_55_59;hommes_60_64;hommes_65plus
Belgique;TOUTES SPECIALITES;193;120;73;74;41;3;1;1;0;0;0;0;0;36;29;2;3;1;1;1;0;0;0
Région Flandre;TOUTES SPECIALITES;126;81;45;52;24;3;1;1;0;0;0;0;0;26;16;2;1;0;0;0;0;0;0
Région Wallonie;TOUTES SPECIALITES;33;21;12;14;7;0;0;0;0;0;0;0;0;7;5;0;0;0;0;0;0;0;0
Région Région de Bruxelles-capitale;TOUTES SPECIALITES;34;18;16;8;10;0;0;0;0;0;0;0;0;3;8;0;2;1;1;1;0;0;0
Prov Brabant flamand;TOUTES SPECIALITES;28;16;12;6;7;2;0;1;0;0;0;0;0;6;6;0;0;0;0;0;0;0;0
Prov Flandre occidentale;TOUTES SPECIALITES;27;19;8;15;4;0;0;0;0;0;0;0;0;4;3;1;0;0;0;0;0;0;0
Prov Flandre orientale;TOUTES SPECIALITES;31;22;9;12;9;1;0;0;0;0;0;0;0;4;3;1;1;0;0;0;0;0;0
Prov Anvers;TOUTES SPECIALITES;29;18;11;13;4;0;1;0;0;0;0;0;0;9;2;0;0;0;0;0;0;0;0
Prov Limbourg;TOUTES SPECIALITES;11;6;5;6;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0
Prov Hainaut;TOUTES SPECIALITES;7;4;3;4;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0
Prov Liège;TOUTES SPECIALITES;20;12;8;6;6;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0
Prov Namur;TOUTES SPECIALITES;2;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Prov Luxembourg;TOUTES SPECIALITES;4;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Région de Bruxelles-capitale;TOUTES SPECIALITES;34;18;16;8;10;0;0;0;0;0;0;0;0;3;8;0;2;1;1;1;0;0;0
Belgique;DENTISTERIE GENERALE;126;75;51;53;18;2;1;1;0;0;0;0;0;27;16;2;3;1;1;1;0;0;0
Belgique;PARODONTOLOGIE;26;14;12;9;5;0;0;0;0;0;0;0;0;4;8;0;0;0;0;0;0;0;0
Belgique;ORTHODONTIE;41;31;10;12;18;1;0;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0;0
Région Flandre;DENTISTERIE GENERALE;84;51;33;36;11;2;1;1;0;0;0;0;0;21;9;2;1;0;0;0;0;0;0
