gebied;specialiteit;totaal;totaal_vrouwen;totaal_mannen;vrouwen_20_24;vrouwen_25_29;vrouwen_30_34;vrouwen_35_39;vrouwen_40_44;vrouwen_45_49;vrouwen_50_54;vrouwen_55_59;vrouwen_60_64;vrouwen_65plus;mannen_20_24;mannen_25_29;mannen_30_34;mannen_35_39;mannen_40_44;mannen_45_49;mannen_50_54;mannen_55_59;mannen_60_64;mannen_65plus
België;ALLE SPECIALITEITEN;193;120;73;74;41;3;1;1;0;0;0;0;0;36;29;2;3;1;1;1;0;0;0
Gewest Vlaanderen;ALLE SPECIALITEITEN;126;81;45;52;24;3;1;1;0;0;0;0;0;26;16;2;1;0;0;0;0;0;0
Gewest Wallonië;ALLE SPECIALITEITEN;33;21;12;14;7;0;0;0;0;0;0;0;0;7;5;0;0;0;0;0;0;0;0
Gewest Brussels hoofdstedelijk gewest;ALLE SPECIALITEITEN;34;18;16;8;10;0;0;0;0;0;0;0;0;3;8;0;2;1;1;1;0;0;0
Prov Vlaams Brabant;ALLE SPECIALITEITEN;28;16;12;6;7;2;0;1;0;0;0;0;0;6;6;0;0;0;0;0;0;0;0
Prov West-Vlaanderen;ALLE SPECIALITEITEN;27;19;8;15;4;0;0;0;0;0;0;0;0;4;3;1;0;0;0;0;0;0;0
Prov Oost-Vlaanderen;ALLE SPECIALITEITEN;31;22;9;12;9;1;0;0;0;0;0;0;0;4;3;1;1;0;0;0;0;0;0
Prov Antwerpen;ALLE SPECIALITEITEN;29;18;11;13;4;0;1;0;0;0;0;0;0;9;2;0;0;0;0;0;0;0;0
Prov Limburg;ALLE SPECIALITEITEN;11;6;5;6;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0
Prov Henegouwen;ALLE SPECIALITEITEN;7;4;3;4;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0
Prov Luik;ALLE SPECIALITEITEN;20;12;8;6;6;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0
Prov Namen;ALLE SPECIALITEITEN;2;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Prov Luxemburg;ALLE SPECIALITEITEN;4;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Brussels hoofdstedelijk gewest;ALLE SPECIALITEITEN;34;18;16;8;10;0;0;0;0;0;0;0;0;3;8;0;2;1;1;1;0;0;0
België;ALGEMENE TANDHEELKUNDE;126;75;51;53;18;2;1;1;0;0;0;0;0;27;16;2;3;1;1;1;0;0;0
België;PARODONTOLOGIE;26;14;12;9;5;0;0;0;0;0;0;0;0;4;8;0;0;0;0;0;0;0;0
België;ORTHODONTIE;41;31;10;12;18;1;0;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0;0
Gewest Vlaanderen;ALGEMENE TANDHEELKUNDE;84;51;33;36;11;2;1;1;0;0;0;0;0;21;9;2;1;0;0;0;0;0;0
Gewest Vlaanderen;PARODONTOLOGIE;18;11;7;9;2;0;0;0;0;0;0;0;0;2;5;0;0;0;0;0;0;0;0
Gewest Vlaanderen;ORTHODONTIE;24;19;5;7;11;1;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0
Gewest Wallonië;ALGEMENE TANDHEELKUNDE;22;15;7;13;2;0;0;0;0;0;0;0;0;4;3;0;0;0;0;0;0;0;0
Gewest Wallonië;PARODONTOLOGIE;4;1;3;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0
Gewest Wallonië;ORTHODONTIE;7;5;2;1;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
Gewest Brussels hoofdstedelijk gewest;ALGEMENE TANDHEELKUNDE;20;9;11;4;5;0;0;0;0;0;0;0;0;2;4;0;2;1;1;1;0;0;0
Gewest Brussels hoofdstedelijk gewest;PARODONTOLOGIE;4;2;2;0;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
Gewest Brussels hoofdstedelijk gewest;ORTHODONTIE;10;7;3;4;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
Prov Vlaams Brabant;ALGEMENE TANDHEELKUNDE;17;10;7;4;4;1;0;1;0;0;0;0;0;5;2;0;0;0;0;0;0;0;0
Prov Vlaams Brabant;PARODONTOLOGIE;4;1;3;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
Prov Vlaams Brabant;ORTHODONTIE;7;5;2;1;3;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
Prov West-Vlaanderen;ALGEMENE TANDHEELKUNDE;20;13;7;11;2;0;0;0;0;0;0;0;0;4;2;1;0;0;0;0;0;0;0
Prov West-Vlaanderen;PARODONTOLOGIE;5;4;1;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Prov West-Vlaanderen;ORTHODONTIE;2;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Oost-Vlaanderen;ALGEMENE TANDHEELKUNDE;17;12;5;9;2;1;0;0;0;0;0;0;0;2;1;1;1;0;0;0;0;0;0
Prov Oost-Vlaanderen;PARODONTOLOGIE;5;4;1;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Prov Oost-Vlaanderen;ORTHODONTIE;9;6;3;0;6;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0
Prov Antwerpen;ALGEMENE TANDHEELKUNDE;20;11;9;7;3;0;1;0;0;0;0;0;0;7;2;0;0;0;0;0;0;0;0
Prov Antwerpen;PARODONTOLOGIE;4;2;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
Prov Antwerpen;ORTHODONTIE;5;5;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Limburg;ALGEMENE TANDHEELKUNDE;10;5;5;5;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0
Prov Limburg;ORTHODONTIE;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Henegouwen;ALGEMENE TANDHEELKUNDE;7;4;3;4;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0
Prov Luik;ALGEMENE TANDHEELKUNDE;11;7;4;6;1;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0
Prov Luik;PARODONTOLOGIE;4;1;3;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0
Prov Luik;ORTHODONTIE;5;4;1;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Prov Namen;ALGEMENE TANDHEELKUNDE;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Namen;ORTHODONTIE;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Prov Luxemburg;ALGEMENE TANDHEELKUNDE;3;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Luxemburg;ORTHODONTIE;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Brussels hoofdstedelijk gewest;ALGEMENE TANDHEELKUNDE;20;9;11;4;5;0;0;0;0;0;0;0;0;2;4;0;2;1;1;1;0;0;0
Prov Brussels hoofdstedelijk gewest;PARODONTOLOGIE;4;2;2;0;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
Prov Brussels hoofdstedelijk gewest;ORTHODONTIE;10;7;3;4;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
