gebied;specialiteit;totaal;totaal_vrouwen;totaal_mannen;vrouwen_20_24;vrouwen_25_29;vrouwen_30_34;vrouwen_35_39;vrouwen_40_44;vrouwen_45_49;vrouwen_50_54;vrouwen_55_59;vrouwen_60_64;vrouwen_65plus;mannen_20_24;mannen_25_29;mannen_30_34;mannen_35_39;mannen_40_44;mannen_45_49;mannen_50_54;mannen_55_59;mannen_60_64;mannen_65plus
België;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);166659;145253;21406;5383;11145;14395;16487;16764;20184;20602;14976;10824;14493;788;1946;2536;2895;2623;2951;3237;2252;1281;897
Gewest Vlaanderen;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);108559;93777;14782;3632;6907;9027;10520;10962;13502;13578;9702;6788;9159;546;1136;1514;1719;1744;2176;2403;1760;1074;710
Gewest Wallonië;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);49536;43979;5557;1451;3432;4550;5196;5091;5853;6088;4568;3510;4240;201;629;816;1010;749;663;715;427;184;163
Gewest Brussels hoofdstedelijk gewest;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);8564;7497;1067;300;806;818;771;711;829;936;706;526;1094;41;181;206;166;130;112;119;65;23;24
Prov Vlaams Brabant;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);18046;15458;2588;487;973;1274;1614;1802;2421;2561;1760;1193;1373;82;160;218;265;279;370;518;368;208;120
Prov West-Vlaanderen;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);23679;20593;3086;1019;1736;2101;2306;2221;2710;2813;2199;1477;2011;174;235;355;365;346;416;471;358;237;129
Prov Oost-Vlaanderen;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);25471;22025;3446;733;1508;2104;2518;2728;3152;3152;2258;1644;2228;93;265;386;413;414;513;578;429;239;116
Prov Antwerpen;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);25822;22316;3506;820;1508;2064;2394;2630;3388;3422;2201;1469;2420;102;260;324;404;447;542;600;415;237;175
Prov Limburg;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);15541;13385;2156;573;1182;1484;1688;1581;1831;1630;1284;1005;1127;95;216;231;272;258;335;236;190;153;170
Prov Waals Brabant;ALLE VERPLEEGKUNDIGEN (AANTAL PERSONEN);4867;4463;404;104;227;322;475;497;616;778;548;377;519;16;49;54;54;70;57;55;30;10;9
