territoire;total;total_femmes;total_hommes;femmes_20_24;femmes_25_29;femmes_30_34;femmes_35_39;femmes_40_44;femmes_45_49;femmes_50_54;femmes_55_59;femmes_60_64;femmes_65plus;hommes_20_24;hommes_25_29;hommes_30_34;hommes_35_39;hommes_40_44;hommes_45_49;hommes_50_54;hommes_55_59;hommes_60_64;hommes_65plus
Belgique;1251;942;309;144;266;195;127;58;60;40;26;18;8;12;27;27;34;25;16;37;33;37;61
Région Flandre;964;804;160;134;253;178;104;41;39;23;16;10;6;5;16;15;14;8;8;13;22;19;40
Région Wallonie;219;102;117;7;8;11;19;12;18;12;6;7;2;5;7;7;12;13;8;21;6;17;21
Région Région de Bruxelles-capitale;68;36;32;3;5;6;4;5;3;5;4;1;0;2;4;5;8;4;0;3;5;1;0
Prov Brabant flamand;144;113;31;14;37;28;14;4;5;5;2;2;2;0;2;1;4;1;2;4;4;4;9
Prov Flandre occidentale;223;182;41;41;57;42;13;6;11;7;2;1;2;4;3;3;3;2;1;3;5;6;11
Prov Flandre orientale;274;223;51;33;66;53;28;14;10;7;8;3;1;1;9;8;5;2;3;2;7;8;6
Prov Anvers;233;210;23;34;68;44;36;12;7;3;1;4;1;0;2;3;0;2;1;0;5;0;10
Prov Limbourg;90;76;14;12;25;11;13;5;6;1;3;0;0;0;0;0;2;1;1;4;1;1;4
Prov Brabant wallon;53;24;29;2;0;2;6;1;7;4;1;1;0;3;1;1;2;3;0;9;1;3;6
Prov Hainaut;53;24;29;3;3;2;5;4;3;2;1;1;0;1;3;0;3;3;1;7;1;7;3
Prov Liège;59;28;31;0;2;5;6;4;4;3;0;2;2;1;1;3;3;4;2;1;3;5;8
Prov Namur;39;18;21;2;1;1;0;2;4;3;4;1;0;0;2;2;3;3;2;4;1;1;3
Prov Luxembourg;15;8;7;0;2;1;2;1;0;0;0;2;0;0;0;1;1;0;3;0;0;1;1
Prov Région de Bruxelles-capitale;68;36;32;3;5;6;4;5;3;5;4;1;0;2;4;5;8;4;0;3;5;1;0
