territoire;spécialité;total;total_femmes;total_hommes;femmes_20_24;femmes_25_29;femmes_30_34;femmes_35_39;femmes_40_44;femmes_45_49;femmes_50_54;femmes_55_59;femmes_60_64;femmes_65plus;hommes_20_24;hommes_25_29;hommes_30_34;hommes_35_39;hommes_40_44;hommes_45_49;hommes_50_54;hommes_55_59;hommes_60_64;hommes_65plus
Belgique;TOUTES SPECIALITES;4212;2549;1663;18;1991;457;49;22;6;4;2;0;0;11;1223;319;66;24;12;5;1;2;0
Région Flandre;TOUTES SPECIALITES;2393;1436;957;7;1151;236;26;10;4;1;1;0;0;7;742;160;31;8;5;2;1;1;0
Région Wallonie;TOUTES SPECIALITES;936;579;357;7;477;74;10;7;2;2;0;0;0;3;267;60;15;6;5;1;0;0;0
Région Région de Bruxelles-capitale;TOUTES SPECIALITES;883;534;349;4;363;147;13;5;0;1;1;0;0;1;214;99;20;10;2;2;0;1;0
Prov Brabant flamand;TOUTES SPECIALITES;741;456;285;3;353;89;6;4;1;0;0;0;0;3;211;55;12;1;1;1;1;0;0
Prov Flandre occidentale;TOUTES SPECIALITES;309;175;134;2;152;16;4;0;0;0;1;0;0;1;119;11;3;0;0;0;0;0;0
Prov Flandre orientale;TOUTES SPECIALITES;571;349;222;1;278;59;6;3;1;1;0;0;0;0;176;34;7;4;0;0;0;1;0
Prov Anvers;TOUTES SPECIALITES;608;353;255;1;281;58;8;3;2;0;0;0;0;1;190;50;6;3;4;1;0;0;0
Prov Limbourg;TOUTES SPECIALITES;164;103;61;0;87;14;2;0;0;0;0;0;0;2;46;10;3;0;0;0;0;0;0
Prov Brabant wallon;TOUTES SPECIALITES;143;98;45;1;76;17;1;2;1;0;0;0;0;1;36;5;2;1;0;0;0;0;0
Prov Hainaut;TOUTES SPECIALITES;207;133;74;4;109;12;5;0;1;2;0;0;0;1;57;11;1;1;3;0;0;0;0
Prov Liège;TOUTES SPECIALITES;427;245;182;0;206;32;3;4;0;0;0;0;0;0;129;35;11;4;2;1;0;0;0
Prov Namur;TOUTES SPECIALITES;119;69;50;2;58;8;1;0;0;0;0;0;0;1;40;9;0;0;0;0;0;0;0
Prov Luxembourg;TOUTES SPECIALITES;40;34;6;0;28;5;0;1;0;0;0;0;0;0;5;0;1;0;0;0;0;0;0
Prov Région de Bruxelles-capitale;TOUTES SPECIALITES;883;534;349;4;363;147;13;5;0;1;1;0;0;1;214;99;20;10;2;2;0;1;0
Belgique;MEDECINE DU TRAVAIL;18;13;5;0;4;2;2;2;1;1;1;0;0;0;1;0;2;0;0;1;1;0;0
Belgique;ANESTHESIE-REANIMATION;478;246;232;1;196;42;6;1;0;0;0;0;0;0;176;40;11;3;2;0;0;0;0
Belgique;CHIRURGIE;293;133;160;0;109;21;2;1;0;0;0;0;0;0;116;37;7;0;0;0;0;0;0
Belgique;NEUROCHIRURGIE;57;15;42;0;13;2;0;0;0;0;0;0;0;0;32;7;3;0;0;0;0;0;0
Belgique;CHIRURGIE PLASTIQUE, RECONSTRUCTRICE ET ESTHETIQUE;48;24;24;0;15;7;2;0;0;0;0;0;0;0;17;6;1;0;0;0;0;0;0
Belgique;NEUROLOGIE;112;71;41;2;60;9;0;0;0;0;0;0;0;1;29;9;1;1;0;0;0;0;0
Belgique;GYNECOLOGIE-OBSTETRIQUE;286;244;42;2;201;37;3;1;0;0;0;0;0;0;27;12;2;0;0;0;0;1;0
Belgique;OPHTALMOLOGIE;111;83;28;1;77;5;0;0;0;0;0;0;0;0;26;2;0;0;0;0;0;0;0
Belgique;OTO-RHINO-LARYNGOLOGIE;87;66;21;0;54;12;0;0;0;0;0;0;0;0;19;2;0;0;0;0;0;0;0
Belgique;UROLOGIE;97;33;64;1;25;6;1;0;0;0;0;0;0;0;48;16;0;0;0;0;0;0;0
Belgique;CHIRURGIE ORTHOPEDIQUE;187;39;148;0;32;6;0;1;0;0;0;0;0;2;100;35;10;0;0;1;0;0;0
Belgique;STOMATOLOGIE;38;15;23;1;11;3;0;0;0;0;0;0;0;1;19;3;0;0;0;0;0;0;0
Belgique;DERMATO-VENEREOLOGIE;76;68;8;1;61;6;0;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0
Belgique;PNEUMOLOGIE;62;45;17;0;20;23;2;0;0;0;0;0;0;0;10;7;0;0;0;0;0;0;0
Belgique;GASTRO-ENTEROLOGIE;76;55;21;0;33;21;1;0;0;0;0;0;0;0;12;7;1;1;0;0;0;0;0
Belgique;PEDIATRIE;355;295;60;3;249;39;4;0;0;0;0;0;0;0;45;15;0;0;0;0;0;0;0
Belgique;CARDIOLOGIE;112;49;63;0;28;18;2;1;0;0;0;0;0;0;37;21;2;3;0;0;0;0;0
Belgique;MEDECINE PHYSIQUE ET READAPTATION;75;44;31;0;40;4;0;0;0;0;0;0;0;0;28;2;0;0;0;1;0;0;0
Belgique;BIOLOGIE CLINIQUE;47;34;13;1;24;6;1;1;0;1;0;0;0;0;10;3;0;0;0;0;0;0;0
Belgique;RADIODIAGNOSTIC;247;105;142;2;74;23;4;1;1;0;0;0;0;1;114;18;6;3;0;0;0;0;0
Belgique;RADIOTHERAPIE-ONCOLOGIE;47;30;17;0;20;7;0;3;0;0;0;0;0;0;11;5;1;0;0;0;0;0;0
Belgique;PSYCHIATRIE, PARTICULIEREMENT PSYCHIATRIE INFANTO-JUVENILE;114;102;12;0;77;18;3;3;1;0;0;0;0;1;10;0;0;0;1;0;0;0;0
Belgique;MEDECINE NUCLEAIRE;37;18;19;0;14;4;0;0;0;0;0;0;0;0;15;4;0;0;0;0;0;0;0
Belgique;ANATOMIE PATHOLOGIQUE;47;39;8;0;31;5;2;1;0;0;0;0;0;0;7;0;1;0;0;0;0;0;0
Belgique;MEDECINE INTERNE;574;342;232;2;291;45;3;1;0;0;0;0;0;5;200;23;2;0;2;0;0;0;0
Belgique;RHUMATOLOGIE;16;11;5;0;7;4;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0
Belgique;PSYCHIATRIE, PARTICULIEREMENT PSYCHIATRIE DE L'ADULTE;154;105;49;0;82;18;2;0;3;0;0;0;0;0;33;9;2;3;1;1;0;0;0
Belgique;MEDECINE LEGALE;6;6;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Belgique;MEDECINE D'URGENCE;191;104;87;0;73;26;3;2;0;0;0;0;0;0;48;21;9;5;4;0;0;0;0
Belgique;MEDECINE AIGUE;60;30;30;0;18;6;4;1;0;0;1;0;0;0;14;6;2;4;2;1;0;1;0
Belgique;GERIATRIE;63;56;7;1;32;18;2;1;0;2;0;0;0;0;4;3;0;0;0;0;0;0;0
Belgique;ONCOLOGIE MEDICALE;41;29;12;0;15;13;0;1;0;0;0;0;0;0;5;3;3;1;0;0;0;0;0
Région Flandre;MEDECINE DU TRAVAIL;17;12;5;0;4;1;2;2;1;1;1;0;0;0;1;0;2;0;0;1;1;0;0
Région Flandre;ANESTHESIE-REANIMATION;267;147;120;1;125;18;3;0;0;0;0;0;0;0;100;14;4;1;1;0;0;0;0
Région Flandre;CHIRURGIE;175;76;99;0;66;10;0;0;0;0;0;0;0;0;77;19;3;0;0;0;0;0;0
Région Flandre;NEUROCHIRURGIE;33;6;27;0;6;0;0;0;0;0;0;0;0;0;20;5;2;0;0;0;0;0;0
Région Flandre;CHIRURGIE PLASTIQUE, RECONSTRUCTRICE ET ESTHETIQUE;26;14;12;0;10;4;0;0;0;0;0;0;0;0;10;1;1;0;0;0;0;0;0
Région Flandre;NEUROLOGIE;63;43;20;0;38;5;0;0;0;0;0;0;0;1;14;5;0;0;0;0;0;0;0
Région Flandre;GYNECOLOGIE-OBSTETRIQUE;152;132;20;1;108;20;3;0;0;0;0;0;0;0;12;7;1;0;0;0;0;0;0
Région Flandre;OPHTALMOLOGIE;59;46;13;0;45;1;0;0;0;0;0;0;0;0;12;1;0;0;0;0;0;0;0
Région Flandre;OTO-RHINO-LARYNGOLOGIE;55;43;12;0;34;9;0;0;0;0;0;0;0;0;11;1;0;0;0;0;0;0;0
Région Flandre;UROLOGIE;65;27;38;1;19;6;1;0;0;0;0;0;0;0;28;10;0;0;0;0;0;0;0
Région Flandre;CHIRURGIE ORTHOPEDIQUE;113;25;88;0;22;3;0;0;0;0;0;0;0;1;62;18;7;0;0;0;0;0;0
Région Flandre;STOMATOLOGIE;20;8;12;1;5;2;0;0;0;0;0;0;0;0;11;1;0;0;0;0;0;0;0
