territoire;total;total_femmes;total_hommes;femmes_20_24;femmes_25_29;femmes_30_34;femmes_35_39;femmes_40_44;femmes_45_49;femmes_50_54;femmes_55_59;femmes_60_64;femmes_65plus;hommes_20_24;hommes_25_29;hommes_30_34;hommes_35_39;hommes_40_44;hommes_45_49;hommes_50_54;hommes_55_59;hommes_60_64;hommes_65plus
Belgique;10946;10538;408;1223;2054;1577;1689;1000;978;861;647;367;142;6;19;21;36;23;52;59;85;57;50
Région Flandre;6329;6086;243;834;1296;912;1022;542;543;424;322;140;51;5;8;12;23;10;23;36;55;33;38
Région Wallonie;3930;3780;150;327;582;562;580;400;398;386;288;189;68;1;6;7;12;12;29;19;29;23;12
Région Région de Bruxelles-capitale;687;672;15;62;176;103;87;58;37;51;37;38;23;0;5;2;1;1;0;4;1;1;0
Prov Brabant flamand;1034;1006;28;131;224;146;193;82;74;63;55;22;16;1;0;1;1;3;1;8;6;1;6
Prov Flandre occidentale;1437;1363;74;214;274;197;228;125;124;100;70;24;7;0;1;1;6;3;9;15;14;12;13
Prov Flandre orientale;1779;1719;60;218;370;273;287;147;136;118;105;50;15;3;4;5;9;0;6;6;15;10;2
Prov Anvers;1440;1381;59;189;306;209;213;125;129;95;70;33;12;0;2;3;6;2;7;5;16;8;10
Prov Limbourg;639;617;22;82;122;87;101;63;80;48;22;11;1;1;1;2;1;2;0;2;4;2;7
Prov Brabant wallon;540;518;22;26;76;68;88;70;41;54;46;30;19;1;1;1;3;4;3;3;3;2;1
Prov Hainaut;1092;1037;55;95;148;152;169;122;107;114;70;41;19;0;3;3;1;2;12;10;12;7;5
Prov Liège;1399;1350;49;119;213;205;176;138;161;140;110;70;18;0;0;1;3;6;10;6;8;11;4
Prov Namur;557;540;17;54;94;79;88;36;57;53;39;31;9;0;1;1;3;0;3;0;5;3;1
Prov Luxembourg;342;335;7;33;51;58;59;34;32;25;23;17;3;0;1;1;2;0;1;0;1;0;1
Prov Région de Bruxelles-capitale;687;672;15;62;176;103;87;58;37;51;37;38;23;0;5;2;1;1;0;4;1;1;0
