gebied;specialiteit;totaal;totaal_vrouwen;totaal_mannen;vrouwen_20_24;vrouwen_25_29;vrouwen_30_34;vrouwen_35_39;vrouwen_40_44;vrouwen_45_49;vrouwen_50_54;vrouwen_55_59;vrouwen_60_64;vrouwen_65plus;mannen_20_24;mannen_25_29;mannen_30_34;mannen_35_39;mannen_40_44;mannen_45_49;mannen_50_54;mannen_55_59;mannen_60_64;mannen_65plus
België;ALLE SPECIALITEITEN;26459;10134;16325;0;29;1120;1850;1834;1495;1201;929;756;920;0;10;701;1424;1588;1717;2170;2174;2037;4504
Gewest Vlaanderen;ALLE SPECIALITEITEN;14047;5242;8805;0;16;630;1040;1052;840;617;413;332;302;0;4;402;840;901;959;1238;1201;1070;2190
Gewest Wallonië;ALLE SPECIALITEITEN;8774;3288;5486;0;6;308;543;574;474;412;324;284;363;0;5;195;377;529;576;716;731;743;1614
Gewest Brussels hoofdstedelijk gewest;ALLE SPECIALITEITEN;3638;1604;2034;0;7;182;267;208;181;172;192;140;255;0;1;104;207;158;182;216;242;224;700
Prov Vlaams Brabant;ALLE SPECIALITEITEN;3748;1576;2172;0;7;187;316;305;240;192;129;105;95;0;2;96;194;230;267;329;282;264;508
Prov West-Vlaanderen;ALLE SPECIALITEITEN;2308;682;1626;0;1;86;131;137;112;72;48;50;45;0;0;79;134;143;151;207;208;202;502
Prov Oost-Vlaanderen;ALLE SPECIALITEITEN;3029;1180;1849;0;4;154;238;228;177;146;86;77;70;0;0;83;181;201;196;261;244;211;472
Prov Antwerpen;ALLE SPECIALITEITEN;3521;1313;2208;0;4;145;254;272;223;150;121;79;65;0;2;105;215;223;251;303;321;269;519
Prov Limburg;ALLE SPECIALITEITEN;1441;491;950;0;0;58;101;110;88;57;29;21;27;0;0;39;116;104;94;138;146;124;189
Prov Waals Brabant;ALLE SPECIALITEITEN;1804;709;1095;0;0;46;109;114;114;104;89;45;88;0;0;29;77;111;127;156;154;141;300
Prov Henegouwen;ALLE SPECIALITEITEN;2370;822;1548;0;4;66;134;146;98;95;77;95;107;0;1;43;80;136;157;202;200;220;509
Prov Luik;ALLE SPECIALITEITEN;2868;1138;1730;0;2;134;181;200;171;133;98;101;118;0;2;77;134;165;178;204;237;236;497
Prov Namen;ALLE SPECIALITEITEN;1267;457;810;0;0;50;82;86;65;60;42;34;38;0;2;42;63;92;78;108;98;104;223
Prov Luxemburg;ALLE SPECIALITEITEN;465;162;303;0;0;12;37;28;26;20;18;9;12;0;0;4;23;25;36;46;42;42;85
