gebied;totaal;totaal_vrouwen;totaal_mannen;vrouwen_20_24;vrouwen_25_29;vrouwen_30_34;vrouwen_35_39;vrouwen_40_44;vrouwen_45_49;vrouwen_50_54;vrouwen_55_59;vrouwen_60_64;vrouwen_65plus;mannen_20_24;mannen_25_29;mannen_30_34;mannen_35_39;mannen_40_44;mannen_45_49;mannen_50_54;mannen_55_59;mannen_60_64;mannen_65plus
België;1365;1044;321;154;312;197;158;54;70;40;30;17;12;14;30;25;32;26;21;34;34;38;67
Gewest Vlaanderen;1065;899;166;142;298;178;139;34;50;23;19;7;9;7;15;15;15;10;9;11;19;22;43
Gewest Wallonië;227;108;119;9;11;10;16;14;17;13;6;9;3;4;10;6;9;12;10;19;11;14;24
Gewest Brussels hoofdstedelijk gewest;73;37;36;3;3;9;3;6;3;4;5;1;0;3;5;4;8;4;2;4;4;2;0
Prov Vlaams Brabant;164;132;32;23;38;35;15;4;6;4;3;2;2;0;1;2;3;2;3;3;4;3;11
Prov West-Vlaanderen;248;205;43;41;69;42;23;5;11;8;3;0;3;5;2;5;2;3;1;3;4;7;11
Prov Oost-Vlaanderen;300;247;53;37;84;41;42;10;14;7;8;3;1;1;10;5;8;2;4;1;4;11;7
Prov Antwerpen;257;233;24;33;79;46;42;12;11;3;2;2;3;1;2;3;0;2;1;0;5;0;10
Prov Limburg;96;82;14;8;28;14;17;3;8;1;3;0;0;0;0;0;2;1;0;4;2;1;4
Prov Waals Brabant;57;27;30;2;3;2;3;4;5;6;1;1;0;1;5;0;2;3;1;5;5;2;6
Prov Henegouwen;54;25;29;3;4;2;5;3;4;1;2;0;1;1;3;0;2;2;2;6;3;5;5
Prov Luik;61;30;31;2;2;4;6;4;4;2;2;2;2;1;1;3;2;5;1;2;2;6;8
Prov Namen;39;18;21;2;1;1;0;1;4;4;1;4;0;0;1;2;2;2;4;5;1;1;3
Prov Luxemburg;16;8;8;0;1;1;2;2;0;0;0;2;0;1;0;1;1;0;2;1;0;0;2
Prov Brussels hoofdstedelijk gewest;73;37;36;3;3;9;3;6;3;4;5;1;0;3;5;4;8;4;2;4;4;2;0
