gebied;totaal;totaal_vrouwen;totaal_mannen;vrouwen_20_24;vrouwen_25_29;vrouwen_30_34;vrouwen_35_39;vrouwen_40_44;vrouwen_45_49;vrouwen_50_54;vrouwen_55_59;vrouwen_60_64;vrouwen_65plus;mannen_20_24;mannen_25_29;mannen_30_34;mannen_35_39;mannen_40_44;mannen_45_49;mannen_50_54;mannen_55_59;mannen_60_64;mannen_65plus
België;10145;9028;1117;1096;1377;1060;938;970;1054;956;791;521;155;265;222;133;78;104;72;71;63;43;36
Gewest Vlaanderen;5014;4339;675;611;618;462;413;447;534;494;390;223;70;183;112;73;44;59;41;46;43;30;22
Gewest Wallonië;4353;4010;343;349;592;499;454;485;465;417;373;273;75;55;89;48;24;36;24;22;15;13;11
Gewest Brussels hoofdstedelijk gewest;778;679;99;136;167;99;71;38;55;45;28;25;10;27;21;12;10;9;7;3;5;0;3
Prov Vlaams Brabant;750;631;119;78;66;84;62;72;81;74;59;28;11;31;13;10;8;15;8;10;13;2;6
Prov West-Vlaanderen;911;798;113;98;85;69;80;85;114;108;87;50;17;27;13;16;10;17;5;6;9;9;1
Prov Oost-Vlaanderen;947;813;134;122;108;82;70;83;101;97;71;46;12;34;21;15;9;7;12;13;5;6;6
Prov Antwerpen;1507;1302;205;202;195;128;109;119;151;154;124;71;23;73;45;15;10;13;11;9;10;4;4
Prov Limburg;899;795;104;111;164;99;92;88;87;61;49;28;7;18;20;17;7;7;5;8;6;9;5
Prov Waals Brabant;218;196;22;4;14;13;17;25;30;30;33;24;5;2;2;1;3;4;1;2;2;3;2
Prov Henegouwen;1709;1573;136;145;222;171;164;196;188;168;155;117;31;26;33;20;9;14;7;10;6;2;4
Prov Luik;1430;1331;99;94;207;189;149;162;148;156;108;83;27;11;22;18;5;12;11;5;5;7;3
Prov Namen;711;643;68;80;111;94;79;73;70;43;53;29;8;14;24;6;7;5;5;4;1;0;1
Prov Luxemburg;285;267;18;26;38;32;45;29;29;20;24;20;4;2;8;3;0;1;0;1;1;1;1
Prov Brussels hoofdstedelijk gewest;778;679;99;136;167;99;71;38;55;45;28;25;10;27;21;12;10;9;7;3;5;0;3
