territoire;total;total_femmes;total_hommes;femmes_20_24;femmes_25_29;femmes_30_34;femmes_35_39;femmes_40_44;femmes_45_49;femmes_50_54;femmes_55_59;femmes_60_64;femmes_65plus;hommes_20_24;hommes_25_29;hommes_30_34;hommes_35_39;hommes_40_44;hommes_45_49;hommes_50_54;hommes_55_59;hommes_60_64;hommes_65plus
Belgique;1213;727;486;116;210;121;29;37;54;79;59;22;0;47;109;71;37;29;42;54;54;41;2
Région Flandre;599;408;191;84;130;91;14;21;24;27;11;6;0;30;41;35;9;8;12;18;20;16;2
Région Wallonie;499;266;233;24;57;22;14;13;28;51;42;15;0;15;49;23;21;18;27;33;26;21;0
Région Région de Bruxelles-capitale;115;53;62;8;23;8;1;3;2;1;6;1;0;2;19;13;7;3;3;3;8;4;0
Prov Brabant flamand;190;113;77;19;37;27;3;7;7;9;3;1;0;10;11;7;5;2;4;10;15;11;2
Prov Flandre occidentale;75;53;22;18;14;11;1;2;2;3;2;0;0;4;8;5;0;0;3;0;2;0;0
Prov Flandre orientale;147;102;45;17;34;28;4;5;8;3;2;1;0;8;11;14;2;3;3;2;2;0;0
Prov Anvers;116;85;31;18;28;14;3;4;6;6;3;3;0;4;10;5;0;1;2;5;0;4;0
Prov Limbourg;71;55;16;12;17;11;3;3;1;6;1;1;0;4;1;4;2;2;0;1;1;1;0
Prov Brabant wallon;36;21;15;1;6;2;1;3;1;4;2;1;0;0;2;0;4;0;4;1;2;2;0
Prov Hainaut;167;73;94;9;20;9;5;2;5;10;9;4;0;10;22;14;8;4;8;8;10;10;0
Prov Liège;165;105;60;7;20;4;6;5;13;24;20;6;0;3;18;1;4;7;6;10;6;5;0
Prov Namur;112;59;53;6;6;7;2;3;7;13;11;4;0;2;7;7;5;6;8;11;6;1;0
Prov Luxembourg;19;8;11;1;5;0;0;0;2;0;0;0;0;0;0;1;0;1;1;3;2;3;0
Prov Région de Bruxelles-capitale;115;53;62;8;23;8;1;3;2;1;6;1;0;2;19;13;7;3;3;3;8;4;0
