gebied;totaal;totaal_vrouwen;totaal_mannen;vrouwen_20_24;vrouwen_25_29;vrouwen_30_34;vrouwen_35_39;vrouwen_40_44;vrouwen_45_49;vrouwen_50_54;vrouwen_55_59;vrouwen_60_64;vrouwen_65plus;mannen_20_24;mannen_25_29;mannen_30_34;mannen_35_39;mannen_40_44;mannen_45_49;mannen_50_54;mannen_55_59;mannen_60_64;mannen_65plus
België;4769;3728;1041;229;539;464;378;277;551;508;560;214;8;77;198;151;111;74;75;138;139;75;3
Gewest Vlaanderen;2470;2036;434;140;256;208;205;166;346;296;319;95;5;40;78;52;36;32;25;54;67;49;1
Gewest Wallonië;1983;1461;522;82;237;221;151;101;183;185;204;94;3;35;100;81;67;34;44;76;61;22;2
Gewest Brussels hoofdstedelijk gewest;316;231;85;7;46;35;22;10;22;27;37;25;0;2;20;18;8;8;6;8;11;4;0
Prov Vlaams Brabant;492;374;118;24;36;34;30;30;64;56;79;20;1;8;19;9;6;11;8;16;24;17;0
Prov West-Vlaanderen;486;399;87;26;67;38;37;31;69;54;59;17;1;9;21;10;7;8;8;9;10;5;0
Prov Oost-Vlaanderen;519;444;75;25;64;48;43;44;76;56;57;30;1;3;12;9;13;2;3;10;11;12;0
Prov Antwerpen;693;579;114;35;63;63;66;43;108;86;95;18;2;9;16;19;9;9;6;14;18;13;1
Prov Limburg;280;240;40;30;26;25;29;18;29;44;29;10;0;11;10;5;1;2;0;5;4;2;0
Prov Waals Brabant;203;156;47;9;19;19;16;15;16;25;26;11;0;4;10;9;4;1;3;5;8;3;0
Prov Henegouwen;716;522;194;31;84;98;56;36;57;67;68;25;0;14;46;34;22;14;16;18;19;11;0
Prov Luik;644;479;165;21;87;59;50;30;67;55;65;42;3;9;27;25;24;9;11;31;21;7;1
Prov Namen;320;223;97;15;31;38;21;15;28;25;36;14;0;7;15;11;16;8;12;18;8;1;1
Prov Luxemburg;100;81;19;6;16;7;8;5;15;13;9;2;0;1;2;2;1;2;2;4;5;0;0
Prov Brussels hoofdstedelijk gewest;316;231;85;7;46;35;22;10;22;27;37;25;0;2;20;18;8;8;6;8;11;4;0
