territoire;spécialité;total;total_femmes;total_hommes;femmes_20_24;femmes_25_29;femmes_30_34;femmes_35_39;femmes_40_44;femmes_45_49;femmes_50_54;femmes_55_59;femmes_60_64;femmes_65plus;hommes_20_24;hommes_25_29;hommes_30_34;hommes_35_39;hommes_40_44;hommes_45_49;hommes_50_54;hommes_55_59;hommes_60_64;hommes_65plus
Belgique;TOUTES SPECIALITES;4254;1576;2678;0;0;115;316;321;264;170;144;123;123;0;0;77;200;283;301;361;377;367;712
Région Flandre;TOUTES SPECIALITES;2509;940;1569;0;0;76;206;212;171;108;74;53;40;0;0;54;143;174;195;215;205;193;390
Région Wallonie;TOUTES SPECIALITES;1262;418;844;0;0;21;69;83;62;44;49;43;47;0;0;16;38;86;78;122;135;135;234
Région Région de Bruxelles-capitale;TOUTES SPECIALITES;483;218;265;0;0;18;41;26;31;18;21;27;36;0;0;7;19;23;28;24;37;39;88
Prov Brabant flamand;TOUTES SPECIALITES;635;264;371;0;0;19;56;62;42;23;31;18;13;0;0;13;34;36;42;52;40;51;103
Prov Flandre occidentale;TOUTES SPECIALITES;465;136;329;0;0;12;41;21;26;19;2;9;6;0;0;6;25;30;40;41;43;36;108
Prov Flandre orientale;TOUTES SPECIALITES;556;219;337;0;0;18;51;55;35;25;13;9;13;0;0;12;33;43;48;48;47;34;72
Prov Anvers;TOUTES SPECIALITES;606;244;362;0;0;20;46;55;50;29;23;16;5;0;0;16;31;36;46;52;52;54;75
Prov Limbourg;TOUTES SPECIALITES;247;77;170;0;0;7;12;19;18;12;5;1;3;0;0;7;20;29;19;22;23;18;32
Prov Brabant wallon;TOUTES SPECIALITES;272;85;187;0;0;0;12;11;14;12;18;8;10;0;0;4;6;16;22;25;31;27;56
Prov Hainaut;TOUTES SPECIALITES;319;89;230;0;0;5;14;27;9;3;9;10;12;0;0;4;5;14;19;43;42;40;63
Prov Liège;TOUTES SPECIALITES;427;160;267;0;0;9;24;29;28;18;13;19;20;0;0;4;15;35;25;31;42;46;69
Prov Namur;TOUTES SPECIALITES;184;64;120;0;0;7;14;13;8;6;8;3;5;0;0;4;11;13;11;17;14;16;34
Prov Luxembourg;TOUTES SPECIALITES;60;20;40;0;0;0;5;3;3;5;1;3;0;0;0;0;1;8;1;6;6;6;12
Prov Région de Bruxelles-capitale;TOUTES SPECIALITES;483;218;265;0;0;18;41;26;31;18;21;27;36;0;0;7;19;23;28;24;37;39;88
Belgique;MEDECINE NUCLEAIRE IN VITRO;210;83;127;0;0;0;0;4;11;20;24;11;13;0;0;0;0;2;7;17;28;32;41
Belgique;READAPTATION FONCTIONNELLE ET PROFESSIONNELLE DES HANDICAPES;975;353;622;0;0;9;36;60;66;37;33;46;66;0;0;2;25;27;40;56;55;91;326
Belgique;GERIATRIE;161;54;107;0;0;0;11;13;13;4;6;3;4;0;0;0;2;5;4;7;11;15;63
Belgique;CHIRURGIE ORALE ET MAXILLO-FACIALE;184;42;142;0;0;3;16;9;6;2;4;2;0;0;0;5;25;20;19;21;18;11;23
Belgique;SOINS INTENSIFS;827;251;576;0;0;29;58;68;46;28;10;5;7;0;0;39;65;78;81;96;99;58;60
Belgique;NEUROLOGIE PEDIATRIQUE;92;64;28;0;0;4;15;14;7;3;3;11;7;0;0;0;1;2;5;0;4;6;10
Belgique;NEPHROLOGIE;333;130;203;0;0;19;37;28;16;11;7;7;5;0;0;17;20;23;21;25;23;25;49
Belgique;MEDECINE D'URGENCE;450;118;332;0;0;4;24;25;23;18;11;6;7;0;0;4;21;49;59;53;55;40;51
Belgique;ENDOCRINO-DIABETOLOGIE;315;163;152;0;0;18;36;30;31;15;14;13;6;0;0;3;10;22;18;12;16;20;51
Belgique;NEONATOLOGIE;127;88;39;0;0;9;20;16;21;10;7;4;1;0;0;2;4;7;7;5;7;4;3
Belgique;ONCOLOGIE;291;100;191;0;0;12;33;33;8;6;6;2;0;0;0;3;16;34;25;39;37;30;7
