gebied;specialiteit;totaal;totaal_vrouwen;totaal_mannen;vrouwen_20_24;vrouwen_25_29;vrouwen_30_34;vrouwen_35_39;vrouwen_40_44;vrouwen_45_49;vrouwen_50_54;vrouwen_55_59;vrouwen_60_64;vrouwen_65plus;mannen_20_24;mannen_25_29;mannen_30_34;mannen_35_39;mannen_40_44;mannen_45_49;mannen_50_54;mannen_55_59;mannen_60_64;mannen_65plus
België;ALLE SPECIALITEITEN;4681;2755;1926;29;2092;542;56;20;11;4;0;1;0;19;1416;396;48;20;15;4;4;3;1
Gewest Vlaanderen;ALLE SPECIALITEITEN;2578;1502;1076;13;1181;265;26;9;5;3;0;0;0;3;835;203;16;6;4;2;3;3;1
Gewest Wallonië;ALLE SPECIALITEITEN;1156;688;468;11;524;130;10;7;4;1;0;1;0;12;340;84;12;8;9;2;1;0;0
Gewest Brussels hoofdstedelijk gewest;ALLE SPECIALITEITEN;947;565;382;5;387;147;20;4;2;0;0;0;0;4;241;109;20;6;2;0;0;0;0
Prov Vlaams Brabant;ALLE SPECIALITEITEN;818;479;339;3;378;86;5;4;3;0;0;0;0;1;247;76;6;1;2;2;3;1;0
Prov West-Vlaanderen;ALLE SPECIALITEITEN;286;170;116;3;141;21;4;0;1;0;0;0;0;0;100;14;1;1;0;0;0;0;0
Prov Oost-Vlaanderen;ALLE SPECIALITEITEN;650;376;274;4;280;76;12;3;0;1;0;0;0;0;225;42;4;1;0;0;0;2;0
Prov Antwerpen;ALLE SPECIALITEITEN;648;379;269;3;297;69;5;2;1;2;0;0;0;0;201;59;4;2;2;0;0;0;1
Prov Limburg;ALLE SPECIALITEITEN;176;98;78;0;85;13;0;0;0;0;0;0;0;2;62;12;1;1;0;0;0;0;0
Prov Waals Brabant;ALLE SPECIALITEITEN;187;114;73;2;84;24;2;2;0;0;0;0;0;0;50;17;2;1;3;0;0;0;0
Prov Henegouwen;ALLE SPECIALITEITEN;264;170;94;5;129;25;5;3;2;1;0;0;0;3;66;17;3;2;2;0;1;0;0
Prov Luik;ALLE SPECIALITEITEN;515;296;219;3;225;64;1;1;1;0;0;1;0;6;166;34;5;5;1;2;0;0;0
Prov Namen;ALLE SPECIALITEITEN;144;77;67;1;62;13;1;0;0;0;0;0;0;2;45;16;2;0;2;0;0;0;0
