territoire;spécialité;total;total_femmes;total_hommes;femmes_20_24;femmes_25_29;femmes_30_34;femmes_35_39;femmes_40_44;femmes_45_49;femmes_50_54;femmes_55_59;femmes_60_64;femmes_65plus;hommes_20_24;hommes_25_29;hommes_30_34;hommes_35_39;hommes_40_44;hommes_45_49;hommes_50_54;hommes_55_59;hommes_60_64;hommes_65plus
Belgique;TOUTES SPECIALITES;27407;10950;16457;0;32;1278;1853;1863;1609;1330;1010;846;1129;0;18;714;1321;1616;1545;2041;2131;2142;4929
Région Flandre;TOUTES SPECIALITES;14668;5721;8947;0;20;702;1053;1041;921;739;465;378;402;0;9;393;787;930;859;1176;1178;1185;2430
Région Wallonie;TOUTES SPECIALITES;8999;3513;5486;0;7;354;506;615;496;419;373;300;443;0;5;206;351;507;517;677;714;728;1781
Région Région de Bruxelles-capitale;TOUTES SPECIALITES;3740;1716;2024;0;5;222;294;207;192;172;172;168;284;0;4;115;183;179;169;188;239;229;718
Prov Brabant flamand;TOUTES SPECIALITES;3938;1715;2223;0;8;213;308;310;273;211;155;111;126;0;6;88;197;223;233;303;306;286;581
Prov Flandre occidentale;TOUTES SPECIALITES;2408;762;1646;0;2;101;149;126;111;107;42;61;63;0;1;79;126;147;129;191;198;219;556
Prov Flandre orientale;TOUTES SPECIALITES;3141;1268;1873;0;6;147;250;234;197;158;108;78;90;0;1;83;166;214;177;242;249;237;504
Prov Anvers;TOUTES SPECIALITES;3678;1438;2240;0;3;170;255;265;246;185;121;102;91;0;1;105;207;228;221;311;286;303;578
Prov Limbourg;TOUTES SPECIALITES;1503;538;965;0;1;71;91;106;94;78;39;26;32;0;0;38;91;118;99;129;139;140;211
Prov Brabant wallon;TOUTES SPECIALITES;1892;757;1135;0;1;61;97;115;118;104;112;52;97;0;1;28;71;111;117;165;148;144;350
Prov Hainaut;TOUTES SPECIALITES;2382;871;1511;0;2;86;111;160;111;92;87;91;131;0;1;45;71;122;144;178;209;207;534
Prov Liège;TOUTES SPECIALITES;2948;1208;1740;0;3;141;182;210;170;137;114;105;146;0;2;91;124;155;164;195;219;230;560
Prov Namur;TOUTES SPECIALITES;1308;504;804;0;1;51;87;94;73;60;48;35;55;0;1;36;70;90;68;96;98;98;247
Prov Luxembourg;TOUTES SPECIALITES;469;173;296;0;0;15;29;36;24;26;12;17;14;0;0;6;15;29;24;43;40;49;90
Prov Région de Bruxelles-capitale;TOUTES SPECIALITES;3740;1716;2024;0;5;222;294;207;192;172;172;168;284;0;4;115;183;179;169;188;239;229;718
Belgique;MEDECINE DU TRAVAIL;1154;623;531;0;0;7;63;142;90;111;98;73;39;0;0;3;20;45;29;57;98;116;163
Belgique;ANESTHESIE-REANIMATION;2435;973;1462;0;2;132;155;168;148;114;61;66;127;0;0;111;173;200;198;201;191;147;241
Belgique;CHIRURGIE;1717;308;1409;0;0;34;72;59;40;30;31;23;19;0;0;56;120;138;142;162;170;165;456
Belgique;NEUROCHIRURGIE;222;22;200;0;0;2;1;5;8;4;1;0;1;0;0;11;26;32;24;23;24;18;42
Belgique;CHIRURGIE PLASTIQUE, RECONSTRUCTRICE ET ESTHETIQUE;268;65;203;0;0;11;9;12;8;6;10;5;4;0;0;13;31;21;28;37;15;23;35
Belgique;NEUROLOGIE;576;269;307;0;2;50;56;44;41;32;20;17;7;0;2;17;35;44;35;46;46;39;43
Belgique;PSYCHIATRIE;985;437;548;0;0;4;13;50;120;95;58;37;60;0;0;4;7;45;68;93;60;77;194
Belgique;GYNECOLOGIE-OBSTETRIQUE;1640;795;845;0;0;114;153;127;130;98;68;53;52;0;1;26;42;54;73;78;115;111;345
Belgique;OPHTALMOLOGIE;1234;729;505;0;15;75;100;90;85;80;81;66;137;0;6;22;37;46;35;61;60;55;183
Belgique;OTO-RHINO-LARYNGOLOGIE;722;290;432;0;0;36;50;43;51;40;26;23;21;0;0;21;25;36;33;49;73;51;144
Belgique;UROLOGIE;457;56;401;0;0;10;12;14;9;5;4;2;0;0;0;23;40;56;35;51;39;52;105
Belgique;CHIRURGIE ORTHOPEDIQUE;1174;106;1068;0;0;15;20;19;18;15;7;5;7;0;0;58;109;114;115;156;151;120;245
Belgique;STOMATOLOGIE;350;84;266;0;0;10;18;17;10;6;8;4;11;0;0;14;27;25;24;31;29;26;90
Belgique;DERMATO-VENEREOLOGIE;835;586;249;0;11;63;86;82;89;65;52;60;78;0;0;11;8;18;14;33;27;28;110
Belgique;PNEUMOLOGIE;581;237;344;0;0;30;76;47;32;15;13;11;13;0;0;8;28;36;38;48;69;55;62
Belgique;GASTRO-ENTEROLOGIE;725;221;504;0;0;43;47;44;27;19;14;11;16;0;1;14;48;63;49;80;69;67;113
Belgique;PEDIATRIE;1865;1179;686;0;0;150;210;201;165;136;76;96;145;0;1;24;45;37;60;48;74;76;321
Belgique;CARDIOLOGIE;1201;267;934;0;0;44;51;49;46;28;24;7;18;0;1;41;107;117;103;135;105;120;205
Belgique;NEUROPSYCHIATRIE;261;64;197;0;0;0;0;0;0;3;8;9;44;0;0;0;0;0;0;1;10;21;165
Belgique;MEDECINE PHYSIQUE ET READAPTATION;568;253;315;0;0;29;38;41;43;31;32;17;22;0;0;18;22;26;17;45;40;39;108
Belgique;BIOLOGIE CLINIQUE;738;338;400;0;0;14;36;32;38;36;43;45;94;0;0;9;18;17;22;37;54;75;168
Belgique;RADIODIAGNOSTIC;1829;525;1304;0;0;78;72;85;73;89;50;44;34;0;1;77;111;104;120;201;189;172;329
Belgique;RADIOTHERAPIE-ONCOLOGIE;234;130;104;0;0;14;22;23;20;18;15;6;12;0;0;7;17;15;12;7;22;8;16
Belgique;PSYCHIATRIE, PARTICULIEREMENT PSYCHIATRIE INFANTO-JUVENILE;324;253;71;0;0;52;71;62;16;17;8;12;15;0;0;5;13;14;2;6;11;10;10
Belgique;MEDECINE NUCLEAIRE;344;118;226;0;0;14;16;17;14;25;12;11;9;0;0;6;12;14;19;26;20;27;102
Belgique;ANATOMIE PATHOLOGIQUE;385;199;186;0;0;15;30;31;35;26;20;19;23;0;0;3;17;22;9;20;23;22;70
Belgique;MEDECINE INTERNE;1876;662;1214;0;2;107;160;122;90;55;50;28;48;0;2;47;74;113;111;145;112;123;487
Belgique;RHUMATOLOGIE;265;117;148;0;0;6;21;18;21;18;8;8;17;0;0;2;7;6;11;16;22;22;62
Belgique;PSYCHIATRIE, PARTICULIEREMENT PSYCHIATRIE DE L'ADULTE;738;332;406;0;0;51;101;77;16;10;20;28;29;0;0;20;51;61;13;14;47;61;139
Belgique;MEDECINE LEGALE;16;3;13;0;0;1;1;1;0;0;0;0;0;0;0;4;4;0;0;1;0;1;3
Belgique;MEDECINE D'URGENCE;112;49;63;0;0;23;11;7;5;3;0;0;0;0;0;19;15;11;8;4;4;2;0
Belgique;MEDECINE AIGUE;315;130;185;0;0;11;10;43;29;17;12;7;1;0;3;6;16;38;46;32;20;16;8
Belgique;GERIATRIE;298;176;122;0;0;18;40;39;37;19;10;11;2;0;0;6;7;11;10;12;25;28;23
Belgique;MEDECINE D'ASSURANCE ET EXPERTISE MEDICALE;651;199;452;0;0;0;2;21;29;41;54;34;18;0;0;0;0;13;19;56;96;147;121
Belgique;ONCOLOGIE MEDICALE;252;132;120;0;0;15;30;30;20;15;10;6;6;0;0;8;8;20;20;21;11;15;17
Belgique;GESTION DE DONNEES DE SANTE;60;23;37;0;0;0;0;1;6;8;6;2;0;0;0;0;1;4;3;8;10;7;4
Région Flandre;MEDECINE DU TRAVAIL;754;385;369;0;0;6;42;90;63;77;51;37;19;0;0;2;17;32;19;47;73;80;99
Région Flandre;ANESTHESIE-REANIMATION;1371;542;829;0;2;75;90;95;93;74;37;24;52;0;0;61;99;114;112;116;106;90;131
Région Flandre;CHIRURGIE;925;165;760;0;0;21;47;32;26;9;11;11;8;0;0;35;79;84;80;90;91;91;210
Région Flandre;NEUROCHIRURGIE;139;12;127;0;0;1;0;3;5;2;0;0;1;0;0;6;21;22;14;13;16;12;23
Région Flandre;CHIRURGIE PLASTIQUE, RECONSTRUCTRICE ET ESTHETIQUE;157;36;121;0;0;7;2;6;6;3;6;3;3;0;0;6;17;13;13;27;8;16;21
Région Flandre;NEUROLOGIE;304;142;162;0;2;34;33;18;22;14;8;8;3;0;0;7;22;24;14;24;24;24;23
Région Flandre;PSYCHIATRIE;270;141;129;0;0;0;1;16;63;46;9;4;2;0;0;0;2;17;40;41;14;6;9
Région Flandre;GYNECOLOGIE-OBSTETRIQUE;798;367;431;0;0;52;80;69;71;46;24;11;14;0;1;11;19;23;36;47;63;54;177
Région Flandre;OPHTALMOLOGIE;714;430;284;0;7;42;58;58;60;51;51;41;62;0;4;10;20;19;19;35;33;37;107
Région Flandre;OTO-RHINO-LARYNGOLOGIE;376;146;230;0;0;17;30;22;23;25;12;11;6;0;0;14;15;23;17;25;44;26;66
Région Flandre;UROLOGIE;266;31;235;0;0;7;8;5;6;3;1;1;0;0;0;13;23;34;21;34;23;36;51
Région Flandre;CHIRURGIE ORTHOPEDIQUE;693;62;631;0;0;8;13;13;12;8;3;3;2;0;0;32;72;72;68;101;89;72;125
Région Flandre;STOMATOLOGIE;196;43;153;0;0;7;9;12;4;3;3;2;3;0;0;8;24;17;16;23;20;9;36
Région Flandre;DERMATO-VENEREOLOGIE;459;322;137;0;8;35;51;53;49;35;25;33;33;0;0;8;3;12;11;16;15;14;58
Région Flandre;PNEUMOLOGIE;303;126;177;0;0;19;46;24;17;9;7;2;2;0;0;5;14;21;15;29;39;27;27
Région Flandre;GASTRO-ENTEROLOGIE;369;107;262;0;0;25;26;22;14;9;6;3;2;0;0;9;31;36;28;40;37;40;41
Région Flandre;PEDIATRIE;910;577;333;0;0;72;101;98;100;80;32;43;51;0;1;10;22;18;30;27;43;33;149
Région Flandre;CARDIOLOGIE;617;115;502;0;0;22;22;26;22;11;4;2;6;0;0;30;71;65;60;75;55;56;90
