territoire;qualification_professionnelle_particulière;total;total_femmes;total_hommes;femmes_20_24;femmes_25_29;femmes_30_34;femmes_35_39;femmes_40_44;femmes_45_49;femmes_50_54;femmes_55_59;femmes_60_64;femmes_65plus;hommes_20_24;hommes_25_29;hommes_30_34;hommes_35_39;hommes_40_44;hommes_45_49;hommes_50_54;hommes_55_59;hommes_60_64;hommes_65plus
Belgique;TOUTES LES SAGES-FEMMES;10440;10337;103;1000;1810;1406;1149;905;1011;1194;798;387;677;3;5;4;12;13;19;22;19;5;1
Région Flandre;TOUTES LES SAGES-FEMMES;7054;6988;66;772;1151;980;848;575;687;833;527;256;359;2;2;3;5;8;16;16;10;3;1
Région Wallonie;TOUTES LES SAGES-FEMMES;2613;2583;30;160;426;313;237;286;282;289;231;112;247;1;2;0;6;3;2;6;8;2;0
Région Région de Bruxelles-capitale;TOUTES LES SAGES-FEMMES;773;766;7;68;233;113;64;44;42;72;40;19;71;0;1;1;1;2;1;0;1;0;0
Prov Brabant flamand;TOUTES LES SAGES-FEMMES;1334;1317;17;154;223;165;133;112;129;164;105;35;97;0;1;1;1;2;3;4;3;2;0
Prov Flandre occidentale;TOUTES LES SAGES-FEMMES;1389;1378;11;178;217;190;140;124;135;157;122;59;56;1;0;0;0;1;2;5;2;0;0
Prov Flandre orientale;TOUTES LES SAGES-FEMMES;1419;1402;17;177;263;205;219;118;142;144;74;27;33;0;0;0;3;2;7;3;1;0;1
Prov Anvers;TOUTES LES SAGES-FEMMES;1944;1930;14;177;301;267;250;147;195;244;151;88;110;1;1;2;1;1;2;3;2;1;0
Prov Limbourg;TOUTES LES SAGES-FEMMES;968;961;7;86;147;153;106;74;86;124;75;47;63;0;0;0;0;2;2;1;2;0;0
Prov Brabant wallon;TOUTES LES SAGES-FEMMES;360;355;5;20;57;40;23;31;49;44;32;20;39;1;0;0;0;0;0;1;2;1;0
Prov Hainaut;TOUTES LES SAGES-FEMMES;755;745;10;37;127;82;72;98;100;82;82;37;28;0;0;0;1;1;2;1;5;0;0
Prov Liège;TOUTES LES SAGES-FEMMES;831;820;11;54;147;118;82;81;72;78;61;27;100;0;1;0;4;2;0;3;0;1;0
Prov Namur;TOUTES LES SAGES-FEMMES;453;451;2;35;64;53;39;50;36;55;34;22;63;0;0;0;1;0;0;1;0;0;0
Prov Luxembourg;TOUTES LES SAGES-FEMMES;214;212;2;14;31;20;21;26;25;30;22;6;17;0;1;0;0;0;0;0;1;0;0
Prov Région de Bruxelles-capitale;TOUTES LES SAGES-FEMMES;773;766;7;68;233;113;64;44;42;72;40;19;71;0;1;1;1;2;1;0;1;0;0
Belgique;SANS QUALIFICATION PROFESSIONNELLE PARTICULIERE;10248;10148;100;949;1774;1372;1128;894;1000;1174;793;387;677;2;5;4;12;12;19;22;18;5;1
Belgique;PRESCRIPTION DE MEDICAMENTS;192;189;3;51;36;34;21;11;11;20;5;0;0;1;0;0;0;1;0;0;1;0;0
Région Flandre;SANS QUALIFICATION PROFESSIONNELLE PARTICULIERE;6926;6862;64;735;1129;954;830;571;683;820;525;256;359;1;2;3;5;7;16;16;10;3;1
Région Wallonie;SANS QUALIFICATION PROFESSIONNELLE PARTICULIERE;2571;2542;29;154;418;307;235;282;275;283;229;112;247;1;2;0;6;3;2;6;7;2;0
Région Région de Bruxelles-capitale;SANS QUALIFICATION PROFESSIONNELLE PARTICULIERE;751;744;7;60;227;111;63;41;42;71;39;19;71;0;1;1;1;2;1;0;1;0;0
Région Flandre;PRESCRIPTION DE MEDICAMENTS;128;126;2;37;22;26;18;4;4;13;2;0;0;1;0;0;0;1;0;0;0;0;0
