territoire;total;total_femmes;total_hommes;femmes_20_24;femmes_25_29;femmes_30_34;femmes_35_39;femmes_40_44;femmes_45_49;femmes_50_54;femmes_55_59;femmes_60_64;femmes_65plus;hommes_20_24;hommes_25_29;hommes_30_34;hommes_35_39;hommes_40_44;hommes_45_49;hommes_50_54;hommes_55_59;hommes_60_64;hommes_65plus
Belgique;5027;4697;330;578;1257;780;484;354;335;322;265;214;108;34;106;35;40;23;21;21;20;18;12
Région Flandre;3028;2833;195;359;800;431;254;187;193;213;179;156;61;25;72;19;22;9;9;7;11;13;8
Région Wallonie;1626;1523;103;186;351;269;195;145;128;91;72;46;40;6;24;11;13;14;11;10;7;4;3
Région Région de Bruxelles-capitale;373;341;32;33;106;80;35;22;14;18;14;12;7;3;10;5;5;0;1;4;2;1;1
Prov Brabant flamand;624;589;35;82;167;81;59;36;38;44;35;35;12;4;8;2;8;1;2;2;2;5;1
Prov Flandre occidentale;583;531;52;82;160;67;53;26;35;31;29;37;11;5;14;5;6;4;1;4;5;3;5
Prov Flandre orientale;657;613;44;64;166;98;58;42;57;44;39;32;13;8;19;3;5;1;5;0;2;1;0
Prov Anvers;819;770;49;93;217;142;62;58;41;62;50;31;14;6;25;6;1;2;1;1;2;4;1
Prov Limbourg;345;330;15;38;90;43;22;25;22;32;26;21;11;2;6;3;2;1;0;0;0;0;1
Prov Brabant wallon;233;223;10;20;42;33;36;23;18;21;11;10;9;0;4;1;0;1;2;1;0;1;0
Prov Hainaut;577;546;31;82;125;89;75;59;43;29;22;14;8;2;6;4;3;6;1;4;1;2;2
Prov Liège;513;475;38;46;119;88;50;35;46;27;32;19;13;1;7;3;7;6;6;4;3;1;0
Prov Namur;189;178;11;19;42;38;20;19;17;10;6;0;7;2;3;1;2;1;2;0;0;0;0
Prov Luxembourg;114;101;13;19;23;21;14;9;4;4;1;3;3;1;4;2;1;0;0;1;3;0;1
Prov Région de Bruxelles-capitale;373;341;32;33;106;80;35;22;14;18;14;12;7;3;10;5;5;0;1;4;2;1;1
