gebied;totaal;totaal_vrouwen;totaal_mannen;vrouwen_20_24;vrouwen_25_29;vrouwen_30_34;vrouwen_35_39;vrouwen_40_44;vrouwen_45_49;vrouwen_50_54;vrouwen_55_59;vrouwen_60_64;vrouwen_65plus;mannen_20_24;mannen_25_29;mannen_30_34;mannen_35_39;mannen_40_44;mannen_45_49;mannen_50_54;mannen_55_59;mannen_60_64;mannen_65plus
België;15674;6152;9522;0;555;887;615;811;812;638;854;609;371;0;154;317;316;430;541;743;1632;1894;3495
Gewest Vlaanderen;8786;3416;5370;0;394;529;362;481;479;374;416;249;132;0;120;191;176;243;306;437;947;1031;1919
Gewest Wallonië;5334;2041;3293;0;125;265;189;244;261;212;309;266;170;0;21;89;104;145;184;236;558;678;1278
Gewest Brussels hoofdstedelijk gewest;1554;695;859;0;36;93;64;86;72;52;129;94;69;0;13;37;36;42;51;70;127;185;298
Prov Vlaams Brabant;1776;769;1007;0;67;117;68;106;99;91;107;76;38;0;14;35;43;49;60;97;171;196;342
Prov West-Vlaanderen;1594;492;1102;0;71;90;57;66;71;42;52;23;20;0;26;31;25;51;60;68;180;222;439
Prov Oost-Vlaanderen;2005;759;1246;0;102;139;90;96;94;83;77;53;25;0;32;39;43;56;71;107;222;218;458
Prov Antwerpen;2292;942;1350;0;100;119;96;149;148;106;126;66;32;0;32;51;40;60;76;103;251;257;480
Prov Limburg;1119;454;665;0;54;64;51;64;67;52;54;31;17;0;16;35;25;27;39;62;123;138;200
Prov Waals Brabant;765;358;407;0;19;45;42;46;46;38;43;53;26;0;5;12;16;11;26;30;75;95;137
Prov Henegouwen;1659;578;1081;0;37;72;41;53;79;65;96;86;49;0;5;30;30;34;55;68;184;238;437
Prov Luik;1650;607;1043;0;34;85;52;76;74;62;97;71;56;0;8;30;33;53;59;75;184;202;399
Prov Namen;872;345;527;0;26;39;42;51;31;32;51;47;26;0;0;14;16;27;31;48;84;92;215
Prov Luxemburg;388;153;235;0;9;24;12;18;31;15;22;9;13;0;3;3;9;20;13;15;31;51;90
Prov Brussels hoofdstedelijk gewest;1554;695;859;0;36;93;64;86;72;52;129;94;69;0;13;37;36;42;51;70;127;185;298
