territoire;total;total_femmes;total_hommes;femmes_20_24;femmes_25_29;femmes_30_34;femmes_35_39;femmes_40_44;femmes_45_49;femmes_50_54;femmes_55_59;femmes_60_64;femmes_65plus;hommes_20_24;hommes_25_29;hommes_30_34;hommes_35_39;hommes_40_44;hommes_45_49;hommes_50_54;hommes_55_59;hommes_60_64;hommes_65plus
Belgique;125;116;9;0;13;15;11;17;20;19;8;7;6;1;0;1;2;3;1;1;0;0;0
Région Flandre;95;90;5;0;6;14;10;13;15;17;6;6;3;0;0;0;2;2;1;0;0;0;0
Région Wallonie;19;17;2;0;5;0;1;3;3;0;2;1;2;0;0;1;0;0;0;1;0;0;0
Région Région de Bruxelles-capitale;11;9;2;0;2;1;0;1;2;2;0;0;1;1;0;0;0;1;0;0;0;0;0
Prov Brabant flamand;12;12;0;0;1;1;2;1;1;3;0;3;0;0;0;0;0;0;0;0;0;0;0
Prov Flandre occidentale;24;22;2;0;1;1;1;5;2;8;2;1;1;0;0;0;2;0;0;0;0;0;0
Prov Flandre orientale;33;32;1;0;3;6;6;5;6;3;2;0;1;0;0;0;0;0;1;0;0;0;0
Prov Anvers;20;19;1;0;1;5;1;2;5;2;2;1;0;0;0;0;0;1;0;0;0;0;0
Prov Limbourg;6;5;1;0;0;1;0;0;1;1;0;1;1;0;0;0;0;1;0;0;0;0;0
Prov Brabant wallon;4;3;1;0;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Prov Hainaut;5;5;0;0;2;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
Prov Liège;6;6;0;0;1;0;1;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0
Prov Namur;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Prov Luxembourg;3;2;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Prov Région de Bruxelles-capitale;11;9;2;0;2;1;0;1;2;2;0;0;1;1;0;0;0;1;0;0;0;0;0
