gebied;specialiteit;totaal;totaal_vrouwen;totaal_mannen;vrouwen_20_24;vrouwen_25_29;vrouwen_30_34;vrouwen_35_39;vrouwen_40_44;vrouwen_45_49;vrouwen_50_54;vrouwen_55_59;vrouwen_60_64;vrouwen_65plus;mannen_20_24;mannen_25_29;mannen_30_34;mannen_35_39;mannen_40_44;mannen_45_49;mannen_50_54;mannen_55_59;mannen_60_64;mannen_65plus
België;ALLE APOTHEKERS;20238;14288;5950;557;2136;1584;1447;1488;1504;1457;945;895;2275;137;591;458;416;478;489;524;486;497;1874
Gewest Vlaanderen;ALLE APOTHEKERS;12028;8472;3556;413;1413;935;864;856;833;871;528;525;1234;90;347;236;216;274;254;304;286;332;1217
Gewest Wallonië;ALLE APOTHEKERS;6341;4513;1828;118;522;473;449;511;558;466;326;286;804;35;163;134;150;158;185;180;148;127;548
Gewest Brussels hoofdstedelijk gewest;ALLE APOTHEKERS;1869;1303;566;26;201;176;134;121;113;120;91;84;237;12;81;88;50;46;50;40;52;38;109
Prov Vlaams Brabant;ALLE APOTHEKERS;2598;1881;717;64;254;201;215;215;194;192;135;123;288;12;65;65;47;64;61;72;73;61;197
Prov West-Vlaanderen;ALLE APOTHEKERS;2152;1493;659;83;218;159;136;151;147;158;95;97;249;17;41;23;32;51;34;44;50;71;296
Prov Oost-Vlaanderen;ALLE APOTHEKERS;3075;2151;924;130;410;220;216;224;214;201;111;133;292;23;104;64;56;70;87;64;63;98;295
Prov Antwerpen;ALLE APOTHEKERS;3103;2180;923;101;385;260;224;189;206;237;150;125;303;21;102;62;57;68;53;98;83;81;298
Prov Limburg;ALLE APOTHEKERS;1100;767;333;35;146;95;73;77;72;83;37;47;102;17;35;22;24;21;19;26;17;21;131
Prov Waals Brabant;ALLE APOTHEKERS;1089;795;294;6;72;77;80;103;107;76;66;60;148;3;23;14;23;31;38;30;22;21;89
Prov Henegouwen;ALLE APOTHEKERS;1792;1257;535;33;153;118;120;153;156;134;108;79;203;10;48;41;52;49;50;57;46;52;130
Prov Luik;ALLE APOTHEKERS;2094;1468;626;48;182;150;144;132;183;148;87;86;308;11;66;55;40;46;64;53;53;32;206
Prov Namen;ALLE APOTHEKERS;966;709;257;22;82;91;74;86;78;75;53;49;99;9;20;16;26;18;20;31;19;19;79
Prov Luxemburg;ALLE APOTHEKERS;400;284;116;9;33;37;31;37;34;33;12;12;46;2;6;8;9;14;13;9;8;3;44
Prov Brussels hoofdstedelijk gewest;ALLE APOTHEKERS;1869;1303;566;26;201;176;134;121;113;120;91;84;237;12;81;88;50;46;50;40;52;38;109
België;GEEN ERKENNING;18844;13138;5706;522;1913;1382;1279;1381;1398;1370;904;823;2166;132;551;415;401;458;476;503;470;479;1821
België;ZIEKENHUISFARMACIE;1394;1150;244;35;223;202;168;107;106;87;41;72;109;5;40;43;15;20;13;21;16;18;53
Gewest Vlaanderen;GEEN ERKENNING;11171;7757;3414;393;1265;818;752;796;770;813;506;479;1165;86;329;213;209;258;251;294;277;320;1177
Gewest Vlaanderen;ZIEKENHUISFARMACIE;857;715;142;20;148;117;112;60;63;58;22;46;69;4;18;23;7;16;3;10;9;12;40
Gewest Wallonië;GEEN ERKENNING;5910;4161;1749;105;459;411;404;476;521;439;307;266;773;34;146;118;149;154;176;172;144;121;535
Gewest Wallonië;ZIEKENHUISFARMACIE;431;352;79;13;63;62;45;35;37;27;19;20;31;1;17;16;1;4;9;8;4;6;13
Gewest Brussels hoofdstedelijk gewest;GEEN ERKENNING;1763;1220;543;24;189;153;123;109;107;118;91;78;228;12;76;84;43;46;49;37;49;38;109
Gewest Brussels hoofdstedelijk gewest;ZIEKENHUISFARMACIE;106;83;23;2;12;23;11;12;6;2;0;6;9;0;5;4;7;0;1;3;3;0;0
Prov Vlaams Brabant;GEEN ERKENNING;2426;1744;682;63;227;183;188;201;186;182;130;110;274;11;56;58;43;63;60;72;69;60;190
Prov Vlaams Brabant;ZIEKENHUISFARMACIE;172;137;35;1;27;18;27;14;8;10;5;13;14;1;9;7;4;1;1;0;4;1;7
Prov West-Vlaanderen;GEEN ERKENNING;2010;1375;635;78;197;135;124;136;140;149;92;90;234;16;39;19;32;47;34;42;49;68;289
Prov West-Vlaanderen;ZIEKENHUISFARMACIE;142;118;24;5;21;24;12;15;7;9;3;7;15;1;2;4;0;4;0;2;1;3;7
