gebied;totaal;totaal_vrouwen;totaal_mannen;vrouwen_20_24;vrouwen_25_29;vrouwen_30_34;vrouwen_35_39;vrouwen_40_44;vrouwen_45_49;vrouwen_50_54;vrouwen_55_59;vrouwen_60_64;vrouwen_65plus;mannen_20_24;mannen_25_29;mannen_30_34;mannen_35_39;mannen_40_44;mannen_45_49;mannen_50_54;mannen_55_59;mannen_60_64;mannen_65plus
België;5420;5052;368;575;1391;846;548;368;335;341;278;222;148;33;117;53;40;30;17;23;22;17;16
Gewest Vlaanderen;3277;3060;217;372;881;471;293;196;190;217;190;155;95;19;82;31;22;13;7;10;10;11;12
Gewest Wallonië;1728;1614;114;170;381;295;213;149;129;103;76;53;45;10;22;16;13;17;10;8;10;5;3
Gewest Brussels hoofdstedelijk gewest;415;378;37;33;129;80;42;23;16;21;12;14;8;4;13;6;5;0;0;5;2;1;1
Prov Vlaams Brabant;664;626;38;66;183;98;62;44;38;43;40;29;23;2;10;4;8;2;2;2;2;5;1
Prov West-Vlaanderen;612;556;56;70;180;69;62;25;31;34;30;37;18;5;15;8;4;5;2;3;5;3;6
Prov Oost-Vlaanderen;711;660;51;81;170;108;65;44;49;53;38;32;20;5;25;5;5;2;2;4;2;0;1
Prov Antwerpen;917;862;55;121;248;143;76;61;49;57;51;37;19;7;22;11;4;2;1;1;1;3;3
Prov Limburg;373;356;17;34;100;53;28;22;23;30;31;20;15;0;10;3;1;2;0;0;0;0;1
Prov Waals Brabant;255;244;11;27;46;37;36;23;22;21;13;10;9;0;3;3;0;1;2;1;0;1;0
Prov Henegouwen;603;570;33;64;139;91;87;60;44;36;23;15;11;3;5;5;2;8;1;2;3;2;2
Prov Luik;540;497;43;42;123;99;52;39;43;31;31;23;14;4;8;2;8;7;6;4;3;1;0
Prov Namen;209;196;13;18;46;46;24;17;19;8;8;3;7;1;4;2;2;1;1;1;1;0;0
Prov Luxemburg;121;107;14;19;27;22;14;10;1;7;1;2;4;2;2;4;1;0;0;0;3;1;1
Prov Brussels hoofdstedelijk gewest;415;378;37;33;129;80;42;23;16;21;12;14;8;4;13;6;5;0;0;5;2;1;1
