gebied;totaal;totaal_vrouwen;totaal_mannen;vrouwen_min20;vrouwen_20_24;vrouwen_25_29;vrouwen_30_34;vrouwen_35_39;vrouwen_40_44;vrouwen_45_49;vrouwen_50_54;vrouwen_55_59;vrouwen_60_64;vrouwen_65plus;mannen_min20;mannen_20_24;mannen_25_29;mannen_30_34;mannen_35_39;mannen_40_44;mannen_45_49;mannen_50_54;mannen_55_59;mannen_60_64;mannen_65plus
België;12085;10653;1432;191;1152;1684;1320;1146;951;1131;1062;909;688;419;47;279;358;169;123;115;89;74;66;52;60
Gewest Vlaanderen;6104;5224;880;114;665;840;576;527;426;544;556;471;327;178;40;184;223;84;74;63;48;52;35;37;40
Gewest Wallonië;5024;4592;432;65;380;632;601;510;467;534;450;401;336;216;4;75;102;73;37;41;29;16;26;12;17
Gewest Brussels hoofdstedelijk gewest;957;837;120;12;107;212;143;109;58;53;56;37;25;25;3;20;33;12;12;11;12;6;5;3;3
Prov Vlaams Brabant;947;777;170;14;113;108;90;88;56;87;82;77;35;27;8;36;35;13;15;16;10;11;12;7;7
Prov West-Vlaanderen;1072;938;134;8;89;132;80;88;92;111;115;102;82;39;5;15;34;13;16;12;11;6;5;10;7
Prov Oost-Vlaanderen;1168;989;179;21;149;165;92;96;78;96;103;88;63;38;6;44;43;12;17;11;9;13;10;4;10
Prov Antwerpen;1851;1577;274;62;202;268;174;141;112;145;171;142;109;51;16;79;74;33;13;14;11;16;6;6;6
Prov Limburg;1066;943;123;9;112;167;140;114;88;105;85;62;38;23;5;10;37;13;13;10;7;6;2;10;10
Prov Waals Brabant;244;221;23;0;12;13;19;14;23;28;33;28;32;19;0;2;2;1;2;4;3;0;3;2;4
Prov Henegouwen;1968;1793;175;35;158;252;208;175;161;228;181;155;146;94;4;38;34;29;19;17;9;5;12;3;5
Prov Luik;1658;1532;126;17;115;191;228;187;172;167;148;147;96;64;0;18;27;25;9;11;10;8;6;6;6
Prov Namen;812;730;82;9;65;128;107;93;80;79;59;46;38;26;0;13;32;12;4;7;7;3;3;0;1
Prov Luxemburg;342;316;26;4;30;48;39;41;31;32;29;25;24;13;0;4;7;6;3;2;0;0;2;1;1
Prov Brussels hoofdstedelijk gewest;957;837;120;12;107;212;143;109;58;53;56;37;25;25;3;20;33;12;12;11;12;6;5;3;3
