gebied;totaal;totaal_vrouwen;totaal_mannen;vrouwen_20_24;vrouwen_25_29;vrouwen_30_34;vrouwen_35_39;vrouwen_40_44;vrouwen_45_49;vrouwen_50_54;vrouwen_55_59;vrouwen_60_64;vrouwen_65plus;mannen_20_24;mannen_25_29;mannen_30_34;mannen_35_39;mannen_40_44;mannen_45_49;mannen_50_54;mannen_55_59;mannen_60_64;mannen_65plus
België;14415;13921;494;1288;2773;2010;1714;1615;1021;1149;1121;738;492;7;29;20;26;32;28;63;77;97;115
Gewest Vlaanderen;8195;7907;288;832;1659;1199;1012;966;536;612;536;361;194;2;12;7;14;23;9;32;47;65;77
Gewest Wallonië;5185;5010;175;375;819;647;610;558;428;483;517;326;247;5;6;8;10;9;18;29;25;31;34
Gewest Brussels hoofdstedelijk gewest;1035;1004;31;81;295;164;92;91;57;54;68;51;51;0;11;5;2;0;1;2;5;1;4
Prov Vlaams Brabant;1375;1339;36;129;268;214;163;181;83;90;100;66;45;1;4;1;1;2;2;1;13;5;6
Prov West-Vlaanderen;1770;1687;83;188;355;249;222;216;112;140;107;65;33;0;0;1;2;5;2;13;15;18;27
Prov Oost-Vlaanderen;2280;2205;75;245;456;337;302;251;150;149;144;111;60;1;5;3;6;9;1;12;7;19;12
Prov Antwerpen;1938;1871;67;194;418;283;223;216;125;151;131;85;45;0;2;1;3;6;2;6;9;16;22
Prov Limburg;832;805;27;76;162;116;102;102;66;82;54;34;11;0;1;1;2;1;2;0;3;7;10
Prov Waals Brabant;746;725;21;43;108;106;69;100;62;58;75;52;52;2;0;1;2;1;5;3;1;4;2
Prov Henegouwen;1417;1355;62;101;225;173;157;165;122;129;143;83;57;1;3;3;2;1;5;12;14;9;12
Prov Luik;1827;1767;60;125;285;225;220;173;164;178;189;126;82;2;2;4;1;4;8;9;8;10;12
Prov Namen;739;714;25;67;126;92;95;69;41;71;77;42;34;0;0;0;3;2;0;4;2;7;7
Prov Luxemburg;456;449;7;39;75;51;69;51;39;47;33;23;22;0;1;0;2;1;0;1;0;1;1
Prov Brussels hoofdstedelijk gewest;1035;1004;31;81;295;164;92;91;57;54;68;51;51;0;11;5;2;0;1;2;5;1;4
