gebied;totaal;totaal_vrouwen;totaal_mannen;vrouwen_20_24;vrouwen_25_29;vrouwen_30_34;vrouwen_35_39;vrouwen_40_44;vrouwen_45_49;vrouwen_50_54;vrouwen_55_59;vrouwen_60_64;vrouwen_65plus;mannen_20_24;mannen_25_29;mannen_30_34;mannen_35_39;mannen_40_44;mannen_45_49;mannen_50_54;mannen_55_59;mannen_60_64;mannen_65plus
België;2548;1512;1036;134;354;235;150;77;105;165;153;103;36;60;216;155;104;70;61;103;114;106;47
Gewest Vlaanderen;995;665;330;88;191;132;80;35;41;37;37;17;7;24;77;59;41;20;13;26;31;30;9
Gewest Wallonië;1235;687;548;36;110;75;55;35;57;115;105;75;24;29;104;64;48;40;41;65;65;63;29
Gewest Brussels hoofdstedelijk gewest;318;160;158;10;53;28;15;7;7;13;11;11;5;7;35;32;15;10;7;12;18;13;9
Prov Vlaams Brabant;309;178;131;17;45;40;23;10;13;13;12;3;2;8;21;15;10;11;4;13;22;21;6
Prov West-Vlaanderen;122;83;39;13;22;19;7;5;4;4;7;2;0;5;8;13;4;0;2;3;1;3;0
Prov Oost-Vlaanderen;259;175;84;27;53;36;24;7;12;7;4;4;1;8;24;19;14;6;4;4;3;2;0
Prov Antwerpen;193;147;46;21;39;28;14;8;9;10;8;7;3;1;12;9;5;2;2;5;5;3;2
Prov Limburg;112;82;30;10;32;9;12;5;3;3;6;1;1;2;12;3;8;1;1;1;0;1;1
Prov Waals Brabant;148;92;56;4;12;8;11;4;8;15;15;12;3;3;6;6;7;6;6;7;5;7;3
Prov Henegouwen;434;199;235;12;36;24;21;8;17;29;25;20;7;16;58;27;21;9;14;21;25;33;11
Prov Luik;357;238;119;7;37;23;10;14;23;43;45;28;8;6;22;16;7;11;9;12;18;10;8
Prov Namen;243;133;110;11;20;16;11;7;9;25;18;12;4;3;15;14;11;13;7;20;14;8;5
Prov Luxemburg;53;25;28;2;5;4;2;2;0;3;2;3;2;1;3;1;2;1;5;5;3;5;2
Prov Brussels hoofdstedelijk gewest;318;160;158;10;53;28;15;7;7;13;11;11;5;7;35;32;15;10;7;12;18;13;9
