gebied;totaal;geslacht_vrouw;geslacht_man;vrouw_25-29;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_50-54;vrouw_55-59;vrouw_60-64;vrouw_65plus;man_25-29;man_30-34;man_35-39;man_40-44;man_45-49;man_50-54;man_55-59;man_60-64;man_65plus
België;16263;6740;9523;671;1091;675;698;862;692;746;758;547;254;392;320;365;515;640;1218;1813;4006
Vlaams Gewest;9204;3801;5403;448;690;370;438;511;414;405;328;197;168;247;175;214;291;369;715;1013;2211
Waals Gewest;5460;2197;3263;168;298;226;188;283;222;251;306;255;58;97;109;121;179;215;397;634;1453
Brussels Hoofdstedelijk Gewest;1599;742;857;55;103;79;72;68;56;90;124;95;28;48;36;30;45;56;106;166;342
Vlaams Brabant;1875;851;1024;79;138;87;94;99;101;108;87;58;26;44;43;44;53;85;139;190;400
West-Vlaanderen;1661;542;1119;67;122;57;68;77;40;47;39;25;40;39;32;39;64;63;131;200;511
Oost-Vlaanderen;2104;862;1242;116;178;97;97;99;85;81;70;39;44;55;37;51;64;80;181;219;511
Antwerpen;2387;1040;1347;124;165;80;126;166;124;117;86;52;34;72;39;57;63;98;170;272;542
Limburg;1177;506;671;62;87;49;53;70;64;52;46;23;24;37;24;23;47;43;94;132;247
Waals Brabant;799;386;413;23;51;43;39;54;40;41;49;46;5;16;15;11;22;31;58;90;165
Henegouwen;1701;631;1070;47;91;56;43;74;68;85;99;68;22;34;33;35;41;61;118;243;483
Luik;1661;641;1020;53;80;70;53;88;60;69;83;85;15;35;37;35;68;65;132;184;449
Namen;895;371;524;26;49;44;41;42;30;43;56;40;13;6;19;21;34;42;65;79;245
Luxemburg;404;168;236;19;27;13;12;25;24;13;19;16;3;6;5;19;14;16;24;38;111
Brussels Hoofdstedelijk Gewest;1599;742;857;55;103;79;72;68;56;90;124;95;28;48;36;30;45;56;106;166;342
