gebied;specialiteit;totaal;geslacht_vrouw;geslacht_man;vrouw_min25;vrouw_25-29;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_50-54;vrouw_55-59;vrouw_60-64;vrouw_65plus;man_min25;man_25-29;man_30-34;man_35-39;man_40-44;man_45-49;man_50-54;man_55-59;man_60-64;man_65plus
België;Alle paramedici;63207;55061;8146;6092;10962;8362;6552;5359;3921;4446;4247;3350;1770;929;1735;1092;797;687;478;536;678;699;515
Vlaams Gewest;Alle paramedici;37740;33436;4304;4272;7152;5099;3852;3207;2231;2564;2416;1840;803;613;999;509;404;307;203;240;320;405;304
Waals Gewest;Alle paramedici;20998;17932;3066;1472;2852;2603;2262;1870;1469;1667;1605;1322;810;246;568;451;301;303;216;251;303;249;178
Brussels Hoofdstedelijk Gewest;Alle paramedici;4469;3693;776;348;958;660;438;282;221;215;226;188;157;70;168;132;92;77;59;45;55;45;33
Vlaams Brabant;Alle paramedici;6334;5425;909;592;1090;797;645;547;381;421;455;337;160;91;200;86;82;74;49;60;102;109;56
West-Vlaanderen;Alle paramedici;7724;6843;881;893;1508;1017;792;662;421;528;496;373;153;123;189;105;69;62;42;59;66;79;87
Oost-Vlaanderen;Alle paramedici;9322;8287;1035;1110;1789;1260;960;786;542;610;544;474;212;147;232;129;116;82;41;56;76;86;70
Antwerpen;Alle paramedici;9540;8555;985;1189;1847;1301;923;776;545;665;644;467;198;176;231;124;92;56;48;52;51;97;58
Limburg;Alle paramedici;4820;4326;494;488;918;724;532;436;342;340;277;189;80;76;147;65;45;33;23;13;25;34;33
Waals Brabant;Alle paramedici;2443;2091;352;148;291;284;249;220;199;193;205;182;120;13;52;49;36;36;37;32;37;34;26
Henegouwen;Alle paramedici;7259;6075;1184;529;1023;836;756;627;518;556;537;443;250;121;234;180;111;100;76;87;110;100;65
Luik;Alle paramedici;6684;5832;852;436;923;868;752;584;460;569;532;436;272;65;160;129;94;85;54;65;77;64;59
Namen;Alle paramedici;3221;2693;528;230;409;436;348;296;200;237;232;194;111;35;97;70;49;67;39;49;65;37;20
Luxemburg;Alle paramedici;1391;1241;150;129;206;179;157;143;92;112;99;67;57;12;25;23;11;15;10;18;14;14;8
Brussels Hoofdstedelijk Gewest;Alle paramedici;4469;3693;776;348;958;660;438;282;221;215;226;188;157;70;168;132;92;77;59;45;55;45;33
België;Farmaceutisch-technisch assistent;12754;11193;1561;1403;1732;1473;1187;1004;1108;1084;939;748;515;356;389;206;132;112;101;77;62;59;67
Vlaams Gewest;Farmaceutisch-technisch assistent;6471;5528;943;831;904;643;534;458;529;567;485;360;217;231;247;106;75;63;54;48;34;39;46
Waals Gewest;Farmaceutisch-technisch assistent;5256;4773;483;446;616;663;542;476;527;463;411;362;267;99;104;86;45;37;33;23;23;15;18
Brussels Hoofdstedelijk Gewest;Farmaceutisch-technisch assistent;1027;892;135;126;212;167;111;70;52;54;43;26;31;26;38;14;12;12;14;6;5;5;3
Vlaams Brabant;Farmaceutisch-technisch assistent;1003;828;175;128;119;98;97;68;83;84;83;38;30;41;44;10;14;17;11;11;12;7;8
West-Vlaanderen;Farmaceutisch-technisch assistent;1140;991;149;115;148;81;86;95;100;128;104;87;47;28;36;15;15;15;11;5;6;8;10
Oost-Vlaanderen;Farmaceutisch-technisch assistent;1246;1056;190;188;182;110;89;75;97;105;95;67;48;49;46;19;18;11;9;12;10;5;11
Antwerpen;Farmaceutisch-technisch assistent;1977;1678;299;286;288;199;147;124;138;161;147;122;66;94;88;42;15;12;13;16;3;10;6
Limburg;Farmaceutisch-technisch assistent;1105;975;130;114;167;155;115;96;111;89;56;46;26;19;33;20;13;8;10;4;3;9;11
Waals Brabant;Farmaceutisch-technisch assistent;260;232;28;18;13;22;14;20;34;28;30;32;21;5;2;2;2;2;4;1;2;4;4
Henegouwen;Farmaceutisch-technisch assistent;2036;1841;195;179;245;237;184;167;213;188;160;155;113;50;40;29;20;16;13;6;11;5;5
Luik;Farmaceutisch-technisch assistent;1746;1603;143;130;195;237;211;168;172;154;148;105;83;22;29;28;14;10;10;12;6;5;7
