gebied;specialiteit;totaal;geslacht_vrouw;geslacht_man;vrouw_25-29;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_55-59;man_30-34;man_35-39;man_40-44;man_45-49
België;Alle specialiteiten;197;105;92;1;82;7;10;3;2;78;7;5;2
België;Functionele en professionele revalidatie van gehandicapten;28;15;13;0;9;1;3;2;0;9;2;2;0
België;Mond-, kaak- en aangezichtschirurgie;18;6;12;0;6;0;0;0;0;12;0;0;0
België;Intensieve zorgen;66;30;36;0;26;1;2;0;1;33;2;0;1
België;Pediatrische neurologie;12;12;0;0;12;0;0;0;0;0;0;0;0
België;Nefrologie;10;5;5;0;5;0;0;0;0;5;0;0;0
België;Urgentiegeneeskunde;23;8;15;1;2;1;3;0;1;8;3;3;1
België;Endocrino-diabetologie;10;7;3;0;6;0;0;1;0;3;0;0;0
België;Neonatologie;6;6;0;0;5;1;0;0;0;0;0;0;0
België;Oncologie;13;10;3;0;7;2;1;0;0;3;0;0;0
België;Pediatrische hematologie en oncologie;5;4;1;0;2;1;1;0;0;1;0;0;0
België;Klinische hematologie;6;2;4;0;2;0;0;0;0;4;0;0;0
Vlaams Gewest;Alle specialiteiten;139;73;66;1;58;5;5;2;2;61;3;1;1
Vlaams Gewest;Functionele en professionele revalidatie van gehandicapten;20;10;10;0;7;1;1;1;0;9;1;0;0
Vlaams Gewest;Mond-, kaak- en aangezichtschirurgie;13;5;8;0;5;0;0;0;0;8;0;0;0
Vlaams Gewest;Intensieve zorgen;48;22;26;0;21;0;0;0;1;25;0;0;1
Vlaams Gewest;Pediatrische neurologie;6;6;0;0;6;0;0;0;0;0;0;0;0
Vlaams Gewest;Nefrologie;3;2;1;0;2;0;0;0;0;1;0;0;0
Vlaams Gewest;Urgentiegeneeskunde;19;8;11;1;2;1;3;0;1;8;2;1;0
Vlaams Gewest;Endocrino-diabetologie;6;4;2;0;3;0;0;1;0;2;0;0;0
Vlaams Gewest;Neonatologie;5;5;0;0;4;1;0;0;0;0;0;0;0
Vlaams Gewest;Oncologie;11;8;3;0;6;1;1;0;0;3;0;0;0
Vlaams Gewest;Pediatrische hematologie en oncologie;3;2;1;0;1;1;0;0;0;1;0;0;0
Vlaams Gewest;Klinische hematologie;5;1;4;0;1;0;0;0;0;4;0;0;0
Waals Gewest;Alle specialiteiten;36;16;20;0;12;1;3;0;0;14;2;3;1
Waals Gewest;Functionele en professionele revalidatie van gehandicapten;3;1;2;0;0;0;1;0;0;0;1;1;0
Waals Gewest;Mond-, kaak- en aangezichtschirurgie;3;0;3;0;0;0;0;0;0;3;0;0;0
Waals Gewest;Intensieve zorgen;11;4;7;0;2;1;1;0;0;7;0;0;0
Waals Gewest;Pediatrische neurologie;4;4;0;0;4;0;0;0;0;0;0;0;0
Waals Gewest;Nefrologie;5;2;3;0;2;0;0;0;0;3;0;0;0
Waals Gewest;Urgentiegeneeskunde;4;0;4;0;0;0;0;0;0;0;1;2;1
Waals Gewest;Endocrino-diabetologie;3;2;1;0;2;0;0;0;0;1;0;0;0
Waals Gewest;Pediatrische hematologie en oncologie;2;2;0;0;1;0;1;0;0;0;0;0;0
Waals Gewest;Klinische hematologie;1;1;0;0;1;0;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Alle specialiteiten;22;16;6;0;12;1;2;1;0;3;2;1;0
Brussels Hoofdstedelijk Gewest;Functionele en professionele revalidatie van gehandicapten;5;4;1;0;2;0;1;1;0;0;0;1;0
Brussels Hoofdstedelijk Gewest;Mond-, kaak- en aangezichtschirurgie;2;1;1;0;1;0;0;0;0;1;0;0;0
Brussels Hoofdstedelijk Gewest;Intensieve zorgen;7;4;3;0;3;0;1;0;0;1;2;0;0
Brussels Hoofdstedelijk Gewest;Pediatrische neurologie;2;2;0;0;2;0;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Nefrologie;2;1;1;0;1;0;0;0;0;1;0;0;0
Brussels Hoofdstedelijk Gewest;Endocrino-diabetologie;1;1;0;0;1;0;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Neonatologie;1;1;0;0;1;0;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Oncologie;2;2;0;0;1;1;0;0;0;0;0;0;0
Vlaams Brabant;Alle specialiteiten;46;26;20;0;19;2;2;1;2;19;0;0;1
Vlaams Brabant;Functionele en professionele revalidatie van gehandicapten;5;5;0;0;4;0;1;0;0;0;0;0;0
Vlaams Brabant;Mond-, kaak- en aangezichtschirurgie;2;0;2;0;0;0;0;0;0;2;0;0;0
Vlaams Brabant;Intensieve zorgen;20;9;11;0;8;0;0;0;1;10;0;0;1
Vlaams Brabant;Pediatrische neurologie;1;1;0;0;1;0;0;0;0;0;0;0;0
Vlaams Brabant;Nefrologie;1;0;1;0;0;0;0;0;0;1;0;0;0
Vlaams Brabant;Urgentiegeneeskunde;5;3;2;0;1;0;1;0;1;2;0;0;0
Vlaams Brabant;Endocrino-diabetologie;2;2;0;0;1;0;0;1;0;0;0;0;0
Vlaams Brabant;Neonatologie;2;2;0;0;1;1;0;0;0;0;0;0;0
Vlaams Brabant;Oncologie;4;2;2;0;2;0;0;0;0;2;0;0;0
Vlaams Brabant;Pediatrische hematologie en oncologie;2;2;0;0;1;1;0;0;0;0;0;0;0
Vlaams Brabant;Klinische hematologie;2;0;2;0;0;0;0;0;0;2;0;0;0
West-Vlaanderen;Alle specialiteiten;8;5;3;1;4;0;0;0;0;3;0;0;0
West-Vlaanderen;Functionele en professionele revalidatie van gehandicapten;1;0;1;0;0;0;0;0;0;1;0;0;0
West-Vlaanderen;Mond-, kaak- en aangezichtschirurgie;1;0;1;0;0;0;0;0;0;1;0;0;0
West-Vlaanderen;Intensieve zorgen;2;1;1;0;1;0;0;0;0;1;0;0;0
