territoire;total;genre_femme;genre_homme;femme_min25;femme_25-29;femme_30-34;femme_35-39;femme_40-44;femme_45-49;femme_50-54;homme_min25;homme_25-29;homme_30-34;homme_35-39;homme_40-44;homme_45-49;homme_50-54
Belgique;2029;1342;687;200;1036;73;17;5;7;4;96;510;59;9;7;4;2
Région flamande;872;572;300;112;419;27;4;4;3;3;59;216;15;7;2;1;0
Région wallonne;869;590;279;74;482;27;5;0;2;0;30;217;28;1;1;1;1
Région de Bruxelles Capitale;288;180;108;14;135;19;8;1;2;1;7;77;16;1;4;2;1
Brabant flamand;203;130;73;28;90;8;0;1;2;1;15;55;1;0;1;1;0
Flandre occidentale;123;83;40;21;58;2;0;1;1;0;8;27;4;1;0;0;0
Flandre orientale;223;144;79;18;118;7;1;0;0;0;12;58;4;4;1;0;0
Anvers;222;151;71;33;104;8;3;2;0;1;18;48;3;2;0;0;0
Limbourg;101;64;37;12;49;2;0;0;0;1;6;28;3;0;0;0;0
Brabant Wallon;119;88;31;11;70;7;0;0;0;0;2;26;2;0;0;1;0
Hainaut;283;205;78;28;167;8;2;0;0;0;11;60;6;0;1;0;0
Liège;290;177;113;22;142;11;2;0;0;0;9;89;14;0;0;0;1
Namur;111;76;35;9;66;0;1;0;0;0;3;26;5;1;0;0;0
Luxembourg;66;44;22;4;37;1;0;0;2;0;5;16;1;0;0;0;0
Région de Bruxelles Capitale;288;180;108;14;135;19;8;1;2;1;7;77;16;1;4;2;1
