territoire;spécialité;total;genre_femme;genre_homme;femme_25-29;femme_30-34;femme_35-39;femme_40-44;femme_45-49;femme_55-59;homme_30-34;homme_35-39;homme_40-44;homme_45-49
Belgique;Toutes les spécialités;197;105;92;1;82;7;10;3;2;78;7;5;2
Belgique;Réadaptation fonctionnelle et professionnelle des handicapés;28;15;13;0;9;1;3;2;0;9;2;2;0
Belgique;Chirurgie orale et maxillo - faciale;18;6;12;0;6;0;0;0;0;12;0;0;0
Belgique;Soins intensifs;66;30;36;0;26;1;2;0;1;33;2;0;1
Belgique;Neurologie pédiatrique;12;12;0;0;12;0;0;0;0;0;0;0;0
Belgique;Néphrologie;10;5;5;0;5;0;0;0;0;5;0;0;0
Belgique;Médecine d'urgence;23;8;15;1;2;1;3;0;1;8;3;3;1
Belgique;Endocrino-diabétologie;10;7;3;0;6;0;0;1;0;3;0;0;0
Belgique;Néonatologie;6;6;0;0;5;1;0;0;0;0;0;0;0
Belgique;Oncologie;13;10;3;0;7;2;1;0;0;3;0;0;0
Belgique;Hématologie et oncologie pédiatrique;5;4;1;0;2;1;1;0;0;1;0;0;0
Belgique;Hématologie clinique;6;2;4;0;2;0;0;0;0;4;0;0;0
Région flamande;Toutes les spécialités;139;73;66;1;58;5;5;2;2;61;3;1;1
Région flamande;Réadaptation fonctionnelle et professionnelle des handicapés;20;10;10;0;7;1;1;1;0;9;1;0;0
Région flamande;Chirurgie orale et maxillo - faciale;13;5;8;0;5;0;0;0;0;8;0;0;0
Région flamande;Soins intensifs;48;22;26;0;21;0;0;0;1;25;0;0;1
Région flamande;Neurologie pédiatrique;6;6;0;0;6;0;0;0;0;0;0;0;0
Région flamande;Néphrologie;3;2;1;0;2;0;0;0;0;1;0;0;0
Région flamande;Médecine d'urgence;19;8;11;1;2;1;3;0;1;8;2;1;0
Région flamande;Endocrino-diabétologie;6;4;2;0;3;0;0;1;0;2;0;0;0
Région flamande;Néonatologie;5;5;0;0;4;1;0;0;0;0;0;0;0
Région flamande;Oncologie;11;8;3;0;6;1;1;0;0;3;0;0;0
Région flamande;Hématologie et oncologie pédiatrique;3;2;1;0;1;1;0;0;0;1;0;0;0
Région flamande;Hématologie clinique;5;1;4;0;1;0;0;0;0;4;0;0;0
Région wallonne;Toutes les spécialités;36;16;20;0;12;1;3;0;0;14;2;3;1
Région wallonne;Réadaptation fonctionnelle et professionnelle des handicapés;3;1;2;0;0;0;1;0;0;0;1;1;0
Région wallonne;Chirurgie orale et maxillo - faciale;3;0;3;0;0;0;0;0;0;3;0;0;0
Région wallonne;Soins intensifs;11;4;7;0;2;1;1;0;0;7;0;0;0
Région wallonne;Neurologie pédiatrique;4;4;0;0;4;0;0;0;0;0;0;0;0
Région wallonne;Néphrologie;5;2;3;0;2;0;0;0;0;3;0;0;0
Région wallonne;Médecine d'urgence;4;0;4;0;0;0;0;0;0;0;1;2;1
Région wallonne;Endocrino-diabétologie;3;2;1;0;2;0;0;0;0;1;0;0;0
Région wallonne;Hématologie et oncologie pédiatrique;2;2;0;0;1;0;1;0;0;0;0;0;0
Région wallonne;Hématologie clinique;1;1;0;0;1;0;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Toutes les spécialités;22;16;6;0;12;1;2;1;0;3;2;1;0
Région de Bruxelles Capitale;Réadaptation fonctionnelle et professionnelle des handicapés;5;4;1;0;2;0;1;1;0;0;0;1;0
Région de Bruxelles Capitale;Chirurgie orale et maxillo - faciale;2;1;1;0;1;0;0;0;0;1;0;0;0
Région de Bruxelles Capitale;Soins intensifs;7;4;3;0;3;0;1;0;0;1;2;0;0
Région de Bruxelles Capitale;Neurologie pédiatrique;2;2;0;0;2;0;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Néphrologie;2;1;1;0;1;0;0;0;0;1;0;0;0
Région de Bruxelles Capitale;Endocrino-diabétologie;1;1;0;0;1;0;0;0;0;0;0;0;0
Région de Bruxelles Capitale;Néonatologie;1;1;0;0;1;0;0;0;0;0;0;0;0
