gebied;erkenning;specialiteit;totaal;geslacht_vrouw;geslacht_man;vrouw_min25;vrouw_25-29;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_50-54;vrouw_55-59;vrouw_60-64;vrouw_65plus;man_min25;man_25-29;man_30-34;man_35-39;man_40-44;man_45-49;man_50-54;man_55-59;man_60-64;man_65plus
België;Alle verpleegkundigen;;199178;172695;26483;6063;15405;15086;15521;18256;17600;18895;21268;17552;27049;841;2726;2767;2766;3177;2847;2773;3229;2860;2497
Vlaams Gewest;Alle verpleegkundigen;;130580;112672;17908;4371;10030;9573;9906;11660;11447;12633;14246;11503;17303;643;1724;1578;1629;1874;1772;2021;2412;2185;2070
Waals Gewest;Alle verpleegkundigen;;58623;51540;7083;1409;4286;4581;4858;5803;5387;5521;6180;5272;8243;156;770;909;890;1095;941;634;715;598;375
Brussels Hoofdstedelijk Gewest;Alle verpleegkundigen;;9975;8483;1492;283;1089;932;757;793;766;741;842;777;1503;42;232;280;247;208;134;118;102;77;52
Vlaams Brabant;Alle verpleegkundigen;;21260;18134;3126;625;1431;1350;1410;1770;1854;2194;2561;2115;2824;110;263;252;273;275;295;333;477;467;381
West-Vlaanderen;Alle verpleegkundigen;;28636;24933;3703;1045;2343;2361;2341;2565;2441;2404;3017;2564;3852;157;369;335;349;391;368;382;470;449;433
Oost-Vlaanderen;Alle verpleegkundigen;;30873;26646;4227;1089;2363;2143;2326;2781;2793;3052;3344;2581;4174;141;428;358;384;485;435;488;563;520;425
Antwerpen;Alle verpleegkundigen;;30747;26590;4157;1011;2375;2091;2209;2639;2695;3149;3547;2778;4096;144;351;365;370;414;421;479;612;524;477
Limburg;Alle verpleegkundigen;;19064;16369;2695;601;1518;1628;1620;1905;1664;1834;1777;1465;2357;91;313;268;253;309;253;339;290;225;354
Waals Brabant;Alle verpleegkundigen;;5926;5378;548;134;369;390;380;555;520;595;786;649;1000;13;47;69;82;80;66;73;53;40;25
Henegouwen;Alle verpleegkundigen;;21418;18733;2685;493;1509;1653;1737;2138;2080;2082;2337;1889;2815;63;302;343;318;416;346;237;290;243;127
Luik;Alle verpleegkundigen;;18158;15865;2293;432;1447;1551;1653;1892;1651;1588;1627;1574;2450;36;226;288;297;364;319;202;207;210;144
