gebied;specialiteit;totaal;geslacht_vrouw;geslacht_man;vrouw_25-29;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;man_25-29;man_30-34;man_35-39;man_40-44;man_45-49;man_50-54
België;Alle specialiteiten;208;102;106;3;87;7;4;1;1;85;9;3;5;3
België;Functionele en professionele revalidatie van gehandicapten;32;20;12;0;16;1;2;1;0;5;4;0;2;1
België;Mond-, kaak- en aangezichtschirurgie;19;5;14;0;5;0;0;0;0;14;0;0;0;0
België;Intensieve zorgen;61;18;43;0;16;0;2;0;1;37;2;2;1;0
België;Pediatrische neurologie;8;6;2;0;5;1;0;0;0;2;0;0;0;0
België;Nefrologie;11;8;3;1;6;1;0;0;0;3;0;0;0;0
België;Urgentiegeneeskunde;20;5;15;1;2;2;0;0;0;7;3;1;2;2
België;Endocrino-diabetologie;18;14;4;0;13;1;0;0;0;4;0;0;0;0
België;Neonatologie;7;7;0;1;6;0;0;0;0;0;0;0;0;0
België;Oncologie;12;6;6;0;6;0;0;0;0;6;0;0;0;0
België;Pediatrische hematologie en oncologie;5;5;0;0;4;1;0;0;0;0;0;0;0;0
België;Klinische hematologie;15;8;7;0;8;0;0;0;0;7;0;0;0;0
Vlaams Gewest;Alle specialiteiten;137;68;69;2;59;5;2;0;0;60;6;1;1;1
Vlaams Gewest;Functionele en professionele revalidatie van gehandicapten;22;15;7;0;12;1;2;0;0;4;3;0;0;0
Vlaams Gewest;Mond-, kaak- en aangezichtschirurgie;13;4;9;0;4;0;0;0;0;9;0;0;0;0
Vlaams Gewest;Intensieve zorgen;39;10;29;0;10;0;0;0;0;28;1;0;0;0
Vlaams Gewest;Pediatrische neurologie;5;4;1;0;3;1;0;0;0;1;0;0;0;0
Vlaams Gewest;Nefrologie;6;5;1;0;5;0;0;0;0;1;0;0;0;0
Vlaams Gewest;Urgentiegeneeskunde;16;5;11;1;2;2;0;0;0;6;2;1;1;1
Vlaams Gewest;Endocrino-diabetologie;11;9;2;0;9;0;0;0;0;2;0;0;0;0
Vlaams Gewest;Neonatologie;6;6;0;1;5;0;0;0;0;0;0;0;0;0
Vlaams Gewest;Oncologie;8;3;5;0;3;0;0;0;0;5;0;0;0;0
Vlaams Gewest;Pediatrische hematologie en oncologie;5;5;0;0;4;1;0;0;0;0;0;0;0;0
Vlaams Gewest;Klinische hematologie;6;2;4;0;2;0;0;0;0;4;0;0;0;0
Waals Gewest;Alle specialiteiten;45;20;25;1;18;1;0;0;1;14;3;1;4;2
