territoire;total;genre_femme;genre_homme;femme_min25;femme_25-29;femme_30-34;femme_35-39;femme_40-44;femme_45-49;femme_50-54;homme_min25;homme_25-29;homme_30-34;homme_35-39;homme_40-44;homme_45-49;homme_50-54;homme_55-59
Belgique;2130;1403;727;222;1059;89;21;6;1;5;102;553;53;8;7;2;1;1
Région flamande;977;642;335;137;465;25;8;3;0;4;64;247;18;3;3;0;0;0
Région wallonne;816;526;290;65;415;38;6;0;1;1;34;225;25;3;1;1;0;1
Région de Bruxelles Capitale;337;235;102;20;179;26;7;3;0;0;4;81;10;2;3;1;1;0
Brabant flamand;213;131;82;15;107;4;0;3;0;2;12;65;3;0;2;0;0;0
Flandre occidentale;150;101;49;33;65;1;1;0;0;1;9;37;3;0;0;0;0;0
Flandre orientale;265;174;91;41;123;8;2;0;0;0;20;63;5;2;1;0;0;0
Anvers;262;180;82;31;134;10;4;0;0;1;14;62;5;1;0;0;0;0
Limbourg;87;56;31;17;36;2;1;0;0;0;9;20;2;0;0;0;0;0
Brabant Wallon;105;77;28;10;57;8;1;0;1;0;3;24;1;0;0;0;0;0
Hainaut;253;171;82;25;134;10;2;0;0;0;10;67;4;0;1;0;0;0
Liège;294;166;128;14;136;14;2;0;0;0;15;93;16;2;0;1;0;1
Namur;104;73;31;10;59;3;1;0;0;0;4;23;4;0;0;0;0;0
Luxembourg;60;39;21;6;29;3;0;0;0;1;2;18;0;1;0;0;0;0
Région de Bruxelles Capitale;337;235;102;20;179;26;7;3;0;0;4;81;10;2;3;1;1;0
