territoire;spécialité;total;genre_femme;genre_homme;femme_min25;femme_25-29;femme_30-34;femme_35-39;femme_40-44;femme_45-49;femme_50-54;femme_55-59;homme_min25;homme_25-29;homme_30-34;homme_35-39;homme_40-44;homme_45-49;homme_50-54;homme_55-59;homme_60-64
Belgique;Toutes les spécialités;6425;3685;2740;338;2547;676;78;22;11;10;3;201;1896;556;50;16;14;4;2;1
Belgique;Gériatrie;128;99;29;5;59;33;2;0;0;0;0;1;14;13;1;0;0;0;0;0
Belgique;Médecine d'urgence;528;285;243;20;176;75;10;2;1;1;0;9;143;73;7;4;6;1;0;0
Belgique;Médecine légale;14;9;5;1;6;2;0;0;0;0;0;0;4;1;0;0;0;0;0;0
Belgique;Anesthésie-réanimation;673;295;378;16;217;46;12;4;0;0;0;18;273;76;6;2;3;0;0;0
Belgique;Chirurgie;393;198;195;16;134;46;2;0;0;0;0;19;133;40;2;1;0;0;0;0
Belgique;Neurochirurgie;70;23;47;1;19;2;1;0;0;0;0;4;31;12;0;0;0;0;0;0
Belgique;Chirurgie plastique, reconstructrice et esthétique;62;32;30;5;15;12;0;0;0;0;0;0;17;12;1;0;0;0;0;0
Belgique;Urologie;149;70;79;5;47;17;1;0;0;0;0;1;53;24;1;0;0;0;0;0
Belgique;Chirurgie orthopédique;308;91;217;4;59;28;0;0;0;0;0;10;148;54;3;1;1;0;0;0
Belgique;Neurologie;185;121;64;19;76;24;1;1;0;0;0;11;43;10;0;0;0;0;0;0
Belgique;Psychiatrie, particulièrement en psychiatrie infanto-juvénile;148;127;21;6;89;26;5;0;1;0;0;0;18;3;0;0;0;0;0;0
Belgique;Psychiatrie, particulièrement en psychiatrie adulte;314;182;132;16;122;31;7;2;1;3;0;13;91;28;0;0;0;0;0;0
Belgique;Pneumologie;77;44;33;1;20;22;1;0;0;0;0;1;16;16;0;0;0;0;0;0
Belgique;Gastro-entérologie;103;64;39;0;35;27;1;1;0;0;0;0;21;17;1;0;0;0;0;0
Belgique;Cardiologie;124;51;73;0;26;25;0;0;0;0;0;2;36;30;4;0;1;0;0;0
Belgique;Médecine interne;913;516;397;86;386;39;2;3;0;0;0;49;306;36;4;2;0;0;0;0
Belgique;Rhumatologie;36;25;11;0;12;12;1;0;0;0;0;0;8;3;0;0;0;0;0;0
Belgique;Médecine aiguë;21;9;12;0;6;2;1;0;0;0;0;0;9;2;1;0;0;0;0;0
Belgique;Gynécologie-obstétrique;344;296;48;27;227;40;2;0;0;0;0;4;36;8;0;0;0;0;0;0
Belgique;Ophtalmologie;174;94;80;16;68;5;5;0;0;0;0;9;61;7;2;0;1;0;0;0
Belgique;Oto-rhino-laryngologie;135;88;47;6;75;7;0;0;0;0;0;3;38;6;0;0;0;0;0;0
Belgique;Stomatologie;80;29;51;4;24;1;0;0;0;0;0;5;37;9;0;0;0;0;0;0
Belgique;Dermato-vénéréologie;123;103;20;15;81;7;0;0;0;0;0;1;18;1;0;0;0;0;0;0
Belgique;Pédiatrie;491;409;82;45;306;55;3;0;0;0;0;9;63;10;0;0;0;0;0;0
Belgique;Médecine physique et réadaptation;122;65;57;5;53;6;0;1;0;0;0;5;46;6;0;0;0;0;0;0
Belgique;Biologie clinique;78;36;42;0;23;10;3;0;0;0;0;4;29;5;3;1;0;0;0;0
Belgique;Radiodiagnostic;281;110;171;7;77;22;2;2;0;0;0;13;130;22;4;2;0;0;0;0
Belgique;Radiothérapie - oncologie;55;25;30;2;19;4;0;0;0;0;0;4;18;6;1;1;0;0;0;0
Belgique;Médecine nucléaire;38;16;22;2;11;3;0;0;0;0;0;2;12;7;0;1;0;0;0;0
Belgique;Anatomie pathologique;71;45;26;0;34;10;0;1;0;0;0;2;19;3;2;0;0;0;0;0
Belgique;Oncologie médicale;65;39;26;4;17;16;2;0;0;0;0;0;14;11;1;0;0;0;0;0
Belgique;Génétique clinique;22;16;6;4;9;2;1;0;0;0;0;2;3;1;0;0;0;0;0;0
Belgique;Médecine du travail;100;73;27;0;19;19;13;5;8;6;3;0;8;4;6;1;2;3;2;1
Région flamande;Toutes les spécialités;3291;1900;1391;205;1305;327;37;13;4;7;2;125;984;246;22;6;4;2;2;0
Région flamande;Gériatrie;44;32;12;0;19;13;0;0;0;0;0;0;6;6;0;0;0;0;0;0
