territoire;spécialité;total;genre_femme;genre_homme;femme_min25;femme_25-29;femme_30-34;femme_35-39;femme_40-44;homme_min25;homme_25-29;homme_30-34;homme_35-39;homme_40-44;homme_50-54;homme_55-59
Belgique;Toutes les spécialités;343;207;136;64;116;20;4;3;36;67;23;6;1;2;1
Belgique;Dentisterie générale;263;157;106;54;78;18;4;3;29;50;18;5;1;2;1
Belgique;Parodontologie;27;11;16;3;8;0;0;0;4;9;2;1;0;0;0
Belgique;Orthodontie;53;39;14;7;30;2;0;0;3;8;3;0;0;0;0
Région flamande;Toutes les spécialités;140;87;53;34;40;9;2;2;18;22;9;3;0;0;1
Région flamande;Dentisterie générale;91;53;38;27;15;7;2;2;15;13;7;2;0;0;1
Région flamande;Parodontologie;21;9;12;2;7;0;0;0;2;7;2;1;0;0;0
Région flamande;Orthodontie;28;25;3;5;18;2;0;0;1;2;0;0;0;0;0
Région wallonne;Toutes les spécialités;97;62;35;23;33;4;1;1;13;15;4;1;1;1;0
Région wallonne;Dentisterie générale;82;55;27;20;29;4;1;1;9;12;3;1;1;1;0
Région wallonne;Parodontologie;4;1;3;1;0;0;0;0;2;1;0;0;0;0;0
Région wallonne;Orthodontie;11;6;5;2;4;0;0;0;2;2;1;0;0;0;0
Région de Bruxelles Capitale;Toutes les spécialités;106;58;48;7;43;7;1;0;5;30;10;2;0;1;0
Région de Bruxelles Capitale;Dentisterie générale;90;49;41;7;34;7;1;0;5;25;8;2;0;1;0
Région de Bruxelles Capitale;Parodontologie;2;1;1;0;1;0;0;0;0;1;0;0;0;0;0
Région de Bruxelles Capitale;Orthodontie;14;8;6;0;8;0;0;0;0;4;2;0;0;0;0
Brabant flamand;Toutes les spécialités;50;26;24;9;14;2;1;0;5;14;3;2;0;0;0
Brabant flamand;Dentisterie générale;31;16;15;5;8;2;1;0;4;8;2;1;0;0;0
Brabant flamand;Parodontologie;12;4;8;2;2;0;0;0;1;5;1;1;0;0;0
Brabant flamand;Orthodontie;7;6;1;2;4;0;0;0;0;1;0;0;0;0;0
Flandre occidentale;Toutes les spécialités;14;11;3;4;7;0;0;0;2;1;0;0;0;0;0
Flandre occidentale;Dentisterie générale;6;4;2;3;1;0;0;0;1;1;0;0;0;0;0
Flandre occidentale;Parodontologie;3;2;1;0;2;0;0;0;1;0;0;0;0;0;0
Flandre occidentale;Orthodontie;5;5;0;1;4;0;0;0;0;0;0;0;0;0;0
Flandre orientale;Toutes les spécialités;42;25;17;9;11;5;0;0;6;4;6;1;0;0;0
Flandre orientale;Dentisterie générale;25;12;13;8;1;3;0;0;6;1;5;1;0;0;0
Flandre orientale;Parodontologie;6;3;3;0;3;0;0;0;0;2;1;0;0;0;0
Flandre orientale;Orthodontie;11;10;1;1;7;2;0;0;0;1;0;0;0;0;0
Anvers;Toutes les spécialités;25;17;8;7;6;1;1;2;4;3;0;0;0;0;1
Anvers;Dentisterie générale;21;14;7;6;4;1;1;2;3;3;0;0;0;0;1
Anvers;Orthodontie;4;3;1;1;2;0;0;0;1;0;0;0;0;0;0
Limbourg;Toutes les spécialités;9;8;1;5;2;1;0;0;1;0;0;0;0;0;0
Limbourg;Dentisterie générale;8;7;1;5;1;1;0;0;1;0;0;0;0;0;0
Limbourg;Orthodontie;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0
Brabant Wallon;Toutes les spécialités;15;13;2;3;10;0;0;0;1;1;0;0;0;0;0
Brabant Wallon;Dentisterie générale;13;11;2;1;10;0;0;0;1;1;0;0;0;0;0
Brabant Wallon;Parodontologie;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
Brabant Wallon;Orthodontie;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
Hainaut;Toutes les spécialités;23;15;8;4;7;2;1;1;3;4;0;0;1;0;0
Hainaut;Dentisterie générale;22;14;8;4;6;2;1;1;3;4;0;0;1;0;0
Hainaut;Orthodontie;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0
Liège;Toutes les spécialités;42;19;23;11;6;2;0;0;9;9;3;1;0;1;0
Liège;Dentisterie générale;32;17;15;10;5;2;0;0;5;6;2;1;0;1;0
Liège;Parodontologie;3;0;3;0;0;0;0;0;2;1;0;0;0;0;0
Liège;Orthodontie;7;2;5;1;1;0;0;0;2;2;1;0;0;0;0
Namur;Toutes les spécialités;8;8;0;3;5;0;0;0;0;0;0;0;0;0;0
Namur;Dentisterie générale;6;6;0;3;3;0;0;0;0;0;0;0;0;0;0
Namur;Orthodontie;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0
Luxembourg;Toutes les spécialités;9;7;2;2;5;0;0;0;0;1;1;0;0;0;0
Luxembourg;Dentisterie générale;9;7;2;2;5;0;0;0;0;1;1;0;0;0;0
Région de Bruxelles Capitale;Toutes les spécialités;106;58;48;7;43;7;1;0;5;30;10;2;0;1;0
Région de Bruxelles Capitale;Dentisterie générale;90;49;41;7;34;7;1;0;5;25;8;2;0;1;0
Région de Bruxelles Capitale;Parodontologie;2;1;1;0;1;0;0;0;0;1;0;0;0;0;0
Région de Bruxelles Capitale;Orthodontie;14;8;6;0;8;0;0;0;0;4;2;0;0;0;0
