gebied;specialiteit;totaal;geslacht_vrouw;geslacht_man;vrouw_min25;vrouw_25-29;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_50-54;vrouw_55-59;vrouw_60-64;vrouw_65plus;man_min25;man_25-29;man_30-34;man_35-39;man_40-44;man_45-49;man_50-54;man_55-59;man_60-64;man_65plus
België;Alle geestelijke gezondheidszorgbeoefenaars;11824;10152;1672;444;2397;2046;1643;1395;903;567;414;249;94;26;184;227;220;242;189;159;194;139;92
Vlaams Gewest;Alle geestelijke gezondheidszorgbeoefenaars;7942;6890;1052;395;1733;1450;1112;913;519;359;245;128;36;22;128;141;133;156;113;91;127;85;56
Waals Gewest;Alle geestelijke gezondheidszorgbeoefenaars;2842;2396;446;38;462;424;402;392;296;147;120;81;34;4;36;63;67;63;54;48;50;36;25
Brussels Hoofdstedelijk Gewest;Alle geestelijke gezondheidszorgbeoefenaars;1040;866;174;11;202;172;129;90;88;61;49;40;24;0;20;23;20;23;22;20;17;18;11
Vlaams Brabant;Alle geestelijke gezondheidszorgbeoefenaars;1756;1534;222;74;375;266;225;227;142;99;72;40;14;1;22;28;26;34;28;19;32;19;13
West-Vlaanderen;Alle geestelijke gezondheidszorgbeoefenaars;1058;908;150;67;234;189;154;112;61;44;30;13;4;6;16;18;16;26;13;9;23;13;10
Oost-Vlaanderen;Alle geestelijke gezondheidszorgbeoefenaars;2233;1897;336;127;461;369;300;272;150;104;66;39;9;6;39;46;45;50;46;30;32;28;14
Antwerpen;Alle geestelijke gezondheidszorgbeoefenaars;1972;1718;254;86;436;427;275;213;111;87;52;23;8;3;40;33;38;36;17;27;29;19;12
Limburg;Alle geestelijke gezondheidszorgbeoefenaars;923;833;90;41;227;199;158;89;55;25;25;13;1;6;11;16;8;10;9;6;11;6;7
Waals Brabant;Alle geestelijke gezondheidszorgbeoefenaars;590;505;85;3;77;85;84;68;91;35;27;28;7;2;3;14;12;13;13;10;7;6;5
Henegouwen;Alle geestelijke gezondheidszorgbeoefenaars;690;578;112;15;110;103;83;103;71;45;25;14;9;0;10;13;19;16;15;8;12;6;13
Luik;Alle geestelijke gezondheidszorgbeoefenaars;1003;845;158;13;189;146;155;135;76;48;46;27;10;1;15;24;24;22;16;18;20;15;3
Namen;Alle geestelijke gezondheidszorgbeoefenaars;404;336;68;6;55;71;62;61;34;16;14;9;8;1;5;10;10;8;6;10;8;7;3
