territoire;agrément;spécialité;total;genre_femme;genre_homme;femme_min25;femme_25-29;femme_30-34;femme_35-39;femme_40-44;femme_45-49;femme_50-54;femme_55-59;femme_60-64;femme_65plus;homme_min25;homme_25-29;homme_30-34;homme_35-39;homme_40-44;homme_45-49;homme_50-54;homme_55-59;homme_60-64;homme_65plus
Belgique;Tous les infirmiers;;202513;175414;27099;5566;15592;15661;15250;18246;17775;18316;21395;18636;28977;810;2698;2954;2688;3183;2957;2746;3165;3077;2821
Région flamande;Tous les infirmiers;;132945;114633;18312;4007;10242;9994;9753;11682;11483;12214;14402;12153;18703;624;1726;1719;1564;1880;1803;1957;2376;2338;2325
Région wallonne;Tous les infirmiers;;59642;52357;7285;1299;4282;4748;4768;5784;5525;5375;6167;5658;8751;140;754;954;890;1091;1010;668;687;658;433
Région de Bruxelles Capitale;Tous les infirmiers;;9926;8424;1502;260;1068;919;729;780;767;727;826;825;1523;46;218;281;234;212;144;121;102;81;63
Brabant flamand;Tous les infirmiers;;21648;18444;3204;600;1451;1426;1390;1793;1843;2029;2563;2258;3091;115;261;282;282;274;296;303;457;486;448
Flandre occidentale;Tous les infirmiers;;29270;25493;3777;1014;2346;2411;2344;2603;2456;2414;3037;2676;4192;146;361;369;309;417;358;393;464;473;487
Flandre orientale;Tous les infirmiers;;31516;27157;4359;996;2486;2265;2300;2745;2810;3007;3340;2742;4466;145;453;387;377;462;456;479;539;576;485
Anvers;Tous les infirmiers;;31113;26885;4228;873;2390;2265;2131;2620;2646;2996;3611;2943;4410;131;350;392;348;417;423;472;600;564;531
Limbourg;Tous les infirmiers;;19398;16654;2744;524;1569;1627;1588;1921;1728;1768;1851;1534;2544;87;301;289;248;310;270;310;316;239;374
Brabant Wallon;Tous les infirmiers;;6081;5487;594;114;344;430;391;536;553;567;755;728;1069;9;59;73;90;92;68;75;52;45;31
Hainaut;Tous les infirmiers;;21784;19045;2739;490;1504;1737;1676;2117;2113;2051;2351;1997;3009;45;296;359;304;429;355;252;280;264;155
Liège;Tous les infirmiers;;18396;16048;2348;348;1455;1587;1637;1864;1722;1560;1644;1649;2582;46;211;298;292;359;347;217;194;224;160
Namur;Tous les infirmiers;;9117;7998;1119;223;679;696;713;831;767;796;932;879;1482;30;147;167;145;143;153;98;104;76;56
Luxembourg;Tous les infirmiers;;4264;3779;485;124;300;298;351;436;370;401;485;405;609;10;41;57;59;68;87;26;57;49;31
Région de Bruxelles Capitale;Tous les infirmiers;;9926;8424;1502;260;1068;919;729;780;767;727;826;825;1523;46;218;281;234;212;144;121;102;81;63
Belgique;Enregistrés sans agrément particulier (AP);;167681;147307;20374;5019;12617;12181;11777;14157;14117;14743;18131;16350;28215;722;2096;2172;1914;2198;2083;1945;2307;2376;2561
Région flamande;Enregistrés sans agrément particulier (AP);;111344;97364;13980;3711;8678;8080;7722;9221;9185;9834;12179;10582;18172;567;1407;1321;1123;1308;1280;1390;1704;1781;2099
Région wallonne;Enregistrés sans agrément particulier (AP);;48197;42961;5236;1087;3142;3401;3501;4329;4305;4325;5259;5059;8553;114;531;645;612;729;687;461;525;528;404
Région de Bruxelles Capitale;Enregistrés sans agrément particulier (AP);;8140;6982;1158;221;797;700;554;607;627;584;693;709;1490;41;158;206;179;161;116;94;78;67;58
Brabant flamand;Enregistrés sans agrément particulier (AP);;17900;15468;2432;552;1146;1100;1080;1404;1457;1647;2162;1931;2989;107;206;227;210;192;213;218;314;344;401
Flandre occidentale;Enregistrés sans agrément particulier (AP);;24297;21516;2781;946;2063;2002;1863;2008;1944;1858;2492;2287;4053;127;304;273;214;275;238;265;313;345;427
Flandre orientale;Enregistrés sans agrément particulier (AP);;26225;22897;3328;908;2106;1849;1788;2118;2209;2381;2806;2401;4331;128;371;298;262;321;325;339;393;457;434
Anvers;Enregistrés sans agrément particulier (AP);;26047;22825;3222;808;1974;1791;1672;2096;2123;2434;3075;2558;4294;123;270;296;244;284;297;343;442;435;488
Limbourg;Enregistrés sans agrément particulier (AP);;16875;14658;2217;497;1389;1338;1319;1595;1452;1514;1644;1405;2505;82;256;227;193;236;207;225;242;200;349
Brabant Wallon;Enregistrés sans agrément particulier (AP);;4738;4329;409;90;215;262;249;358;402;451;628;636;1038;7;38;42;60;59;46;52;40;37;28
Hainaut;Enregistrés sans agrément particulier (AP);;18223;16175;2048;426;1209;1301;1317;1677;1717;1697;2049;1820;2962;36;222;263;213;306;256;183;211;208;150
Liège;Enregistrés sans agrément particulier (AP);;14422;12768;1654;278;1010;1117;1138;1358;1292;1237;1353;1460;2525;40;138;200;202;220;224;143;152;183;152
Namur;Enregistrés sans agrément particulier (AP);;7290;6514;776;191;489;510;529;578;591;607;796;782;1441;23;107;114;99;94;94;64;77;57;47
Luxembourg;Enregistrés sans agrément particulier (AP);;3524;3175;349;102;219;211;268;358;303;333;433;361;587;8;26;26;38;50;67;19;45;43;27
Région de Bruxelles Capitale;Enregistrés sans agrément particulier (AP);;8140;6982;1158;221;797;700;554;607;627;584;693;709;1490;41;158;206;179;161;116;94;78;67;58
