territoire;spécialité;total;genre_femme;genre_homme;femme_min25;femme_25-29;femme_30-34;femme_35-39;femme_40-44;femme_45-49;femme_50-54;femme_55-59;femme_60-64;femme_65plus;homme_min25;homme_25-29;homme_30-34;homme_35-39;homme_40-44;homme_45-49;homme_50-54;homme_55-59;homme_60-64;homme_65plus
Belgique;Tous les kinésithérapeutes;38361;23061;15300;1550;3931;2455;1815;2487;2323;2052;2089;1786;2573;701;2464;1445;804;1432;1453;1203;1387;1460;2951
Région flamande;Tous les kinésithérapeutes;21637;13464;8173;862;2289;1307;1194;1538;1525;1209;1185;1019;1336;346;1198;642;463;792;764;630;768;826;1744
Région wallonne;Tous les kinésithérapeutes;13673;7831;5842;553;1267;939;521;843;691;729;762;615;911;287;965;594;252;557;608;501;541;535;1002
Région de Bruxelles Capitale;Tous les kinésithérapeutes;3051;1766;1285;135;375;209;100;106;107;114;142;152;326;68;301;209;89;83;81;72;78;99;205
Brabant flamand;Tous les kinésithérapeutes;4647;2956;1691;166;514;330;260;318;309;267;271;231;290;74;248;166;106;181;156;134;137;163;326
Flandre occidentale;Tous les kinésithérapeutes;4063;2401;1662;179;375;193;179;291;290;223;202;201;268;65;169;74;89;171;153;141;187;192;421
Flandre orientale;Tous les kinésithérapeutes;4962;3211;1751;189;530;290;309;406;375;284;280;204;344;77;265;114;90;165;156;148;190;179;367
Anvers;Tous les kinésithérapeutes;5310;3324;1986;211;594;327;304;352;352;308;322;267;287;92;326;189;118;164;178;139;180;192;408
Limbourg;Tous les kinésithérapeutes;2655;1572;1083;117;276;167;142;171;199;127;110;116;147;38;190;99;60;111;121;68;74;100;222
Brabant Wallon;Tous les kinésithérapeutes;2388;1535;853;101;212;176;91;168;133;113;181;147;213;36;139;96;47;89;92;66;88;76;124
Hainaut;Tous les kinésithérapeutes;4107;2131;1976;123;349;223;140;212;200;224;208;162;290;80;302;201;65;171;204;171;184;187;411
Liège;Tous les kinésithérapeutes;3938;2284;1654;162;374;282;145;263;201;218;208;198;233;79;287;147;67;174;167;154;158;156;265
Namur;Tous les kinésithérapeutes;1945;1107;838;89;183;132;81;103;91;123;100;82;123;45;128;76;39;73;101;71;73;85;147
Luxembourg;Tous les kinésithérapeutes;1295;774;521;78;149;126;64;97;66;51;65;26;52;47;109;74;34;50;44;39;38;31;55
Région de Bruxelles Capitale;Tous les kinésithérapeutes;3051;1766;1285;135;375;209;100;106;107;114;142;152;326;68;301;209;89;83;81;72;78;99;205
Belgique;Sans qualification professionnelle particulière (QPP);34903;20631;14272;1548;3668;1871;1398;2124;2059;1833;1902;1688;2540;701;2381;1247;667;1279;1320;1112;1286;1384;2895
Région flamande;Sans qualification professionnelle particulière (QPP);18947;11560;7387;860;2061;842;853;1274;1311;1044;1055;951;1309;346;1134;509;350;680;659;558;688;761;1702
Région wallonne;Sans qualification professionnelle particulière (QPP);13072;7409;5663;553;1241;845;470;757;649;683;710;596;905;287;950;553;233;527;585;486;527;525;990
Région de Bruxelles Capitale;Sans qualification professionnelle particulière (QPP);2884;1662;1222;135;366;184;75;93;99;106;137;141;326;68;297;185;84;72;76;68;71;98;203
Brabant flamand;Sans qualification professionnelle particulière (QPP);4110;2569;1541;166;468;237;188;260;262;235;252;213;288;74;238;134;86;158;137;119;124;151;320
Flandre occidentale;Sans qualification professionnelle particulière (QPP);3496;2011;1485;179;321;106;118;234;247;187;173;185;261;65;153;52;61;138;133;122;173;180;408
Flandre orientale;Sans qualification professionnelle particulière (QPP);4282;2709;1573;188;476;163;213;329;314;242;254;193;337;77;251;84;62;140;133;133;169;166;358
Anvers;Sans qualification professionnelle particulière (QPP);4701;2898;1803;211;541;220;226;301;305;277;282;254;281;92;309;155;93;148;153;125;155;171;402
Limbourg;Sans qualification professionnelle particulière (QPP);2358;1373;985;116;255;116;108;150;183;103;94;106;142;38;183;84;48;96;103;59;67;93;214
Brabant Wallon;Sans qualification professionnelle particulière (QPP);2203;1400;803;101;205;143;72;148;120;98;164;139;210;36;133;84;40;79;88;62;86;75;120
Hainaut;Sans qualification professionnelle particulière (QPP);3978;2049;1929;123;345;208;133;191;192;211;195;162;289;80;299;189;61;164;197;168;181;182;408
Liège;Sans qualification professionnelle particulière (QPP);3743;2144;1599;162;365;249;130;235;186;205;193;187;232;79;284;138;64;162;158;148;151;153;262
Namur;Sans qualification professionnelle particulière (QPP);1878;1059;819;89;179;124;74;90;86;119;94;82;122;45;126;70;35;72;99;70;72;84;146
Luxembourg;Sans qualification professionnelle particulière (QPP);1270;757;513;78;147;121;61;93;65;50;64;26;52;47;108;72;33;50;43;38;37;31;54
Région de Bruxelles Capitale;Sans qualification professionnelle particulière (QPP);2884;1662;1222;135;366;184;75;93;99;106;137;141;326;68;297;185;84;72;76;68;71;98;203
Belgique;Kinésithérapie cardiovasculaire;159;93;66;0;12;11;10;15;17;14;12;2;0;0;5;5;8;10;7;8;12;8;3
Belgique;Thérapie manuelle;1508;797;711;0;130;274;149;93;58;41;29;14;9;0;70;160;101;96;89;53;61;47;34
Belgique;Kinésithérapie neurologique;380;288;92;1;35;59;51;44;26;36;21;14;1;0;3;10;11;23;14;15;7;4;5
Belgique;Kinésithérapie pédiatrique;718;657;61;0;61;150;125;108;70;49;59;23;12;0;1;10;6;12;7;8;6;7;4
Belgique;Rééducation abdomino-pelvienne et kinésithérapie périnatale;453;434;19;0;6;57;59;79;72;64;52;38;7;0;0;0;2;0;4;2;4;3;4
Belgique;Kinésithérapie respiratoire;240;161;79;1;19;33;23;24;21;15;14;7;4;0;4;13;9;12;12;5;11;7;6
Région flamande;Kinésithérapie cardiovasculaire;95;54;41;0;8;9;5;5;12;8;6;1;0;0;2;1;5;6;4;4;9;7;3
Région flamande;Thérapie manuelle;1304;714;590;0;120;240;139;80;57;36;24;11;7;0;55;117;91;78;78;47;52;44;28
Région flamande;Kinésithérapie neurologique;255;196;59;1;29;41;38;25;18;24;10;9;1;0;2;6;8;13;12;9;6;1;2
Région flamande;Kinésithérapie pédiatrique;564;524;40;0;54;117;101;87;57;38;43;17;10;0;1;4;4;8;3;7;3;6;4
Région flamande;Rééducation abdomino-pelvienne et kinésithérapie périnatale;308;299;9;0;3;36;43;52;53;46;36;25;5;0;0;0;0;0;2;0;3;2;2
Région flamande;Kinésithérapie respiratoire;164;117;47;1;14;22;15;15;17;13;11;5;4;0;4;5;5;7;6;5;7;5;3
Région wallonne;Kinésithérapie cardiovasculaire;48;32;16;0;3;1;4;10;3;5;6;0;0;0;2;2;2;2;2;3;2;1;0
Région wallonne;Thérapie manuelle;159;66;93;0;9;27;5;12;0;5;4;2;2;0;12;29;8;15;11;3;6;3;6
Région wallonne;Kinésithérapie neurologique;103;77;26;0;3;17;7;16;8;11;10;5;0;0;1;2;3;7;1;6;1;2;3
Région wallonne;Kinésithérapie pédiatrique;115;101;14;0;6;23;16;16;12;10;14;2;2;0;0;3;2;3;3;1;1;1;0
Région wallonne;Rééducation abdomino-pelvienne et kinésithérapie périnatale;123;116;7;0;2;18;15;25;17;13;15;9;2;0;0;0;2;0;0;2;1;1;1
