territoire;spécialité;total;genre_femme;genre_homme;femme_min25;femme_25-29;femme_30-34;femme_35-39;femme_40-44;femme_45-49;femme_50-54;femme_55-59;femme_60-64;femme_65plus;homme_min25;homme_25-29;homme_30-34;homme_35-39;homme_40-44;homme_45-49;homme_50-54;homme_55-59;homme_60-64;homme_65plus
Belgique;Tous les paramédicaux;72232;61591;10641;6776;11776;9718;7192;6228;4294;4405;4552;3815;2835;1095;2191;1549;1061;872;754;677;786;813;843
Région flamande;Tous les paramédicaux;44301;38023;6278;4790;7819;6136;4341;3674;2524;2550;2644;2172;1373;748;1385;848;566;485;420;369;447;481;529
Région wallonne;Tous les paramédicaux;22955;19448;3507;1497;2963;2851;2381;2199;1549;1642;1675;1449;1242;271;610;556;389;310;275;252;293;283;268
Région de Bruxelles Capitale;Tous les paramédicaux;4976;4120;856;489;994;731;470;355;221;213;233;194;220;76;196;145;106;77;59;56;46;49;46
Brabant flamand;Tous les paramédicaux;7399;6175;1224;704;1177;955;750;597;431;423;465;415;258;119;247;147;106;87;93;75;115;128;107
Flandre occidentale;Tous les paramédicaux;9141;7799;1342;1021;1575;1259;888;785;483;511;566;430;281;134;285;163;129;98;98;88;109;102;136
Flandre orientale;Tous les paramédicaux;10820;9375;1445;1186;2010;1541;1010;911;616;638;572;537;354;189;319;192;147;127;84;91;85;94;117
Anvers;Tous les paramédicaux;11332;9806;1526;1338;2095;1538;1083;884;627;642;700;559;340;218;344;229;124;111;94;88;96;109;113
Limbourg;Tous les paramédicaux;5609;4868;741;541;962;843;610;497;367;336;341;231;140;88;190;117;60;62;51;27;42;48;56
Brabant Wallon;Tous les paramédicaux;2652;2231;421;131;297;290;271;261;202;182;223;193;181;15;61;65;50;45;40;37;33;39;36
Hainaut;Tous les paramédicaux;7973;6607;1366;549;1063;946;784;732;542;573;548;466;404;142;251;230;147;107;90;90;100;106;103
Liège;Tous les paramédicaux;7308;6339;969;456;955;967;770;718;472;552;551;499;399;70;178;139;112;89;81;62;81;80;77
Namur;Tous les paramédicaux;3466;2889;577;208;443;447;388;323;225;230;242;206;177;27;93;95;64;57;53;49;60;42;37
Luxembourg;Tous les paramédicaux;1556;1382;174;153;205;201;168;165;108;105;111;85;81;17;27;27;16;12;11;14;19;16;15
Région de Bruxelles Capitale;Tous les paramédicaux;4976;4120;856;489;994;731;470;355;221;213;233;194;220;76;196;145;106;77;59;56;46;49;46
Belgique;Assistant pharmaceutico-technique;14127;12352;1775;1556;1844;1678;1287;1193;1013;1200;995;814;772;364;415;317;156;96;115;90;68;70;84
Région flamande;Assistant pharmaceutico-technique;7266;6192;1074;909;1012;805;579;545;465;624;509;401;343;227;271;177;86;59;61;51;39;44;59
Région wallonne;Assistant pharmaceutico-technique;5764;5203;561;495;644;695;580;555;498;520;441;382;393;110;114;120;56;28;41;26;23;21;22
Région de Bruxelles Capitale;Assistant pharmaceutico-technique;1097;957;140;152;188;178;128;93;50;56;45;31;36;27;30;20;14;9;13;13;6;5;3
Brabant flamand;Assistant pharmaceutico-technique;1146;931;215;127;147;118;109;85;70;96;73;66;40;50;57;25;14;11;13;11;12;12;10
Flandre occidentale;Assistant pharmaceutico-technique;1279;1111;168;152;145;118;90;106;82;134;112;91;81;32;33;24;16;16;14;8;4;9;12
Flandre orientale;Assistant pharmaceutico-technique;1368;1163;205;160;218;155;90;100;83;119;94;76;68;37;56;33;14;11;11;13;8;10;12
Anvers;Assistant pharmaceutico-technique;2266;1922;344;359;338;225;159;149;127;176;155;120;114;94;97;64;20;13;14;14;11;9;8
Limbourg;Assistant pharmaceutico-technique;1207;1065;142;111;164;189;131;105;103;99;75;48;40;14;28;31;22;8;9;5;4;4;17
Brabant Wallon;Assistant pharmaceutico-technique;282;248;34;9;20;22;19;19;30;33;35;27;34;4;4;6;1;1;6;1;2;3;6
Hainaut;Assistant pharmaceutico-technique;2233;1995;238;207;247;253;205;188;183;220;177;152;163;64;48;42;22;14;14;10;9;9;6
Liège;Assistant pharmaceutico-technique;1933;1773;160;152;201;256;219;212;178;156;156;120;123;19;34;31;22;7;13;11;7;8;8
Namur;Assistant pharmaceutico-technique;908;813;95;71;133;117;100;89;76;80;45;56;46;14;23;32;7;4;7;4;4;0;0
Luxembourg;Assistant pharmaceutico-technique;408;374;34;56;43;47;37;47;31;31;28;27;27;9;5;9;4;2;1;0;1;1;2
Région de Bruxelles Capitale;Assistant pharmaceutico-technique;1097;957;140;152;188;178;128;93;50;56;45;31;36;27;30;20;14;9;13;13;6;5;3
Belgique;Audiologue;1487;1304;183;204;473;279;102;79;46;51;29;26;15;18;49;34;17;8;18;8;12;8;11
