territoire;spécialité;total;genre_femme;genre_homme;femme_min25;femme_25-29;femme_30-34;femme_35-39;femme_40-44;femme_45-49;femme_50-54;femme_55-59;femme_60-64;femme_65plus;homme_min25;homme_25-29;homme_30-34;homme_35-39;homme_40-44;homme_45-49;homme_50-54;homme_55-59;homme_60-64;homme_65plus
Belgique;Toutes les sages-femmes;12482;12376;106;878;2128;1925;1449;1195;914;1011;1185;802;889;1;6;7;4;12;14;18;23;18;3
Région flamande;Toutes les sages-femmes;8579;8511;68;688;1420;1263;1057;893;590;688;830;534;548;1;3;4;3;5;8;16;17;9;2
Région wallonne;Toutes les sages-femmes;3086;3057;29;148;505;478;317;250;286;286;287;230;270;0;1;2;0;6;4;1;6;8;1
Région de Bruxelles Capitale;Toutes les sages-femmes;817;808;9;42;203;184;75;52;38;37;68;38;71;0;2;1;1;1;2;1;0;1;0
Brabant flamand;Toutes les sages-femmes;1627;1609;18;120;263;267;192;151;119;130;161;101;105;0;1;1;1;1;3;3;4;3;1
Flandre occidentale;Toutes les sages-femmes;1698;1687;11;155;294;231;195;150;127;139;161;129;106;0;1;1;0;0;0;2;5;2;0
Flandre orientale;Toutes les sages-femmes;1768;1750;18;136;329;294;232;224;122;141;139;76;57;1;0;1;0;3;2;7;4;0;0
Anvers;Toutes les sages-femmes;2307;2293;14;155;365;321;279;253;145;192;243;154;186;0;1;1;2;1;1;2;3;2;1
Limbourg;Toutes les sages-femmes;1179;1172;7;122;169;150;159;115;77;86;126;74;94;0;0;0;0;0;2;2;1;2;0
Brabant Wallon;Toutes les sages-femmes;438;434;4;21;63;74;42;28;34;52;41;32;47;0;0;0;0;0;0;0;1;2;1
Hainaut;Toutes les sages-femmes;936;925;11;49;133;146;92;80;98;104;83;80;60;0;1;0;0;1;2;1;1;5;0
Liège;Toutes les sages-femmes;918;907;11;42;155;147;113;79;82;69;78;63;79;0;0;1;0;5;2;0;3;0;0
Namur;Toutes les sages-femmes;534;533;1;24;101;81;52;40;46;36;55;34;64;0;0;0;0;0;0;0;1;0;0
Luxembourg;Toutes les sages-femmes;260;258;2;12;53;30;18;23;26;25;30;21;20;0;0;1;0;0;0;0;0;1;0
Région de Bruxelles Capitale;Toutes les sages-femmes;817;808;9;42;203;184;75;52;38;37;68;38;71;0;2;1;1;1;2;1;0;1;0
Belgique;Sans habilitation à prescrire;11124;11026;98;635;1619;1717;1315;1100;854;972;1141;786;887;1;3;5;4;12;13;18;23;16;3
Région flamande;Sans habilitation à prescrire;7917;7853;64;558;1209;1169;971;836;561;670;805;526;548;1;1;3;3;5;7;16;17;9;2
Région wallonne;Sans habilitation à prescrire;2601;2576;25;58;301;410;285;227;264;266;271;225;269;0;0;1;0;6;4;1;6;6;1
