territoire;total;genre_femme;genre_homme;femme_min25;femme_25-29;femme_30-34;femme_35-39;femme_40-44;femme_45-49;femme_50-54;femme_55-59;femme_60-64;femme_65plus;homme_min25;homme_25-29;homme_30-34;homme_35-39;homme_40-44;homme_45-49;homme_50-54;homme_55-59;homme_60-64;homme_65plus
Belgique;122203;112019;10184;13546;12976;13324;12880;12144;10604;10455;10366;8119;7605;1764;1641;1480;1158;1060;876;767;642;402;394
Région flamande;75004;69212;5792;9931;8427;8148;7561;6920;6095;6348;6482;5003;4297;1298;997;851;580;480;409;371;368;238;200
Région wallonne;40640;37121;3519;3111;3855;4529;4672;4547;3928;3527;3353;2740;2859;387;523;535;456;480;368;290;206;123;151
Région de Bruxelles Capitale;6559;5686;873;504;694;647;647;677;581;580;531;376;449;79;121;94;122;100;99;106;68;41;43
Brabant flamand;10917;10012;905;1301;987;1069;1042;1003;982;1009;1065;808;746;182;117;117;93;87;84;66;58;50;51
Flandre occidentale;15023;13939;1084;2102;1945;1784;1414;1285;1169;1167;1238;952;883;322;210;171;93;79;65;51;53;26;14
Flandre orientale;18437;17080;1357;2462;1978;1988;1912;1719;1506;1530;1631;1280;1074;306;214;203;146;107;102;93;94;51;41
Anvers;20132;18605;1527;2645;2294;2132;2180;1898;1597;1718;1607;1351;1183;288;283;214;164;136;99;100;107;74;62
Limbourg;10495;9576;919;1421;1223;1175;1013;1015;841;924;941;612;411;200;173;146;84;71;59;61;56;37;32
Brabant Wallon;2466;2251;215;201;186;210;241;267;245;236;230;188;247;21;27;29;29;24;30;21;17;8;9
Hainaut;17175;15670;1505;1249;1644;1977;1904;1968;1681;1478;1390;1161;1218;160;222;230;198;219;164;130;86;46;50
Liège;12910;11775;1135;951;1235;1478;1621;1469;1257;1118;1061;810;775;116;164;173;150;154;113;94;69;40;62
Namur;5462;4986;476;455;563;575;608;550;512;469;431;389;434;57;80;77;52;60;46;33;26;23;22
Luxembourg;2627;2439;188;255;227;289;298;293;233;226;241;192;185;33;30;26;27;23;15;12;8;6;8
Région de Bruxelles Capitale;6559;5686;873;504;694;647;647;677;581;580;531;376;449;79;121;94;122;100;99;106;68;41;43
