gebied;totaal;geslacht_vrouw;geslacht_man;vrouw_min25;vrouw_25-29;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_50-54;vrouw_60-64;man_min25;man_25-29;man_30-34;man_35-39;man_40-44;man_45-49;man_50-54;man_55-59
België;2237;1473;764;193;1139;97;24;12;1;6;1;64;603;69;14;6;5;2;1
Vlaams Gewest;1080;703;377;111;538;35;9;5;0;4;1;41;299;27;5;1;3;1;0
Waals Gewest;797;534;263;70;413;40;6;3;1;1;0;20;206;26;7;1;1;1;1
Brussels Hoofdstedelijk Gewest;360;236;124;12;188;22;9;4;0;1;0;3;98;16;2;4;1;0;0
Vlaams Brabant;240;160;80;26;119;8;2;3;0;2;0;4;68;6;1;0;1;0;0
West-Vlaanderen;162;113;49;17;92;3;0;0;0;1;0;7;39;3;0;0;0;0;0
Oost-Vlaanderen;297;178;119;33;127;12;4;1;0;0;1;17;93;6;1;0;2;0;0
Antwerpen;289;198;91;28;157;9;2;1;0;1;0;8;69;11;2;1;0;0;0
Limburg;92;54;38;7;43;3;1;0;0;0;0;5;30;1;1;0;0;1;0
Waals Brabant;98;71;27;6;57;5;2;0;1;0;0;0;24;1;2;0;0;0;0
Henegouwen;245;178;67;21;140;13;1;3;0;0;0;7;53;6;1;0;0;0;0
Luik;282;166;116;23;126;15;2;0;0;0;0;8;90;12;3;1;1;0;1
Namen;109;75;34;9;63;2;1;0;0;0;0;4;23;6;1;0;0;0;0
Luxemburg;63;44;19;11;27;5;0;0;0;1;0;1;16;1;0;0;0;1;0
Brussels Hoofdstedelijk Gewest;360;236;124;12;188;22;9;4;0;1;0;3;98;16;2;4;1;0;0
