territoire;spécialité;total;genre_femme;genre_homme;femme_min25;femme_25-29;femme_30-34;femme_35-39;femme_40-44;femme_45-49;femme_50-54;femme_55-59;femme_60-64;femme_65plus;homme_min25;homme_25-29;homme_30-34;homme_35-39;homme_40-44;homme_45-49;homme_50-54;homme_55-59;homme_60-64;homme_65plus
Belgique;Tous les pharmaciens;21986;15825;6161;590;2032;2152;1507;1457;1493;1516;1341;871;2866;113;522;651;432;439;473;495;511;480;2045
Région flamande;Tous les pharmaciens;13208;9526;3682;396;1361;1383;911;866;858;832;815;493;1611;81;310;351;234;247;272;250;298;280;1359
Région wallonne;Tous les pharmaciens;6787;4910;1877;159;463;556;459;472;521;578;420;303;979;27;138;194;128;146;159;198;169;145;573
Région de Bruxelles Capitale;Tous les pharmaciens;1991;1389;602;35;208;213;137;119;114;106;106;75;276;5;74;106;70;46;42;47;44;55;113
Brabant flamand;Tous les pharmaciens;2823;2081;742;65;241;254;216;219;206;193;192;126;369;11;59;60;71;54;73;61;67;74;212
Flandre occidentale;Tous les pharmaciens;2352;1686;666;86;238;203;159;133;162;140;144;90;331;13;35;44;25;38;41;37;47;52;334
Flandre orientale;Tous les pharmaciens;3426;2449;977;107;410;400;196;227;212;214;194;106;383;34;97;97;59;60;80;73;65;63;349
Anvers;Tous les pharmaciens;3435;2463;972;107;367;384;253;211;199;208;215;138;381;19;90;117;58;65;63;60;94;77;329
Limbourg;Tous les pharmaciens;1172;847;325;31;105;142;87;76;79;77;70;33;147;4;29;33;21;30;15;19;25;14;135
Brabant Wallon;Tous les pharmaciens;1204;890;314;14;66;85;90;88;99;116;69;65;198;0;15;31;21;26;32;35;31;23;100
Hainaut;Tous les pharmaciens;1919;1375;544;47;124;159;119;125;164;157;125;101;254;6;40;58;37;51;48;51;49;49;155
Liège;Tous les pharmaciens;2182;1558;624;55;168;178;148;133;146;186;128;88;328;12;54;70;41;39;47;71;49;50;191
Namur;Tous les pharmaciens;1044;766;278;23;69;93;72;92;81;77;75;39;145;8;22;26;20;23;18;25;32;17;87
Luxembourg;Tous les pharmaciens;438;321;117;20;36;41;30;34;31;42;23;10;54;1;7;9;9;7;14;16;8;6;40
Région de Bruxelles Capitale;Tous les pharmaciens;1991;1389;602;35;208;213;137;119;114;106;106;75;276;5;74;106;70;46;42;47;44;55;113
Belgique;Sans agrément SPF Santé publique;20925;14905;6020;590;1902;1923;1334;1336;1402;1436;1273;849;2860;113;507;612;406;425;458;488;495;471;2045
Région flamande;Sans agrément SPF Santé publique;12564;8953;3611;396;1282;1229;808;787;806;786;772;481;1606;81;301;335;220;239;262;249;290;275;1359
Région wallonne;Sans agrément SPF Santé publique;6447;4621;1826;159;424;492;403;437;489;549;397;293;978;27;133;176;119;145;155;192;164;142;573
Région de Bruxelles Capitale;Sans agrément SPF Santé publique;1914;1331;583;35;196;202;123;112;107;101;104;75;276;5;73;101;67;41;41;47;41;54;113
Brabant flamand;Sans agrément SPF Santé publique;2694;1971;723;65;231;218;197;199;200;185;186;122;368;11;57;53;67;51;72;60;67;73;212
Flandre occidentale;Sans agrément SPF Santé publique;2249;1596;653;86;218;188;138;124;151;133;138;90;330;13;34;39;24;38;39;37;45;50;334
Flandre orientale;Sans agrément SPF Santé publique;3242;2281;961;107;388;348;166;201;196;202;186;104;383;34;94;96;54;57;77;73;65;62;349
Anvers;Sans agrément SPF Santé publique;3263;2309;954;107;347;344;230;190;185;197;197;133;379;19;89;114;55;63;61;60;88;76;329
Limbourg;Sans agrément SPF Santé publique;1116;796;320;31;98;131;77;73;74;69;65;32;146;4;27;33;20;30;13;19;25;14;135
Brabant Wallon;Sans agrément SPF Santé publique;1149;840;309;14;63;77;76;81;91;112;65;63;198;0;15;28;20;26;32;35;31;22;100
Hainaut;Sans agrément SPF Santé publique;1822;1291;531;47;111;145;103;113;155;152;114;97;254;6;38;53;37;50;47;50;47;48;155
Liège;Sans agrément SPF Santé publique;2076;1476;600;55;158;158;134;126;134;174;124;86;327;12;51;62;35;39;45;68;47;50;191
Namur;Sans agrément SPF Santé publique;981;708;273;23;60;77;60;86;78;71;71;37;145;8;22;25;19;23;17;24;32;16;87
Luxembourg;Sans agrément SPF Santé publique;419;306;113;20;32;35;30;31;31;40;23;10;54;1;7;8;8;7;14;15;7;6;40
Région de Bruxelles Capitale;Sans agrément SPF Santé publique;1914;1331;583;35;196;202;123;112;107;101;104;75;276;5;73;101;67;41;41;47;41;54;113
Belgique;Pharmaciens hospitaliers;1061;920;141;0;130;229;173;121;91;80;68;22;6;0;15;39;26;14;15;7;16;9;0
Région flamande;Pharmaciens hospitaliers;644;573;71;0;79;154;103;79;52;46;43;12;5;0;9;16;14;8;10;1;8;5;0
Région wallonne;Pharmaciens hospitaliers;340;289;51;0;39;64;56;35;32;29;23;10;1;0;5;18;9;1;4;6;5;3;0
Région de Bruxelles Capitale;Pharmaciens hospitaliers;77;58;19;0;12;11;14;7;7;5;2;0;0;0;1;5;3;5;1;0;3;1;0
Brabant flamand;Pharmaciens hospitaliers;129;110;19;0;10;36;19;20;6;8;6;4;1;0;2;7;4;3;1;1;0;1;0
