gebied;specialiteit;totaal;geslacht_vrouw;geslacht_man;vrouw_min25;vrouw_25-29;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_50-54;vrouw_55-59;vrouw_60-64;vrouw_65plus;man_min25;man_25-29;man_30-34;man_35-39;man_40-44;man_45-49;man_50-54;man_55-59;man_60-64;man_65plus
België;Alle vroedvrouwen;12828;12722;106;867;1983;2172;1447;1289;919;1011;1187;859;988;1;5;7;5;11;14;17;17;26;3
Vlaams Gewest;Alle vroedvrouwen;8844;8777;67;674;1325;1463;1026;988;583;693;816;586;623;0;3;3;5;4;8;14;13;15;2
Waals Gewest;Alle vroedvrouwen;3163;3133;30;140;473;531;328;259;286;286;306;230;294;1;1;2;0;5;4;2;4;10;1
Brussels Hoofdstedelijk Gewest;Alle vroedvrouwen;821;812;9;53;185;178;93;42;50;32;65;43;71;0;1;2;0;2;2;1;0;1;0
Vlaams Brabant;Alle vroedvrouwen;1677;1659;18;111;243;323;192;157;111;131;165;110;116;0;1;1;1;1;3;2;3;5;1
West-Vlaanderen;Alle vroedvrouwen;1741;1729;12;151;277;264;187;163;133;137;156;138;123;0;1;1;1;0;0;2;2;5;0
Oost-Vlaanderen;Alle vroedvrouwen;1839;1822;17;143;302;335;230;250;116;152;135;90;69;0;0;1;0;2;2;7;4;1;0
Antwerpen;Alle vroedvrouwen;2375;2362;13;158;341;363;275;285;149;182;237;165;207;0;1;0;3;1;1;2;2;2;1
Limburg;Alle vroedvrouwen;1212;1205;7;111;162;178;142;133;74;91;123;83;108;0;0;0;0;0;2;1;2;2;0
Waals Brabant;Alle vroedvrouwen;438;434;4;18;50;76;49;28;33;51;44;35;50;0;0;0;0;0;0;0;1;2;1
Henegouwen;Alle vroedvrouwen;950;939;11;33;137;149;101;76;104;99;94;77;69;0;1;0;0;1;1;2;1;5;0
Luik;Alle vroedvrouwen;945;934;11;45;135;172;113;88;81;66;84;62;88;0;0;1;0;4;3;0;1;2;0
Namen;Alle vroedvrouwen;557;555;2;30;93;100;46;44;41;45;55;34;67;1;0;0;0;0;0;0;1;0;0
Luxemburg;Alle vroedvrouwen;273;271;2;14;58;34;19;23;27;25;29;22;20;0;0;1;0;0;0;0;0;1;0
Brussels Hoofdstedelijk Gewest;Alle vroedvrouwen;821;812;9;53;185;178;93;42;50;32;65;43;71;0;1;2;0;2;2;1;0;1;0
België;Zonder toelating om voor te schrijven;11204;11107;97;594;1409;1879;1290;1178;842;965;1126;841;983;0;2;6;4;11;13;17;17;24;3
Vlaams Gewest;Zonder toelating om voor te schrijven;8041;7978;63;519;1080;1320;936;923;544;671;787;575;623;0;1;3;4;4;7;14;13;15;2
Waals Gewest;Zonder toelating om voor te schrijven;2574;2549;25;49;232;437;282;226;263;265;279;224;292;0;0;1;0;5;4;2;4;8;1
Brussels Hoofdstedelijk Gewest;Zonder toelating om voor te schrijven;589;580;9;26;97;122;72;29;35;29;60;42;68;0;1;2;0;2;2;1;0;1;0
Vlaams Brabant;Zonder toelating om voor te schrijven;1477;1459;18;91;190;278;165;137;98;124;154;106;116;0;1;1;1;1;3;2;3;5;1
West-Vlaanderen;Zonder toelating om voor te schrijven;1611;1600;11;119;232;249;173;155;125;134;154;136;123;0;0;1;1;0;0;2;2;5;0
Oost-Vlaanderen;Zonder toelating om voor te schrijven;1643;1626;17;97;238;310;210;235;109;143;129;86;69;0;0;1;0;2;2;7;4;1;0
Antwerpen;Zonder toelating om voor te schrijven;2200;2190;10;127;289;326;256;270;141;180;230;164;207;0;0;0;2;1;0;2;2;2;1
Limburg;Zonder toelating om voor te schrijven;1110;1103;7;85;131;157;132;126;71;90;120;83;108;0;0;0;0;0;2;1;2;2;0
Waals Brabant;Zonder toelating om voor te schrijven;358;354;4;10;22;58;40;24;28;46;43;33;50;0;0;0;0;0;0;0;1;2;1
Henegouwen;Zonder toelating om voor te schrijven;746;738;8;4;57;117;80;67;94;92;82;76;69;0;0;0;0;1;1;2;1;3;0
Luik;Zonder toelating om voor te schrijven;832;822;10;22;83;162;109;79;77;62;80;62;86;0;0;0;0;4;3;0;1;2;0
Namen;Zonder toelating om voor te schrijven;431;430;1;4;48;77;36;37;38;43;49;31;67;0;0;0;0;0;0;0;1;0;0
Luxemburg;Zonder toelating om voor te schrijven;207;205;2;9;22;23;17;19;26;22;25;22;20;0;0;1;0;0;0;0;0;1;0
Brussels Hoofdstedelijk Gewest;Zonder toelating om voor te schrijven;589;580;9;26;97;122;72;29;35;29;60;42;68;0;1;2;0;2;2;1;0;1;0
België;Voorschrift geneesmiddelen;1624;1615;9;273;574;293;157;111;77;46;61;18;5;1;3;1;1;0;1;0;0;2;0
Vlaams Gewest;Voorschrift geneesmiddelen;803;799;4;155;245;143;90;65;39;22;29;11;0;0;2;0;1;0;1;0;0;0;0
Waals Gewest;Voorschrift geneesmiddelen;589;584;5;91;241;94;46;33;23;21;27;6;2;1;1;1;0;0;0;0;0;2;0
Brussels Hoofdstedelijk Gewest;Voorschrift geneesmiddelen;232;232;0;27;88;56;21;13;15;3;5;1;3;0;0;0;0;0;0;0;0;0;0
Vlaams Brabant;Voorschrift geneesmiddelen;200;200;0;20;53;45;27;20;13;7;11;4;0;0;0;0;0;0;0;0;0;0;0
West-Vlaanderen;Voorschrift geneesmiddelen;130;129;1;32;45;15;14;8;8;3;2;2;0;0;1;0;0;0;0;0;0;0;0
Oost-Vlaanderen;Voorschrift geneesmiddelen;196;196;0;46;64;25;20;15;7;9;6;4;0;0;0;0;0;0;0;0;0;0;0
Antwerpen;Voorschrift geneesmiddelen;175;172;3;31;52;37;19;15;8;2;7;1;0;0;1;0;1;0;1;0;0;0;0
Limburg;Voorschrift geneesmiddelen;102;102;0;26;31;21;10;7;3;1;3;0;0;0;0;0;0;0;0;0;0;0;0
Waals Brabant;Voorschrift geneesmiddelen;80;80;0;8;28;18;9;4;5;5;1;2;0;0;0;0;0;0;0;0;0;0;0
Henegouwen;Voorschrift geneesmiddelen;204;201;3;29;80;32;21;9;10;7;12;1;0;0;1;0;0;0;0;0;0;2;0
Luik;Voorschrift geneesmiddelen;113;112;1;23;52;10;4;9;4;4;4;0;2;0;0;1;0;0;0;0;0;0;0
Namen;Voorschrift geneesmiddelen;126;125;1;26;45;23;10;7;3;2;6;3;0;1;0;0;0;0;0;0;0;0;0
Luxemburg;Voorschrift geneesmiddelen;66;66;0;5;36;11;2;4;1;3;4;0;0;0;0;0;0;0;0;0;0;0;0
