territoire;total;genre_femme;genre_homme;femme_min25;femme_25-29;femme_30-34;femme_35-39;femme_40-44;femme_45-49;femme_50-54;femme_55-59;homme_min25;homme_25-29;homme_30-34;homme_35-39;homme_40-44;homme_45-49;homme_55-59
Belgique;2198;1472;726;168;1157;102;21;16;5;2;1;69;539;81;19;11;5;2
Région flamande;1076;713;363;110;541;44;7;8;1;1;1;53;266;31;5;4;3;1
Région wallonne;752;519;233;47;427;36;5;1;3;0;0;14;178;26;11;2;1;1
Région de Bruxelles Capitale;370;240;130;11;189;22;9;7;1;1;0;2;95;24;3;5;1;0
Brabant flamand;217;153;64;19;117;12;2;1;1;0;1;7;47;7;1;1;1;0
Flandre occidentale;172;120;52;20;98;2;0;0;0;0;0;6;43;3;0;0;0;0
Flandre orientale;288;178;110;29;134;9;2;4;0;0;0;19;82;7;0;1;1;0
Anvers;310;210;100;33;155;16;2;3;0;1;0;16;69;9;3;2;1;0
Limbourg;89;52;37;9;37;5;1;0;0;0;0;5;25;5;1;0;0;1
Brabant Wallon;81;58;23;3;49;5;0;0;1;0;0;1;20;1;1;0;0;0
Hainaut;244;177;67;15;146;11;2;1;2;0;0;4;53;7;2;1;0;0
Liège;270;168;102;17;138;11;2;0;0;0;0;8;75;11;5;1;1;1
Namur;104;74;30;7;63;4;0;0;0;0;0;1;20;6;3;0;0;0
Luxembourg;53;42;11;5;31;5;1;0;0;0;0;0;10;1;0;0;0;0
Région de Bruxelles Capitale;370;240;130;11;189;22;9;7;1;1;0;2;95;24;3;5;1;0
