territoire;spécialité;total;genre_femme;genre_homme;femme_25-29;femme_30-34;femme_35-39;femme_40-44;femme_45-49;femme_50-54;femme_55-59;femme_60-64;femme_65plus;homme_25-29;homme_30-34;homme_35-39;homme_40-44;homme_45-49;homme_50-54;homme_55-59;homme_60-64;homme_65plus
Belgique;Toutes les spécialités;31416;14085;17331;33;1731;2154;1770;1907;1824;1430;1124;2112;27;1233;1372;1185;1531;1591;1782;2115;6495
Belgique;Gériatrie;432;287;145;0;48;61;44;40;41;24;13;16;0;13;9;15;9;13;9;20;57
Belgique;Médecine d'urgence;421;210;211;0;68;75;38;11;11;5;2;0;0;65;62;30;21;20;6;4;3
Belgique;Médecine légale;14;5;9;0;1;2;0;2;0;0;0;0;0;0;1;2;2;0;0;1;3
Belgique;Gestion des données de santé;57;22;35;0;0;0;0;1;2;7;8;4;0;0;0;1;1;4;7;11;11
Belgique;Anesthésie-réanimation;2963;1237;1726;3;144;218;152;160;171;119;69;201;0;219;193;152;193;207;188;188;386
Belgique;Chirurgie;1841;436;1405;0;55;95;63;61;56;32;24;50;0;63;111;105;127;140;141;161;557
Belgique;Neurochirurgie;265;37;228;0;4;13;2;3;7;6;2;0;0;16;31;23;32;29;19;20;58
Belgique;Chirurgie plastique, reconstructive et esthétique;313;89;224;0;15;16;12;10;7;8;9;12;0;17;21;28;19;27;27;31;54
Belgique;Urologie;550;98;452;0;22;21;19;15;7;7;5;2;0;30;58;32;46;53;37;48;148
Belgique;Orthopédie;1351;168;1183;0;34;27;30;15;25;12;9;16;0;85;121;100;128;109;125;160;355
Belgique;Neurologie;735;382;353;1;67;68;63;50;43;40;21;29;0;30;32;30;48;32;44;49;88
Belgique;Psychiatrie;921;427;494;0;1;5;10;29;95;113;77;97;0;0;3;2;23;65;84;74;243
Belgique;Neuropsychiatrie;176;38;138;0;0;0;0;0;0;0;5;33;0;0;0;0;0;0;0;6;132
Belgique;Psychiatrie, particulièrement en psychiatrie infanto-juvénile;437;348;89;0;39;76;67;71;43;11;12;29;0;11;10;14;13;7;5;9;20
Belgique;Psychiatrie, particulièrement en psychiatrie adulte;944;480;464;0;64;94;95;97;43;9;19;59;0;49;37;43;70;29;11;37;188
Belgique;Pneumologie;712;315;397;0;35;59;66;56;43;16;15;25;0;34;29;22;39;33;45;62;133
Belgique;Gastro-entérologie;871;324;547;0;49;74;52;45;38;21;19;26;0;41;45;35;59;53;66;77;171
Belgique;Cardiologie;1414;367;1047;0;40;69;63;54;42;39;28;32;0;73;101;89;120;104;124;113;323
Belgique;Médecine interne;2073;881;1192;0;119;165;134;152;112;70;44;85;0;93;61;74;91;109;131;126;507
Belgique;Rhumatologie;303;150;153;0;19;21;15;17;22;23;10;23;0;4;12;6;8;12;11;20;80
Belgique;Médecine aiguë;302;135;167;0;8;11;13;28;39;13;10;13;0;5;7;10;21;45;29;25;25
Belgique;Gynécologie-obstétrique;1888;1118;770;0;205;194;137;140;134;105;84;119;0;21;29;37;53;58;82;95;395
Belgique;Ophtalmologie;1400;869;531;22;96;106;89;95;89;80;75;217;21;44;39;33;32;46;56;54;206
Belgique;Oto-rhino-laryngologie;807;387;420;2;61;56;47;49;47;52;27;46;0;18;24;25;35;30;42;57;189
Belgique;Stomatologie;407;109;298;0;15;16;18;9;20;5;8;18;1;35;33;25;25;24;27;35;93
Belgique;Dermato-vénéréologie;920;676;244;0;83;71;69;87;89;78;57;142;1;7;20;9;15;18;27;29;118
Belgique;Pédiatrie;2141;1497;644;1;213;230;181;211;172;150;101;238;0;31;49;39;37;56;48;59;325
Belgique;Médecine physique et réadaptation;657;320;337;0;38;46;29;48;44;32;37;46;0;36;23;25;27;18;35;31;142
Belgique;Biologie clinique;735;365;370;0;22;26;31;35;41;34;42;134;1;18;16;15;17;12;39;42;210
Belgique;Radiodiagnostic;2033;642;1391;1;71;103;70;83;75;88;63;88;3;121;124;95;101;109;161;210;467
Belgique;Radiothérapie-oncologie;263;154;109;0;11;21;26;23;19;17;17;20;0;8;12;16;16;13;4;20;20
Belgique;Médecine nucléaire;360;137;223;1;13;12;19;17;14;19;23;19;0;10;18;10;12;19;22;22;110
Belgique;Anatomie pathologique;441;247;194;1;27;33;23;33;39;25;22;44;0;16;11;18;19;17;15;21;77
Belgique;Oncologie médicale;360;208;152;0;33;46;34;24;28;18;11;14;0;17;19;10;12;20;28;13;33
Belgique;Génétique clinique;77;49;28;0;0;5;8;8;11;7;3;7;0;0;0;7;2;6;6;4;3
Belgique;Médecine du travail;1211;672;539;1;9;19;48;120;121;108;109;137;0;2;9;8;49;35;46;91;299
Belgique;Médecine d'assurance et expertise médicale;621;199;422;0;2;0;3;8;34;37;44;71;0;1;2;0;9;19;35;90;266
Région flamande;Toutes les spécialités;17309;7628;9681;19;999;1250;1014;1065;1061;793;546;881;14;697;807;696;923;910;1006;1217;3411
Région flamande;Gériatrie;262;162;100;0;31;33;20;23;25;11;8;11;0;10;6;7;6;9;7;12;43
Région flamande;Médecine d'urgence;213;114;99;0;42;41;18;5;4;4;0;0;0;40;32;12;8;5;0;2;0
Région flamande;Médecine légale;7;3;4;0;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2
Région flamande;Gestion des données de santé;25;9;16;0;0;0;0;1;0;3;3;2;0;0;0;0;1;2;3;4;6
Région flamande;Anesthésie-réanimation;1698;718;980;2;85;133;88;97;103;77;44;89;0;121;109;85;112;118;107;109;219
Région flamande;Chirurgie;1040;246;794;0;33;58;38;40;35;9;11;22;0;36;70;67;80;82;85;93;281
Région flamande;Neurochirurgie;167;19;148;0;3;5;1;2;4;4;0;0;0;10;21;19;21;20;11;12;34
Région flamande;Chirurgie plastique, reconstructive et esthétique;187;54;133;0;10;12;7;3;6;4;4;8;0;8;12;12;10;18;19;18;36
Région flamande;Urologie;336;61;275;0;13;17;13;6;7;2;2;1;0;21;37;20;30;33;23;32;79
Région flamande;Orthopédie;814;101;713;0;22;21;20;5;16;7;5;5;0;53;78;60;90;65;76;101;190
Région flamande;Neurologie;412;213;199;1;41;43;43;26;18;21;6;14;0;19;15;19;27;22;16;27;54
Région flamande;Psychiatrie;266;139;127;0;0;0;2;2;46;58;23;8;0;0;0;0;5;38;44;23;17
Région flamande;Neuropsychiatrie;105;24;81;0;0;0;0;0;0;0;4;20;0;0;0;0;0;0;0;4;77
Région flamande;Psychiatrie, particulièrement en psychiatrie infanto-juvénile;289;241;48;0;25;49;41;57;29;7;12;21;0;3;3;9;7;4;2;5;15
Région flamande;Psychiatrie, particulièrement en psychiatrie adulte;648;301;347;0;41;52;63;60;17;4;13;51;0;29;21;23;44;14;3;34;179
Région flamande;Pneumologie;383;177;206;0;19;39;38;33;25;8;9;6;0;15;18;15;20;14;24;36;64
Région flamande;Gastro-entérologie;478;179;299;0;34;45;28;26;23;10;7;6;0;26;29;25;35;29;33;42;80
Région flamande;Cardiologie;735;151;584;0;14;34;26;26;22;17;5;7;0;41;64;60;77;57;74;57;154
Région flamande;Médecine interne;1003;432;571;0;61;82;73;72;56;33;26;29;0;39;33;30;40;55;57;58;259
Région flamande;Rhumatologie;156;78;78;0;10;17;6;8;13;11;5;8;0;1;7;4;7;6;6;7;40
Région flamande;Médecine aiguë;140;61;79;0;6;9;8;14;11;6;3;4;0;2;5;9;13;25;11;8;6
Région flamande;Gynécologie-obstétrique;950;555;395;0;110;106;78;73;74;51;33;30;0;12;11;21;25;29;44;55;198
Région flamande;Ophtalmologie;831;532;299;12;61;67;53;52;66;53;48;120;10;21;18;19;14;24;32;34;127
