Territoire;Total;Total_femmes;Total_hommes;Femmes_moins20;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_moins20;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;67459;63057;4402;396;8060;8828;8205;6927;7414;8500;7370;4799;2177;381;32;857;765;670;480;470;382;328;255;132;31
Région Flandre;38947;36712;2235;363;5886;5066;4359;3582;4047;4977;4359;2739;1167;167;28;633;379;267;193;181;183;179;125;56;11
Région Wallonie;23848;22235;1613;28;1803;3170;3207;2814;2830;3027;2587;1766;842;161;4;184;304;306;197;200;134;112;96;62;14
Région Région de Bruxelles-capitale;4664;4110;554;5;371;592;639;531;537;496;424;294;168;53;0;40;82;97;90;89;65;37;34;14;6
Prov Brabant flamand;5882;5480;402;39;673;645;594;554;733;810;720;440;227;45;6;81;59;48;41;39;40;45;29;9;5
Prov Flandre occidentale;8276;7851;425;154;1598;1047;872;779;779;982;853;532;221;34;14;191;69;44;19;33;22;20;9;2;2
Prov Flandre orientale;9750;9242;508;67;1366;1286;1108;921;1040;1295;1130;708;284;37;6;120;90;68;54;43;47;41;27;11;1
Prov Anvers;10372;9727;645;79;1494;1480;1262;917;978;1249;1157;766;305;40;1;161;124;78;55;51;62;54;34;24;1
Prov Limbourg;4667;4412;255;24;755;608;523;411;517;641;499;293;130;11;1;80;37;29;24;15;12;19;26;10;2
Prov Brabant wallon;1614;1500;114;3;125;149;198;194;187;200;197;158;69;20;1;12;22;17;13;17;14;5;9;2;2
Prov Hainaut;10051;9363;688;6;737;1289;1371;1179;1175;1267;1127;798;360;54;1;68;138;145;92;93;51;39;32;25;4
Prov Liège;7427;6903;524;16;573;1093;1004;892;873;950;734;456;262;50;1;64;103;98;52;56;43;41;37;27;2
Prov Namur;3285;3055;230;2;230;459;437;378;415;386;361;255;104;28;0;32;32;40;33;28;20;22;14;4;5
Prov Luxembourg;1471;1414;57;1;138;180;197;171;180;224;168;99;47;9;1;8;9;6;7;6;6;5;4;4;1
Prov Région de Bruxelles-capitale;4664;4110;554;5;371;592;639;531;537;496;424;294;168;53;0;40;82;97;90;89;65;37;34;14;6
