Territoire;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;572;410;162;2;358;27;8;9;2;2;2;0;0;2;127;16;8;2;3;2;1;0;1
Région Flandre;323;232;91;0;207;15;6;3;1;0;0;0;0;1;81;6;2;1;0;0;0;0;0
Région Wallonie;148;102;46;2;92;5;2;0;0;1;0;0;0;1;34;5;3;1;0;1;1;0;0
Région Région de Bruxelles-capitale;101;76;25;0;59;7;0;6;1;1;2;0;0;0;12;5;3;0;3;1;0;0;1
Prov Brabant flamand;77;52;25;0;44;6;1;1;0;0;0;0;0;0;21;1;2;1;0;0;0;0;0
Prov Flandre occidentale;53;43;10;0;42;0;1;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0
Prov Flandre orientale;68;55;13;0;53;1;0;0;1;0;0;0;0;1;12;0;0;0;0;0;0;0;0
Prov Anvers;76;54;22;0;47;4;3;0;0;0;0;0;0;0;20;2;0;0;0;0;0;0;0
Prov Limbourg;49;28;21;0;21;4;1;2;0;0;0;0;0;0;18;3;0;0;0;0;0;0;0
Prov Brabant wallon;15;13;2;0;12;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
Prov Hainaut;47;30;17;0;28;1;1;0;0;0;0;0;0;0;16;0;0;0;0;0;1;0;0
Prov Liège;45;31;14;0;28;2;0;0;0;1;0;0;0;1;8;3;1;1;0;0;0;0;0
Prov Namur;24;16;8;0;15;1;0;0;0;0;0;0;0;0;7;0;1;0;0;0;0;0;0
Prov Luxembourg;17;12;5;2;9;1;0;0;0;0;0;0;0;0;2;1;1;0;0;1;0;0;0
Prov Région de Bruxelles-capitale;101;76;25;0;59;7;0;6;1;1;2;0;0;0;12;5;3;0;3;1;0;0;1
