Territoire;Specialite;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;TOUTES SPECIALITES;3387;2020;1367;22;1508;385;68;23;11;3;0;0;0;14;883;349;72;24;14;7;4;0;0
Région Flandre;TOUTES SPECIALITES;1827;1076;751;10;832;198;25;9;1;1;0;0;0;9;505;190;31;10;4;1;1;0;0
Région Wallonie;TOUTES SPECIALITES;841;523;318;9;399;79;19;10;6;1;0;0;0;3;227;50;20;7;4;4;3;0;0
Région Région de Bruxelles-capitale;TOUTES SPECIALITES;719;421;298;3;277;108;24;4;4;1;0;0;0;2;151;109;21;7;6;2;0;0;0
Prov Brabant flamand;TOUTES SPECIALITES;546;347;199;2;265;72;5;3;0;0;0;0;0;1;130;54;9;4;1;0;0;0;0
Prov Flandre occidentale;TOUTES SPECIALITES;231;121;110;2;97;16;6;0;0;0;0;0;0;2;86;20;1;0;0;0;1;0;0
Prov Flandre orientale;TOUTES SPECIALITES;439;278;161;4;205;59;8;0;1;1;0;0;0;0;100;46;10;1;3;1;0;0;0
Prov Anvers;TOUTES SPECIALITES;476;251;225;2;197;42;4;6;0;0;0;0;0;2;149;59;10;5;0;0;0;0;0
Prov Limbourg;TOUTES SPECIALITES;135;79;56;0;68;9;2;0;0;0;0;0;0;4;40;11;1;0;0;0;0;0;0
Prov Brabant wallon;TOUTES SPECIALITES;126;90;36;2;64;14;5;4;1;0;0;0;0;0;19;12;2;1;0;1;1;0;0
Prov Hainaut;TOUTES SPECIALITES;196;120;76;2;92;21;3;0;1;1;0;0;0;1;62;8;2;0;0;1;2;0;0
Prov Liège;TOUTES SPECIALITES;367;214;153;4;164;33;6;4;3;0;0;0;0;1;108;26;9;5;3;1;0;0;0
Prov Namur;TOUTES SPECIALITES;119;72;47;1;57;8;4;2;0;0;0;0;0;1;35;4;5;0;1;1;0;0;0
Prov Luxembourg;TOUTES SPECIALITES;33;27;6;0;22;3;1;0;1;0;0;0;0;0;3;0;2;1;0;0;0;0;0
Prov Région de Bruxelles-capitale;TOUTES SPECIALITES;719;421;298;3;277;108;24;4;4;1;0;0;0;2;151;109;21;7;6;2;0;0;0
Belgique;MEDECINE DU TRAVAIL;45;30;15;0;1;10;11;5;2;1;0;0;0;0;1;4;3;0;3;2;2;0;0
