Territoire;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;4202;3825;377;532;538;477;423;503;438;404;325;126;18;95;57;36;41;33;28;34;21;14;7
Région Flandre;1935;1736;199;234;234;220;192;253;210;190;144;40;8;49;26;20;18;18;20;22;12;7;6
Région Wallonie;1941;1795;146;220;236;212;214;235;209;190;168;78;7;38;24;11;17;12;8;11;8;6;1
Région de Bruxelles-capitale;326;294;32;78;68;45;17;15;19;24;13;8;3;8;7;5;6;3;0;1;1;1;0
Prov Brabant flamand;251;217;34;19;30;31;20;32;26;35;17;5;2;5;5;2;4;1;7;7;1;2;0
Prov Flandre occidentale;449;407;42;40;52;57;37;75;47;53;36;6;2;3;5;7;6;6;2;4;8;0;1
Prov Flandre orientale;397;356;41;61;32;36;54;50;49;34;26;11;1;14;3;5;2;5;2;3;3;2;2
Prov Anvers;568;513;55;68;76;56;46;64;72;53;56;16;2;20;9;4;3;4;5;6;0;2;1
Prov Limbourg;270;243;27;46;44;40;35;32;16;15;9;2;1;7;4;2;3;2;4;2;0;1;2
Prov Brabant wallon;92;83;9;3;6;7;9;15;14;10;10;9;0;0;0;0;1;2;0;1;3;2;0
Prov Hainaut;775;719;56;91;94;70;89;106;78;72;76;31;3;9;10;7;9;4;3;6;1;3;0
Prov Liège;616;577;39;57;78;71;65;69;81;76;50;20;3;8;8;2;4;3;3;2;3;1;1
Prov Namur;321;287;34;53;40;47;36;30;22;21;18;12;1;19;4;2;3;3;1;0;0;0;0
Prov Luxembourg;137;129;8;16;18;17;15;15;14;11;14;6;0;2;2;0;0;0;1;2;1;0;0
Prov Région de Bruxelles-capitale;326;294;32;78;68;45;17;15;19;24;13;8;3;8;7;5;6;3;0;1;1;1;0
