Territoire;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;661;489;172;11;430;25;9;11;1;0;2;0;0;1;137;22;6;1;3;0;1;0;1
Région Flandre;386;293;93;7;263;10;7;5;1;0;0;0;0;0;86;5;1;0;1;0;0;0;0
Région Wallonie;172;126;46;2;119;3;2;0;0;0;0;0;0;1;33;8;3;1;0;0;0;0;0
Région de Bruxelles-capitale;103;70;33;2;48;12;0;6;0;0;2;0;0;0;18;9;2;0;2;0;1;0;1
Prov Brabant flamand;80;62;18;3;57;0;0;1;1;0;0;0;0;0;15;1;1;0;1;0;0;0;0
Prov Flandre occidentale;61;52;9;1;49;1;0;1;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0
Prov Flandre orientale;88;67;21;1;62;1;2;1;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0
Prov Anvers;102;72;30;2;60;6;3;1;0;0;0;0;0;0;27;3;0;0;0;0;0;0;0
Prov Limbourg;55;40;15;0;35;2;2;1;0;0;0;0;0;0;14;1;0;0;0;0;0;0;0
Prov Brabant wallon;18;13;5;1;10;1;1;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0
Prov Hainaut;63;45;18;0;43;1;1;0;0;0;0;0;0;1;13;4;0;0;0;0;0;0;0
Prov Liège;57;40;17;0;40;0;0;0;0;0;0;0;0;0;13;3;0;1;0;0;0;0;0
Prov Namur;14;10;4;0;9;1;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0
Prov Luxembourg;20;18;2;1;17;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
Prov Région de Bruxelles-capitale;103;70;33;2;48;12;0;6;0;0;2;0;0;0;18;9;2;0;2;0;1;0;1
