Territoire;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;28008;16411;11597;714;1822;2311;2427;2108;2056;1902;1555;1036;480;287;814;1264;1550;1245;1336;1520;1538;1179;864
Région Flandre;15738;9451;6287;289;1085;1392;1592;1278;1151;1071;899;488;206;91;412;681;834;649;716;841;908;667;488
Région Wallonie;9724;5452;4272;320;468;773;712;714;745;668;488;406;158;132;232;446;613;512;541;565;501;421;309
Région de Bruxelles-capitale;2546;1508;1038;105;269;146;123;116;160;163;168;142;116;64;170;137;103;84;79;114;129;91;67
Prov Brabant flamand;3302;2066;1236;81;222;298;309;285;257;245;212;112;45;28;93;152;158;130;136;154;179;111;95
Prov Flandre occidentale;3071;1694;1377;41;167;255;315;219;193;203;162;92;47;14;74;150;168;143;159;201;186;163;119
Prov Flandre orientale;3713;2322;1391;61;281;380;401;297;276;217;229;121;59;13;81;144;186;136;194;180;190;172;95
Prov Anvers;3772;2280;1492;60;286;302;365;333;309;283;192;107;43;27;116;138;194;152;159;207;219;143;137
Prov Limbourg;1880;1089;791;46;129;157;202;144;116;123;104;56;12;9;48;97;128;88;68;99;134;78;42
Prov Brabant wallon;1680;1080;600;52;83;142;131;107;162;171;99;92;41;23;35;60;91;72;86;85;64;43;41
Prov Hainaut;3074;1539;1535;61;126;197;206;219;207;195;132;144;52;35;65;138;207;178;180;192;204;201;135
Prov Liège;2830;1612;1218;111;140;245;207;216;213;191;159;92;38;38;79;140;176;152;154;172;145;95;67
Prov Namur;1345;745;600;47;59;104;88;117;99;85;64;61;21;18;25;62;95;73;80;82;61;58;46
Prov Luxembourg;795;476;319;49;60;85;80;55;64;26;34;17;6;18;28;46;44;37;41;34;27;24;20
Prov Région de Bruxelles-capitale;2546;1508;1038;105;269;146;123;116;160;163;168;142;116;64;170;137;103;84;79;114;129;91;67
