Territoire;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;14758;5060;9698;0;336;577;811;812;647;865;623;258;131;0;124;297;436;529;740;1651;1937;1705;2279
Région Flandre;8089;2677;5412;0;196;342;469;481;381;428;250;92;38;0;79;165;248;305;436;953;1048;924;1254
Région Wallonie;5178;1770;3408;0;103;173;255;268;214;307;268;114;68;0;34;98;149;181;236;566;691;629;824
Région de Bruxelles-capitale;1491;613;878;0;37;62;87;63;52;130;105;52;25;0;11;34;39;43;68;132;198;152;201
Prov Brabant flamand;1651;635;1016;0;45;65;102;99;97;112;77;23;15;0;22;38;46;59;96;174;196;165;220
Prov Flandre occidentale;1487;366;1121;0;37;56;66;71;42;51;23;14;6;0;21;25;54;61;69;176;221;186;308
Prov Flandre orientale;1829;566;1263;0;55;87;88;92;84;83;54;17;6;0;14;43;57;70;106;226;232;239;276
Prov Anvers;2120;761;1359;0;40;88;150;151;107;127;65;26;7;0;11;37;62;74;102;254;261;225;333
Prov Limbourg;1002;349;653;0;19;46;63;68;51;55;31;12;4;0;11;22;29;41;63;123;138;109;117
Prov Brabant wallon;701;301;400;0;15;32;46;47;38;43;53;15;12;0;2;15;13;26;30;72;91;66;85
Prov Hainaut;1646;505;1141;0;27;43;53;79;66;94;89;35;19;0;10;29;33;55;68;191;248;219;288
Prov Liège;1620;535;1085;0;39;51;77;76;65;94;71;37;25;0;10;28;55;62;75;184;209;201;261
Prov Namur;845;298;547;0;19;35;54;35;31;54;44;18;8;0;11;17;28;28;48;91;92;97;135
Prov Luxembourg;366;131;235;0;3;12;25;31;14;22;11;9;4;0;1;9;20;10;15;28;51;46;55
Prov Région de Bruxelles-capitale;1491;613;878;0;37;62;87;63;52;130;105;52;25;0;11;34;39;43;68;132;198;152;201
