Territoire;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;9147;9030;117;745;1295;1192;975;1044;1268;936;490;289;796;1;4;11;18;22;20;32;6;3;0
Région Flandre;6221;6141;80;580;898;900;609;703;878;633;329;189;422;1;4;5;12;18;16;19;3;2;0
Région Wallonie;2306;2276;30;118;262;237;307;296;313;245;136;83;279;0;0;4;5;3;4;11;2;1;0
Région de Bruxelles-capitale;620;613;7;47;135;55;59;45;77;58;25;17;95;0;0;2;1;1;0;2;1;0;0
Prov Brabant flamand;1124;1106;18;113;156;127;101;134;180;117;49;37;92;0;1;1;2;3;4;6;1;0;0
Prov Flandre occidentale;1273;1261;12;132;179;153;144;139;169;154;74;33;84;1;0;0;0;3;3;5;0;0;0
Prov Flandre orientale;1217;1195;22;131;185;241;122;154;144;102;42;22;52;0;0;2;4;9;4;2;0;1;0
Prov Anvers;1746;1726;20;120;246;261;171;187;258;175;111;70;127;0;3;2;4;2;3;3;2;1;0
Prov Limbourg;861;853;8;84;132;118;71;89;127;85;53;27;67;0;0;0;2;1;2;3;0;0;0
Prov Brabant wallon;306;300;6;13;25;17;40;48;46;35;23;15;38;0;0;0;0;1;1;2;1;1;0
Prov Hainaut;667;658;9;25;71;67;108;106;91;83;46;26;35;0;0;1;1;2;0;5;0;0;0
Prov Liège;726;714;12;48;108;84;82;66;85;66;39;16;120;0;0;3;4;0;2;2;1;0;0
Prov Namur;401;400;1;19;36;47;49;46;60;33;20;23;67;0;0;0;0;0;0;1;0;0;0
Prov Luxembourg;206;204;2;13;22;22;28;30;31;28;8;3;19;0;0;0;0;0;1;1;0;0;0
Prov Région de Bruxelles-capitale;620;613;7;47;135;55;59;45;77;58;25;17;95;0;0;2;1;1;0;2;1;0;0
