Territoire;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;29007;17022;11985;841;1827;2202;2514;2155;2043;2036;1599;1185;620;317;928;1072;1665;1275;1292;1537;1558;1280;1061
Région Flandre;16151;9727;6424;349;987;1340;1647;1343;1136;1147;915;594;269;109;396;575;905;670;672;860;899;739;599
Région Wallonie;10188;5721;4467;386;540;709;745;697;752;720;514;442;216;152;314;367;644;525;535;570;530;452;378
Région Région de Bruxelles-capitale;2668;1574;1094;106;300;153;122;115;155;169;170;149;135;56;218;130;116;80;85;107;129;89;84
Prov Brabant flamand;3416;2141;1275;93;225;281;322;287;278;246;215;136;58;33;101;126;176;133;131;156;187;117;115
Prov Flandre occidentale;3152;1745;1407;57;139;233;332;230;203;214;168;109;60;16;64;129;191;146;138;220;174;180;149
Prov Flandre orientale;3804;2392;1412;86;244;369;422;319;248;253;228;147;76;21;66;116;206;136;187;185;201;171;123
Prov Anvers;3863;2343;1520;74;257;311;366;342;299;307;202;128;57;26;115;114;206;165;144;207;213;171;159
Prov Limbourg;1916;1106;810;39;122;146;205;165;108;127;102;74;18;13;50;90;126;90;72;92;124;100;53
Prov Brabant wallon;1768;1130;638;71;94;124;144;111;145;179;103;107;52;33;52;49;100;69;77;97;64;49;48
Prov Hainaut;3176;1579;1597;73;125;184;207;216;214;205;140;140;75;44;96;112;212;182;175;197;193;220;166
Prov Liège;2962;1699;1263;129;173;225;217;198;222;203;173;108;51;37;94;121;177;162;157;168;165;103;79
Prov Namur;1419;794;625;50;74;100;96;109;106;98;63;69;29;19;30;46;107;71;90;71;76;56;59
Prov Luxembourg;863;519;344;63;74;76;81;63;65;35;35;18;9;19;42;39;48;41;36;37;32;24;26
Prov Région de Bruxelles-capitale;2668;1574;1094;106;300;153;122;115;155;169;170;149;135;56;218;130;116;80;85;107;129;89;84
