Territoire;Spécialité;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;TOUS LES PHARMACIENS;17524;12105;5419;612;1462;1393;1449;1501;1449;944;902;1263;1130;144;388;390;468;479;530;484;502;824;1210
Région Flandre;TOUS LES PHARMACIENS;10187;6949;3238;411;868;809;822;838;869;532;522;705;573;94;218;197;266;246;299;287;330;549;752
Région Wallonie;TOUS LES PHARMACIENS;5745;4034;1711;172;428;438;504;556;456;321;295;440;424;41;113;139;153;189;183;148;132;222;391
Région Région de Bruxelles-capitale;TOUS LES PHARMACIENS;1592;1122;470;29;166;146;123;107;124;91;85;118;133;9;57;54;49;44;48;49;40;53;67
Prov Brabant flamand;TOUS LES PHARMACIENS;2252;1607;645;65;198;189;199;199;197;139;122;168;131;14;62;42;60;55;67;76;64;78;127
Prov Flandre occidentale;TOUS LES PHARMACIENS;1906;1272;634;75;164;135;153;148;154;91;93;139;120;21;22;30;50;34;45;47;68;127;190
Prov Flandre orientale;TOUS LES PHARMACIENS;2466;1658;808;123;184;195;212;213;198;110;132;160;131;18;53;44;68;85;62;63;97;153;165
Prov Anvers;TOUS LES PHARMACIENS;2623;1766;857;97;231;213;183;206;237;155;127;174;143;24;64;58;68;54;100;84;81;134;190
Prov Limbourg;TOUS LES PHARMACIENS;940;646;294;51;91;77;75;72;83;37;48;64;48;17;17;23;20;18;25;17;20;57;80
Prov Brabant wallon;TOUS LES PHARMACIENS;977;711;266;31;71;66;97;101;73;64;60;82;66;9;10;23;29;36;30;23;21;26;59
Prov Hainaut;TOUS LES PHARMACIENS;1628;1131;497;46;101;127;160;160;129;105;86;128;89;10;32;49;51;55;59;44;54;75;68
Prov Liège;TOUS LES PHARMACIENS;1947;1347;600;57;145;150;129;182;150;87;87;144;216;12;49;38;43;64;52;54;36;69;183
Prov Namur;TOUS LES PHARMACIENS;831;599;232;29;76;63;86;77;73;52;48;65;30;7;15;22;18;21;30;18;19;37;45
