Territoire;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;684;585;99;145;168;73;66;38;32;36;21;6;0;15;13;15;8;15;5;13;6;6;3
Région Flandre;562;511;51;139;161;67;56;28;24;20;14;2;0;9;10;9;4;6;3;4;4;1;1
Région Wallonie;91;55;36;4;2;3;8;7;7;14;7;3;0;4;3;3;2;6;2;8;2;4;2
Région Région de Bruxelles-capitale;31;19;12;2;5;3;2;3;1;2;0;1;0;2;0;3;2;3;0;1;0;1;0
Prov Brabant flamand;79;69;10;13;27;10;9;3;4;2;1;0;0;0;2;1;2;1;2;1;0;1;0
Prov Flandre occidentale;136;121;15;48;35;21;7;3;3;4;0;0;0;6;1;2;2;1;1;0;1;0;1
Prov Flandre orientale;151;135;16;41;40;17;15;9;6;3;4;0;0;2;5;5;0;2;0;0;2;0;0
Prov Anvers;147;139;8;29;44;15;19;7;9;10;6;0;0;1;2;1;0;2;0;1;1;0;0
Prov Limbourg;49;47;2;8;15;4;6;6;2;1;3;2;0;0;0;0;0;0;0;2;0;0;0
Prov Brabant wallon;25;12;13;1;0;1;3;0;4;1;1;1;0;2;1;0;0;2;0;5;1;1;1
Prov Hainaut;30;21;9;1;2;0;2;3;2;5;4;2;0;1;1;0;0;2;0;1;1;2;1
Prov Liège;12;7;5;0;0;1;2;2;1;1;0;0;0;1;0;1;1;1;0;0;0;1;0
Prov Namur;22;15;7;2;0;1;1;2;0;7;2;0;0;0;1;1;1;1;1;2;0;0;0
Prov Luxembourg;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
Prov Région de Bruxelles-capitale;31;19;12;2;5;3;2;3;1;2;0;1;0;2;0;3;2;3;0;1;0;1;0
