Territoire;Spécialité;Total;Total_Femmes;Total_Hommes;Femmes_20_24;Femmes_25_29;Femmes_30_34;Femmes_35_39;Femmes_40_44;Femmes_45_49;Femmes_50_54;Femmes_55_59;Femmes_60_64;Femmes_65plus;Hommes_20_24;Hommes_25_29;Hommes_30_34;Hommes_35_39;Hommes_40_44;Hommes_45_49;Hommes_50_54;Hommes_55_59;Hommes_60_64;Hommes_65plus
Belgique;TOUTES SPECIALITES;136;76;60;0;2;48;10;6;8;0;2;0;0;0;1;36;8;7;5;1;2;0;0
Région Flandre;TOUTES SPECIALITES;87;48;39;0;1;31;6;3;5;0;2;0;0;0;1;26;4;4;2;1;1;0;0
Région Wallonie;TOUTES SPECIALITES;30;16;14;0;0;9;2;3;2;0;0;0;0;0;0;7;2;2;2;0;1;0;0
Région Région de Bruxelles-capitale;TOUTES SPECIALITES;19;12;7;0;1;8;2;0;1;0;0;0;0;0;0;3;2;1;1;0;0;0;0
Prov Brabant flamand;TOUTES SPECIALITES;27;12;15;0;0;10;0;0;1;0;1;0;0;0;1;9;0;3;1;1;0;0;0
Prov Flandre occidentale;TOUTES SPECIALITES;9;3;6;0;0;3;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0
Prov Flandre orientale;TOUTES SPECIALITES;16;11;5;0;0;8;3;0;0;0;0;0;0;0;0;3;1;1;0;0;0;0;0
Prov Anvers;TOUTES SPECIALITES;27;16;11;0;1;7;3;1;3;0;1;0;0;0;0;7;2;0;1;0;1;0;0
Prov Limbourg;TOUTES SPECIALITES;8;6;2;0;0;3;0;2;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Prov Brabant wallon;TOUTES SPECIALITES;6;1;5;0;0;1;0;0;0;0;0;0;0;0;0;3;0;1;1;0;0;0;0
Prov Hainaut;TOUTES SPECIALITES;8;4;4;0;0;1;1;1;1;0;0;0;0;0;0;2;0;0;1;0;1;0;0
Prov Liège;TOUTES SPECIALITES;12;10;2;0;0;6;1;2;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0
Prov Namur;TOUTES SPECIALITES;3;1;2;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
Prov Luxembourg;TOUTES SPECIALITES;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Prov Région de Bruxelles-capitale;TOUTES SPECIALITES;19;12;7;0;1;8;2;0;1;0;0;0;0;0;0;3;2;1;1;0;0;0;0
Belgique;READAPTATION FONCTIONNELLE ET PROFESSIONNELLE DES HANDICAPES;24;12;12;0;0;4;0;4;4;0;0;0;0;0;1;2;4;3;1;1;0;0;0
Belgique;CHIRURGIE ORALE ET MAXILLO-FACIALE;7;2;5;0;0;2;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0
Belgique;SOINS INTENSIFS;41;22;19;0;0;17;2;1;1;0;1;0;0;0;0;18;1;0;0;0;0;0;0
Belgique;NEUROLOGIE PEDIATRIQUE;11;10;1;0;0;6;3;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Belgique;NEPHROLOGIE;10;5;5;0;0;4;0;0;0;0;1;0;0;0;0;5;0;0;0;0;0;0;0
Belgique;MEDECINE D'URGENCE;18;8;10;0;1;4;2;0;1;0;0;0;0;0;0;3;0;4;2;0;1;0;0
Belgique;ENDOCRINO-DIABETOLOGIE;6;4;2;0;0;3;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
Belgique;NEONATOLOGIE;14;9;5;0;0;5;2;1;1;0;0;0;0;0;0;2;1;0;2;0;0;0;0
Belgique;HEMATOLOGIE CLINIQUE;5;4;1;0;1;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Région Flandre;READAPTATION FONCTIONNELLE ET PROFESSIONNELLE DES HANDICAPES;11;6;5;0;0;2;0;2;2;0;0;0;0;0;1;0;2;1;0;1;0;0;0
Région Flandre;CHIRURGIE ORALE ET MAXILLO-FACIALE;6;2;4;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0
Région Flandre;SOINS INTENSIFS;31;14;17;0;0;12;1;0;0;0;1;0;0;0;0;16;1;0;0;0;0;0;0
Région Flandre;NEUROLOGIE PEDIATRIQUE;7;7;0;0;0;3;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Région Flandre;NEPHROLOGIE;7;5;2;0;0;4;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0
Région Flandre;MEDECINE D'URGENCE;12;5;7;0;0;3;1;0;1;0;0;0;0;0;0;2;0;3;1;0;1;0;0
Région Flandre;ENDOCRINO-DIABETOLOGIE;3;2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Région Flandre;NEONATOLOGIE;7;5;2;0;0;2;1;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0
Région Flandre;HEMATOLOGIE CLINIQUE;3;2;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Région Wallonie;READAPTATION FONCTIONNELLE ET PROFESSIONNELLE DES HANDICAPES;9;5;4;0;0;1;0;2;2;0;0;0;0;0;0;2;1;1;0;0;0;0;0
Région Wallonie;SOINS INTENSIFS;4;3;1;0;0;2;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Région Wallonie;NEUROLOGIE PEDIATRIQUE;3;2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Région Wallonie;NEPHROLOGIE;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Région Wallonie;MEDECINE D'URGENCE;5;2;3;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0
Région Wallonie;ENDOCRINO-DIABETOLOGIE;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Région Wallonie;NEONATOLOGIE;4;1;3;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0
Région Wallonie;HEMATOLOGIE CLINIQUE;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Région Région de Bruxelles-capitale;READAPTATION FONCTIONNELLE ET PROFESSIONNELLE DES HANDICAPES;4;1;3;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0
Région Région de Bruxelles-capitale;CHIRURGIE ORALE ET MAXILLO-FACIALE;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Région Région de Bruxelles-capitale;SOINS INTENSIFS;6;5;1;0;0;3;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Région Région de Bruxelles-capitale;NEUROLOGIE PEDIATRIQUE;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Région Région de Bruxelles-capitale;NEPHROLOGIE;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Région Région de Bruxelles-capitale;MEDECINE D'URGENCE;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Région Région de Bruxelles-capitale;ENDOCRINO-DIABETOLOGIE;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Région Région de Bruxelles-capitale;NEONATOLOGIE;3;3;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Brabant flamand;READAPTATION FONCTIONNELLE ET PROFESSIONNELLE DES HANDICAPES;3;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0
Prov Brabant flamand;CHIRURGIE ORALE ET MAXILLO-FACIALE;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Brabant flamand;SOINS INTENSIFS;12;4;8;0;0;4;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0
Prov Brabant flamand;NEUROLOGIE PEDIATRIQUE;3;3;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Brabant flamand;NEPHROLOGIE;2;2;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Prov Brabant flamand;MEDECINE D'URGENCE;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
Prov Brabant flamand;NEONATOLOGIE;3;2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Prov Brabant flamand;HEMATOLOGIE CLINIQUE;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Prov Flandre occidentale;READAPTATION FONCTIONNELLE ET PROFESSIONNELLE DES HANDICAPES;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Prov Flandre occidentale;CHIRURGIE ORALE ET MAXILLO-FACIALE;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Prov Flandre occidentale;SOINS INTENSIFS;4;1;3;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
Prov Flandre occidentale;MEDECINE D'URGENCE;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Prov Flandre orientale;READAPTATION FONCTIONNELLE ET PROFESSIONNELLE DES HANDICAPES;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Flandre orientale;SOINS INTENSIFS;6;4;2;0;0;3;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Prov Flandre orientale;NEUROLOGIE PEDIATRIQUE;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Flandre orientale;NEPHROLOGIE;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Prov Flandre orientale;MEDECINE D'URGENCE;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Prov Flandre orientale;ENDOCRINO-DIABETOLOGIE;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Prov Flandre orientale;NEONATOLOGIE;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Flandre orientale;HEMATOLOGIE CLINIQUE;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Anvers;READAPTATION FONCTIONNELLE ET PROFESSIONNELLE DES HANDICAPES;3;2;1;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Prov Anvers;CHIRURGIE ORALE ET MAXILLO-FACIALE;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
Prov Anvers;SOINS INTENSIFS;6;3;3;0;0;2;0;0;0;0;1;0;0;0;0;2;1;0;0;0;0;0;0
Prov Anvers;NEUROLOGIE PEDIATRIQUE;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Anvers;NEPHROLOGIE;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Anvers;MEDECINE D'URGENCE;6;3;3;0;0;2;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0
Prov Anvers;ENDOCRINO-DIABETOLOGIE;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Anvers;NEONATOLOGIE;3;2;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Prov Anvers;HEMATOLOGIE CLINIQUE;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Limbourg;READAPTATION FONCTIONNELLE ET PROFESSIONNELLE DES HANDICAPES;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Limbourg;SOINS INTENSIFS;3;2;1;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Prov Limbourg;NEUROLOGIE PEDIATRIQUE;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Limbourg;NEPHROLOGIE;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Prov Limbourg;MEDECINE D'URGENCE;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prov Brabant wallon;READAPTATION FONCTIONNELLE ET PROFESSIONNELLE DES HANDICAPES;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Prov Brabant wallon;MEDECINE D'URGENCE;4;1;3;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0
Prov Brabant wallon;NEONATOLOGIE;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
