Gebied;Totaal;Totaal_vrouwen;Totaal_mannen;Vrouwen_20_24;Vrouwen_25_29;Vrouwen_30_34;Vrouwen_35_39;Vrouwen_40_44;Vrouwen_45_49;Vrouwen_50_54;Vrouwen_55_59;Vrouwen_60_64;Vrouwen_65plus;Mannen_20_24;Mannen_25_29;Mannen_30_34;Mannen_35_39;Mannen_40_44;Mannen_45_49;Mannen_50_54;Mannen_55_59;Mannen_60_64;Mannen_65plus
België;730;536;194;8;470;38;10;6;2;0;1;1;0;1;149;28;4;2;3;4;3;0;0
Gewest Vlaanderen;449;337;112;5;305;13;9;4;0;0;0;1;0;1;97;10;0;0;1;3;0;0;0
Gewest Wallonië;175;132;43;3;120;9;0;0;0;0;0;0;0;0;33;6;1;1;0;0;2;0;0
Gewest Brussels hoofdstedelijk gewest;106;67;39;0;45;16;1;2;2;0;1;0;0;0;19;12;3;1;2;1;1;0;0
Prov Vlaams Brabant;90;74;16;1;66;2;4;1;0;0;0;0;0;0;13;2;0;0;1;0;0;0;0
Prov West-Vlaanderen;74;55;19;0;53;2;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0
Prov Oost-Vlaanderen;115;89;26;1;81;4;1;2;0;0;0;0;0;0;21;4;0;0;0;1;0;0;0
Prov Antwerpen;114;78;36;3;70;2;2;0;0;0;0;1;0;1;29;4;0;0;0;2;0;0;0
Prov Limburg;56;41;15;0;35;3;2;1;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0
Prov Waals Brabant;34;27;7;0;25;2;0;0;0;0;0;0;0;0;5;1;0;1;0;0;0;0;0
Prov Henegouwen;53;37;16;1;33;3;0;0;0;0;0;0;0;0;12;4;0;0;0;0;0;0;0
Prov Luik;54;42;12;2;37;3;0;0;0;0;0;0;0;0;10;0;1;0;0;0;1;0;0
Prov Namen;27;21;6;0;20;1;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0
Prov Luxemburg;7;5;2;0;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
Prov Brussels hoofdstedelijk gewest;106;67;39;0;45;16;1;2;2;0;1;0;0;0;19;12;3;1;2;1;1;0;0
