Gebied;Specialiteit;Totaal;Totaal_vrouwen;Totaal_mannen;Vrouwen_20_24;Vrouwen_25_29;Vrouwen_30_34;Vrouwen_35_39;Vrouwen_40_44;Vrouwen_45_49;Vrouwen_50_54;Vrouwen_55_59;Vrouwen_60_64;Vrouwen_65plus;Mannen_20_24;Mannen_25_29;Mannen_30_34;Mannen_35_39;Mannen_40_44;Mannen_45_49;Mannen_50_54;Mannen_55_59;Mannen_60_64;Mannen_65plus
België;ALLE SPECIALITEITEN;171;98;73;0;2;72;17;2;2;2;1;0;0;0;2;46;8;10;6;1;0;0;0
Gewest Vlaanderen;ALLE SPECIALITEITEN;106;63;43;0;1;49;9;1;1;2;0;0;0;0;1;28;3;5;5;1;0;0;0
Gewest Wallonië;ALLE SPECIALITEITEN;35;18;17;0;0;10;7;0;0;0;1;0;0;0;0;10;4;2;1;0;0;0;0
Gewest Brussels hoofdstedelijk gewest;ALLE SPECIALITEITEN;30;17;13;0;1;13;1;1;1;0;0;0;0;0;1;8;1;3;0;0;0;0;0
Prov Vlaams Brabant;ALLE SPECIALITEITEN;39;28;11;0;1;23;2;0;1;1;0;0;0;0;0;7;0;2;1;1;0;0;0
Prov West-Vlaanderen;ALLE SPECIALITEITEN;8;4;4;0;0;3;1;0;0;0;0;0;0;0;0;2;0;1;1;0;0;0;0
Prov Oost-Vlaanderen;ALLE SPECIALITEITEN;21;13;8;0;0;12;1;0;0;0;0;0;0;0;1;6;0;0;1;0;0;0;0
Prov Antwerpen;ALLE SPECIALITEITEN;29;14;15;0;0;7;5;1;0;1;0;0;0;0;0;9;2;2;2;0;0;0;0
Prov Limburg;ALLE SPECIALITEITEN;9;4;5;0;0;4;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0
Prov Waals Brabant;ALLE SPECIALITEITEN;5;2;3;0;0;0;2;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0
Prov Henegouwen;ALLE SPECIALITEITEN;10;7;3;0;0;4;2;0;0;0;1;0;0;0;0;2;0;0;1;0;0;0;0
Prov Luik;ALLE SPECIALITEITEN;14;7;7;0;0;5;2;0;0;0;0;0;0;0;0;4;2;1;0;0;0;0;0
Prov Namen;ALLE SPECIALITEITEN;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
Prov Luxemburg;ALLE SPECIALITEITEN;3;2;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Prov Brussels hoofdstedelijk gewest;ALLE SPECIALITEITEN;30;17;13;0;1;13;1;1;1;0;0;0;0;0;1;8;1;3;0;0;0;0;0
België;FUNCTIONELE EN PROFESSIONELE REVALIDATIE VAN GEHANDICAPTEN;26;12;14;0;0;6;4;0;1;1;0;0;0;0;0;6;2;5;0;1;0;0;0
België;MOND-,KAAK- EN AANGEZICHTSCHIRURGIE;6;2;4;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0
België;INTENSIEVE ZORGEN;60;33;27;0;1;31;1;0;0;0;0;0;0;0;2;21;3;0;1;0;0;0;0
België;PEDIATRISCHE NEUROLOGIE;12;11;1;0;0;5;5;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
België;NEFROLOGIE;19;10;9;0;0;8;2;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0
België;URGENTIEGENEESKUNDE;15;4;11;0;0;2;1;0;1;0;0;0;0;0;0;3;1;4;3;0;0;0;0
België;ENDOCRINO-DIABETOLOGIE;14;9;5;0;0;7;1;1;0;0;0;0;0;0;0;3;1;1;0;0;0;0;0
België;NEONATOLOGIE;9;7;2;0;0;3;2;1;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0
België;ONCOLOGIE;6;6;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
België;PEDIATRISCHE HEMATOLOGIE EN ONCOLOGIE;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
België;KLINISCHE HEMATOLOGIE;3;3;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gewest Vlaanderen;FUNCTIONELE EN PROFESSIONELE REVALIDATIE VAN GEHANDICAPTEN;17;9;8;0;0;5;2;0;1;1;0;0;0;0;0;5;0;2;0;1;0;0;0
Gewest Vlaanderen;MOND-,KAAK- EN AANGEZICHTSCHIRURGIE;4;2;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Gewest Vlaanderen;INTENSIEVE ZORGEN;37;21;16;0;1;20;0;0;0;0;0;0;0;0;1;12;2;0;1;0;0;0;0
Gewest Vlaanderen;PEDIATRISCHE NEUROLOGIE;8;8;0;0;0;3;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Gewest Vlaanderen;NEFROLOGIE;12;6;6;0;0;6;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0
Gewest Vlaanderen;URGENTIEGENEESKUNDE;11;2;9;0;0;2;0;0;0;0;0;0;0;0;0;2;1;3;3;0;0;0;0
Gewest Vlaanderen;ENDOCRINO-DIABETOLOGIE;6;5;1;0;0;4;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Gewest Vlaanderen;NEONATOLOGIE;3;2;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Gewest Vlaanderen;ONCOLOGIE;6;6;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gewest Vlaanderen;PEDIATRISCHE HEMATOLOGIE EN ONCOLOGIE;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gewest Vlaanderen;KLINISCHE HEMATOLOGIE;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gewest Wallonië;FUNCTIONELE EN PROFESSIONELE REVALIDATIE VAN GEHANDICAPTEN;6;2;4;0;0;0;2;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0
Gewest Wallonië;MOND-,KAAK- EN AANGEZICHTSCHIRURGIE;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Gewest Wallonië;INTENSIEVE ZORGEN;11;7;4;0;0;6;1;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0
