Gebied;Totaal;Totaal_vrouwen;Totaal_mannen;Vrouwen_20_24;Vrouwen_25_29;Vrouwen_30_34;Vrouwen_35_39;Vrouwen_40_44;Vrouwen_45_49;Vrouwen_50_54;Vrouwen_55_59;Vrouwen_60_64;Vrouwen_65plus;Mannen_20_24;Mannen_25_29;Mannen_30_34;Mannen_35_39;Mannen_40_44;Mannen_45_49;Mannen_50_54;Mannen_55_59;Mannen_60_64;Mannen_65plus
België;4405;4127;278;657;1003;635;405;303;343;310;246;171;54;45;69;31;32;21;18;20;19;18;5
Gewest Vlaanderen;2644;2482;162;456;577;349;202;168;204;205;177;112;32;32;46;19;12;10;9;5;12;14;3
Gewest Wallonië;1428;1334;94;173;317;224;169;115;122;91;57;50;16;10;18;10;17;11;8;10;6;3;1
Gewest Brussels hoofdstedelijk gewest;333;311;22;28;109;62;34;20;17;14;12;9;6;3;5;2;3;0;1;5;1;1;1
Prov Vlaams Brabant;536;506;30;87;128;66;43;29;43;42;38;20;10;6;3;6;3;0;2;3;2;5;0
Prov West-Vlaanderen;534;485;49;113;114;73;30;26;33;30;39;21;6;6;13;7;2;5;3;1;5;5;2
Prov Oost-Vlaanderen;552;520;32;80;116;67;52;40;55;41;35;28;6;9;9;2;4;2;3;0;2;1;0
Prov Antwerpen;701;661;40;120;146;110;54;52;44;62;44;24;5;7;20;1;2;2;1;1;3;2;1
Prov Limburg;321;310;11;56;73;33;23;21;29;30;21;19;5;4;1;3;1;1;0;0;0;1;0
Prov Waals Brabant;206;195;11;17;37;32;28;20;18;17;11;9;6;1;4;0;0;3;0;2;1;0;0
Prov Henegouwen;501;474;27;76;96;88;67;43;41;30;16;12;5;3;3;3;8;1;3;1;2;2;1
Prov Luik;466;430;36;49;112;71;43;31;46;31;26;19;2;3;5;4;7;7;4;5;1;0;0
Prov Namen;162;155;7;18;47;23;18;16;13;9;4;5;2;2;1;2;1;0;1;0;0;0;0
Prov Luxemburg;93;80;13;13;25;10;13;5;4;4;0;5;1;1;5;1;1;0;0;2;2;1;0
Prov Brussels hoofdstedelijk gewest;333;311;22;28;109;62;34;20;17;14;12;9;6;3;5;2;3;0;1;5;1;1;1
