Gebied;Totaal;Totaal_vrouwen;Totaal_mannen;Vrouwen_20_24;Vrouwen_25_29;Vrouwen_30_34;Vrouwen_35_39;Vrouwen_40_44;Vrouwen_45_49;Vrouwen_50_54;Vrouwen_55_59;Vrouwen_60_64;Vrouwen_65plus;Mannen_20_24;Mannen_25_29;Mannen_30_34;Mannen_35_39;Mannen_40_44;Mannen_45_49;Mannen_50_54;Mannen_55_59;Mannen_60_64;Mannen_65plus
België;8885;8039;846;1141;1821;1480;1207;526;462;710;514;160;18;103;135;117;132;60;46;85;85;67;16
Gewest Vlaanderen;6558;5947;611;941;1380;1027;820;420;346;522;389;97;5;81;97;87;77;32;34;67;70;52;14
Gewest Wallonië;1886;1696;190;140;351;382;333;87;98;152;94;47;12;16;28;24;44;25;10;15;14;13;1
Gewest Brussels hoofdstedelijk gewest;441;396;45;60;90;71;54;19;18;36;31;16;1;6;10;6;11;3;2;3;1;2;1
Prov Vlaams Brabant;717;650;67;97;125;116;90;57;38;60;57;9;1;11;11;8;11;3;4;6;9;3;1
Prov West-Vlaanderen;1659;1470;189;228;327;263;204;100;92;140;85;29;2;25;32;24;19;8;11;19;26;20;5
Prov Oost-Vlaanderen;1765;1580;185;267;355;265;202;93;97;138;124;38;1;19;25;28;21;12;13;23;21;17;6
Prov Antwerpen;1428;1330;98;199;330;227;187;96;64;120;91;15;1;15;11;19;11;5;4;14;9;9;1
Prov Limburg;989;917;72;150;243;156;137;74;55;64;32;6;0;11;18;8;15;4;2;5;5;3;1
Prov Waals Brabant;258;234;24;18;47;39;43;8;11;34;23;8;3;3;2;0;9;1;2;2;2;2;1
Prov Henegouwen;634;567;67;54;105;138;110;34;35;50;27;13;1;3;13;9;13;10;3;7;4;5;0
Prov Luik;588;516;72;42;119;119;107;25;26;38;23;15;2;7;12;11;15;8;4;4;6;5;0
Prov Namen;289;267;22;12;57;52;55;15;20;23;18;9;6;1;1;4;6;4;1;2;2;1;0
Prov Luxemburg;117;112;5;14;23;34;18;5;6;7;3;2;0;2;0;0;1;2;0;0;0;0;0
Prov Brussels hoofdstedelijk gewest;441;396;45;60;90;71;54;19;18;36;31;16;1;6;10;6;11;3;2;3;1;2;1
